"","ph1","ph1_gv"
"B093",99.64435611,109.927597381718
"B094",114.7477569,109.927597381718
"B095",85.22140972,109.743742300571
"B096",132.3920106,109.688269664704
"B097",93.03688981,110.037669490906
"B098",NA,109.879405744143
"B099",99.86658384,110.009857516367
"B100",113.2955512,110.009857516367
"B101",113.4294418,109.867670030319
"B102",83.78171996,109.958425144616
"B103",99.67910171,109.474731322159
"B104",97.36036614,109.474731322159
"B105",78.17311285,110.269265416765
"B106",97.52605699,109.927597381718
"B107",NA,109.294821984042
"B108",130.4800795,109.539051797854
"B109",122.6059872,109.552731259544
"B110",108.1809095,109.130603823516
"B111",111.2170884,109.130603823516
"B112",105.8419252,109.220371032645
"B113",113.8685487,109.188786629055
"B114",129.4065755,109.269178175075
"B115",104.2757408,109.209670523439
"B116",121.816628,108.985224545899
"B117",137.7661032,109.172094996452
"B118",90.60111786,109.773268530327
"B119",NA,109.917736037228
"B120",89.16546837,110.128225461727
"B121",138.7354524,109.851068392099
"B122",NA,109.841592547084
"B123",128.6449348,109.45629046624
"B124",110.9646078,109.904426176614
"B125",NA,109.808059384912
"B126",118.3339256,109.694490603289
"B127",100.9085869,109.611104008451
"B128",92.52048745,109.934158538905
"B129",112.6772263,109.756807321018
"B130",119.9899631,109.863800682373
"B131",90.54733461,109.863800682373
"B132",96.76987078,109.813146841265
"B133",NA,109.727232069993
"B134",123.8664209,109.913557578209
"B135",108.8037407,110.036613076857
"B136",76.2521964,110.046790054881
"B137",NA,109.761113488894
"B138",122.3805227,109.840674897188
"B139",123.063805,109.65885646516
"B140",96.51754423,109.824103146925
"B141",103.8001183,109.466637453479
"B142",121.6205916,109.717413953817
"B143",120.813603,109.427716085794
"B144",NA,94.4188367965081
"B145",120.07216,109.367536566676
"B146",133.4372309,109.249510456976
"B147",119.7444876,109.548694853505
"B148",71.51030413,109.625993953579
"B149",108.2962726,109.61921035635
"B150",120.6989406,109.340374791382
"B151",101.0185697,109.616579362244
"B152",78.9104583,109.46560729314
"B153",117.8537283,109.554560860829
"B154",100.3106807,108.98719222363
"B155",96.53494543,109.769255982665
"B156",105.7855638,109.250505800893
"B157",117.4131808,109.610662908949
"B158",85.88679483,109.886915834025
"B159",111.5050141,109.544138468113
"B160",118.0831123,109.450012471898
"B161",81.73502948,110.019870200826
"B162",115.9024534,109.107482049914
"B163",111.4771529,109.415288544829
"B164",107.7504407,109.400899530103
"B165",122.5364967,109.546288939379
"B166",NA,108.90890472336
"B167",108.2194322,109.299106094003
"B168",97.37150044,109.544350004059
"B169",107.0737769,109.724137435448
"B170",114.5336208,109.82815468498
"B171",89.00714969,110.028737655171
"B172",93.20834689,110.011947095991
"B173",105.8938186,109.855182124527
"B174",107.1881065,110.025198707045
"B175",110.3589603,109.427716085794
"B176",NA,109.964535099756
"B177",92.51820332,110.124923357053
"B178",NA,110.099613441665
"B179",70.16512465,109.921409956081
"B180",119.072512,109.967616400487
"B181",118.0940204,109.869269909781
"B182",111.5328839,109.927597381718
"B183",103.625937,109.92788711995
"B184",75.64256997,110.147613756193
"B185",97.5737388,109.881231653269
"B186",104.371728,109.466637453479
"B187",135.0217305,109.427716085794
"B188",114.7584024,109.178224494253
"B189",91.48442984,109.448529588501
"B190",117.9275836,109.414222243775
"B191",120.8651939,109.90061714619
"B192",103.2922069,109.676768486024
"B193",86.4164649,109.978830438282
"B194",NA,109.800513436012
"B195",NA,110.152888208387
"B196",113.985767,109.660257696455
"B197",86.5574747,109.938193387046
"B198",103.1520399,109.680297142926
"B199",89.75520434,109.447397847725
"B200",143.2889703,108.830128092612
"B201",123.0374294,109.178224494253
"B202",NA,108.470906873928
"B203",NA,108.830916032373
"B204",117.391443,109.680297142926
"B205",141.5122461,109.7716049814
"B206",109.3436156,109.201167412342
"B207",85.1654912,109.74835433722
"B208",107.6073347,109.178224494253
"B209",126.4424207,108.9032167047
"B210",102.9571684,109.073075513597
"B211",128.2274132,109.115459206135
"B212",NA,109.250286595717
"B213",NA,109.096932770173
"B214",118.437795,109.087670760447
"B215",105.470406,109.013133438869
"B216",111.1370072,109.22859362676
"B217",99.19762517,109.359702135611
"B218",NA,109.215922408736
"B219",130.4367712,108.726900647331
"B220",105.7895888,108.813809286487
"B221",114.5893715,109.367753100195
"B222",109.1925809,108.909697601018
"B223",118.3432829,109.523321012706
"B224",114.3157227,109.118284288902
"B225",138.4871643,109.929653120907
"B226",97.89813235,110.03336944473
"B227",84.08838224,110.135264343512
"B228",111.8234303,109.963438731078
"B229",127.8990349,109.976689513136
"B230",120.0215509,110.124923357053
"B231",122.1374795,109.998242454761
"B232",129.0095761,109.725688595206
"B233",109.2478587,109.691031445732
