,ph1,ph2,ph3
B092,95.7999439,163.0533509,217.431931
B093,99.64435611,154.2556603,279.0927715
B094,114.7477569,158.7220157,210.6685156
B095,85.22140972,176.582651,220.7058529
B096,132.3920106,150.7837454,280.5466777
B097,93.03688981,160.8833499,284.5300004
B098,NA,170.7667714,185.8268123
B099,99.86658384,154.9690577,218.4074182
B100,113.2955512,139.4970195,225.1112798
B101,113.4294418,NA,271.2856384
B102,83.78171996,173.451085,226.6487882
B103,99.67910171,160.5110603,212.4069535
B104,97.36036614,NA,NA
B105,78.17311285,176.3249475,262.8528169
B106,97.52605699,159.5948088,NA
B107,NA,174.2231248,207.2771259
B108,130.4800795,173.3468021,174.2567483
B109,122.6059872,174.6790492,169.9456337
B110,108.1809095,161.6889771,180.7731771
B111,111.2170884,NA,295.2415903
B112,105.8419252,154.7993325,192.1287919
B113,113.8685487,162.8123066,123.529413
B114,129.4065755,166.2633668,284.6215077
B115,104.2757408,149.6550797,246.6646233
B116,121.816628,163.2652035,218.7665077
B117,137.7661032,170.4692031,NA
B118,90.60111786,157.7970003,227.844076
B119,NA,184.9545498,260.0848079
B120,89.16546837,171.511792,281.2041209
B121,138.7354524,168.9161967,223.8018921
B122,NA,179.8579228,NA
B123,128.6449348,NA,211.9649581
B124,110.9646078,172.4729805,NA
B125,NA,141.7033887,216.6854822
B126,118.3339256,153.968438,166.8943206
B127,100.9085869,164.5124307,239.897952
B128,92.52048745,169.8456326,163.6578421
B129,112.6772263,179.6704462,NA
B130,119.9899631,NA,223.4006703
B131,90.54733461,169.2132218,197.3109456
B132,96.76987078,NA,178.2110464
B133,NA,NA,128.4068339
B134,123.8664209,165.6756844,251.8609806
B135,108.8037407,165.8872444,295.6480074
B136,76.2521964,174.4022048,253.4887325
B137,NA,160.4704685,247.9789522
B138,122.3805227,148.6890296,251.3204667
B139,123.063805,154.0782701,192.5276213
B140,96.51754423,NA,181.1069224
B141,103.8001183,164.0360357,207.4225758
B142,121.6205916,169.4070479,214.6764881
B143,120.813603,166.4798906,NA
B144,NA,185.5353789,205.2005832
B145,120.07216,170.2327658,195.9335863
B146,133.4372309,159.2565467,260.7013586
B147,119.7444876,NA,202.6023495
B148,71.51030413,162.7146351,170.4589452
B149,108.2962726,153.2142291,191.4285505
B150,120.6989406,153.9851862,194.9100369
B151,101.0185697,171.5445942,140.9070855
B152,78.9104583,176.7181943,204.3404322
B153,117.8537283,144.9551633,172.3839255
B154,100.3106807,174.8884414,157.4034893
B155,96.53494543,151.466967,286.3067682
B156,105.7855638,NA,267.065836
B157,117.4131808,164.1318808,NA
B158,85.88679483,171.5329665,200.6157119
B159,111.5050141,160.924145,214.3201945
B160,118.0831123,170.306436,222.6273897
B161,81.73502948,160.1306294,271.6120676
B162,115.9024534,NA,251.9691921
B163,111.4771529,166.0365277,217.7601976
B164,107.7504407,170.8788139,232.9168959
B165,122.5364967,159.5279434,165.4036732
B166,NA,164.1510978,283.3142936
B167,108.2194322,157.8994044,168.0246931
B168,97.37150044,165.745085,227.6303288
B169,107.0737769,169.3457851,203.8368537
B170,114.5336208,163.0643026,212.4607856
B171,89.00714969,173.8408109,193.8815872
B172,93.20834689,163.7494866,298.6005922
B173,105.8938186,NA,169.063672
B174,107.1881065,167.6938181,221.4227863
B175,110.3589603,159.7424832,244.8422165
B176,NA,156.4786967,NA
B177,92.51820332,156.2773188,NA
B178,NA,184.8188992,225.5688523
B179,70.16512465,165.7741301,211.9126732
B180,119.072512,164.7662934,281.5976806
B181,118.0940204,165.5575212,116.7273467
B182,111.5328839,147.392395,228.9810021
B183,103.625937,NA,NA
B184,75.64256997,147.723881,294.888047
B185,97.5737388,NA,255.5942287
B186,104.371728,172.2731151,210.2308122
B187,135.0217305,NA,NA
B188,114.7584024,159.7704703,247.4828857
B189,91.48442984,156.4161294,NA
B190,117.9275836,162.9997784,238.121465
B191,120.8651939,NA,185.4453551
B192,103.2922069,162.6779798,244.5263398
B193,86.4164649,150.1225397,NA
B194,NA,160.3957889,256.1339846
B195,NA,153.8585681,149.819278
B196,113.985767,157.3668426,162.2482203
B197,86.5574747,171.2422866,253.2843227
B198,103.1520399,159.8956045,NA
B199,89.75520434,168.5550355,NA
B200,143.2889703,168.7548122,275.264891
B201,123.0374294,152.5352087,220.6482505
B202,NA,158.9665821,NA
B203,NA,169.8677627,179.6254866
B204,117.391443,150.4167894,268.5849494
B205,141.5122461,163.6962542,286.4974448
B206,109.3436156,168.5296402,202.3108142
B207,85.1654912,151.8366146,206.9885048
B208,107.6073347,174.9343068,283.7405006
B209,126.4424207,137.5636282,265.1997705
B210,102.9571684,147.6292363,240.0315975
B211,128.2274132,169.582222,214.7703164
B212,NA,181.5561835,221.6196205
B213,NA,155.4902163,238.5971933
B214,118.437795,169.6642799,262.7805237
B215,105.470406,172.3753085,308.6663814
B216,111.1370072,158.3151423,189.1146156
B217,99.19762517,NA,223.4203414
B218,NA,168.8792818,248.9401017
B219,130.4367712,153.2659069,212.3615878
B220,105.7895888,172.9551658,NA
B221,114.5893715,156.5429873,243.8120881
B222,109.1925809,163.069429,320.2312588
B223,118.3432829,172.1341902,229.4868318
B224,114.3157227,157.9241636,234.1287727
B225,138.4871643,171.5550911,188.2621031
B226,97.89813235,156.8476486,196.1350551
B227,84.08838224,159.2902472,273.1573303
B228,111.8234303,NA,238.6986257
B229,127.8990349,165.7225054,190.9915533
B230,120.0215509,NA,NA
B231,122.1374795,179.104611,NA
B232,129.0095761,NA,166.1631153
B233,109.2478587,184.4114861,196.0523241
