"","ph1","ph1_gv"
"B065",113.3432524,108.975275299847
"B066",124.4016962,108.930830970821
"B067",121.6360597,108.850272021835
"B068",96.85959273,110.344311969262
"B069",NA,109.589663187451
"B070",91.25448823,109.777838795436
"B071",132.4869367,109.48981926306
"B072",116.8159747,109.870188683873
"B073",79.70936754,109.555645953427
"B074",115.6076147,109.009899867624
"B075",NA,108.842409877592
"B076",109.2184405,109.648771129429
"B077",127.4247954,109.799593535095
"B078",113.6855739,109.842163571179
"B079",105.2417459,109.313100897488
"B080",NA,109.093476957747
"B081",126.4850505,109.329015180885
"B082",123.7404364,109.433108345432
"B083",125.7680725,109.420343622966
"B084",93.13707928,109.447951395662
"B085",127.7642246,109.74071380813
"B086",108.8795378,109.944545780296
"B087",NA,109.927106742103
"B088",121.2552039,110.102956679602
"B089",100.741407,110.155950665505
"B090",129.0484647,110.01497113208
"B091",NA,109.971418814489
"B092",95.7999439,109.934959326988
"B093",99.64435611,110.025332568651
"B094",114.7477569,110.025332568651
"B095",85.22140972,109.789301944075
"B096",132.3920106,109.716843916348
"B097",93.03688981,110.110948833448
"B098",NA,109.891051631148
"B099",99.86658384,110.100222302369
"B100",113.2955512,110.100222302369
"B101",113.4294418,109.86534133199
"B102",83.78171996,110.015931389392
"B103",99.67910171,109.403593178436
"B104",97.36036614,109.403593178436
"B105",78.17311285,110.344311969262
"B106",97.52605699,110.025332568651
"B107",NA,109.217647165395
"B108",130.4800795,109.499407182606
"B109",122.6059872,109.545542243144
"B110",108.1809095,109.059564822992
"B111",111.2170884,109.059564822992
"B112",105.8419252,109.163610902208
"B113",113.8685487,109.117240161717
"B114",129.4065755,109.207754259617
"B115",104.2757408,109.143794659747
"B116",121.816628,108.924951433852
"B117",137.7661032,109.064593707083
"B118",90.60111786,109.846256462766
"B119",NA,109.980691717455
"B120",89.16546837,110.16991425946
"B121",138.7354524,109.874944740233
"B122",NA,109.876772845878
"B123",128.6449348,109.465887948253
"B124",110.9646078,109.988517482173
"B125",NA,109.85006778749
"B126",118.3339256,109.695445724858
"B127",100.9085869,109.670778137246
"B128",92.52048745,110.005402561968
"B129",112.6772263,109.784103983366
"B130",119.9899631,109.894563301595
"B131",90.54733461,109.894563301595
"B132",96.76987078,109.889640286882
"B133",NA,109.799804798704
"B134",123.8664209,109.992544828792
"B135",108.8037407,110.059936219869
"B136",76.2521964,110.090797382385
"B137",NA,109.773675162879
"B138",122.3805227,109.861916541234
"B139",123.063805,109.661186797819
"B140",96.51754423,109.845266603435
"B141",103.8001183,109.403675406263
"B142",121.6205916,109.688086222198
"B143",120.813603,109.366119702077
"B144",NA,94.5089049474648
"B145",120.07216,109.334061499149
"B146",133.4372309,109.231373616062
"B147",119.7444876,109.520240875471
"B148",71.51030413,109.623736584785
"B149",108.2962726,109.595691856922
"B150",120.6989406,109.333740261239
"B151",101.0185697,109.595360710205
"B152",78.9104583,109.430160321316
"B153",117.8537283,109.550105083662
"B154",100.3106807,108.920517564223
"B155",96.53494543,109.842163571179
"B156",105.7855638,109.212301259211
"B157",117.4131808,109.674752315131
"B158",85.88679483,109.925354530055
"B159",111.5050141,109.530716220225
"B160",118.0831123,109.427265678599
"B161",81.73502948,110.038533550593
"B162",115.9024534,109.088322434693
"B163",111.4771529,109.391930202944
"B164",107.7504407,109.364644429849
"B165",122.5364967,109.548961280273
"B166",NA,108.870621209462
"B167",108.2194322,109.275458585213
"B168",97.37150044,109.494993693075
"B169",107.0737769,109.742636340249
"B170",114.5336208,109.868708622126
"B171",89.00714969,110.082200149926
"B172",93.20834689,110.071638006558
"B173",105.8938186,109.906544727003
"B174",107.1881065,110.05004581706
"B175",110.3589603,109.366119702077
"B176",NA,110.035824242399
"B177",92.51820332,110.237355462832
"B178",NA,110.210106192357
"B179",70.16512465,109.953199964661
"B180",119.072512,109.953620370506
"B181",118.0940204,109.972602908396
"B182",111.5328839,110.025332568651
"B183",103.625937,109.998279385719
"B184",75.64256997,110.178337594595
"B185",97.5737388,109.89739539565
"B186",104.371728,109.403675406263
"B187",135.0217305,109.366119702077
"B188",114.7584024,109.109671529577
"B189",91.48442984,109.463853238507
"B190",117.9275836,109.419168050521
"B191",120.8651939,109.935902118395
"B192",103.2922069,109.607547241232
"B193",86.4164649,110.021212494201
"B194",NA,109.869892706909
"B195",NA,110.203288856139
"B196",113.985767,109.655803435958
"B197",86.5574747,109.955300134918
"B198",103.1520399,109.649306583976
"B199",89.75520434,109.436085683833
"B200",143.2889703,108.734122402689
"B201",123.0374294,109.109671529577
"B202",NA,108.24257975938
"B203",NA,108.725040228661
"B204",117.391443,109.649306583976
"B205",141.5122461,109.764312801421
"B206",109.3436156,109.166654186548
"B207",85.1654912,109.731979709358
"B208",107.6073347,109.109671529577
"B209",126.4424207,108.798636233821
"B210",102.9571684,108.957444322239
"B211",128.2274132,109.10460307804
"B212",NA,109.152700134878
"B213",NA,109.019448129616
"B214",118.437795,109.031316154433
"B215",105.470406,108.933436566567
"B216",111.1370072,109.169982812535
"B217",99.19762517,109.310219059386
"B218",NA,109.146240330899
"B219",130.4367712,108.60896591883
"B220",105.7895888,108.703546329682
"B221",114.5893715,109.340227854029
"B222",109.1925809,108.792895254621
"B223",118.3432829,109.468968175951
"B224",114.3157227,109.089621771602
"B225",138.4871643,110.003404336711
"B226",97.89813235,110.076459178566
"B227",84.08838224,110.175773357507
"B228",111.8234303,110.009062201436
"B229",127.8990349,109.979758642107
"B230",120.0215509,110.237355462832
"B231",122.1374795,110.06924868544
"B232",129.0095761,109.702075311116
"B233",109.2478587,109.699547280637
