"","ph1","ph1_gv"
"B159",111.5050141,109.537171960726
"B160",118.0831123,109.511957188629
"B161",81.73502948,110.042243524605
"B162",115.9024534,109.163136935586
"B163",111.4771529,109.430827914061
"B164",107.7504407,109.398049894484
"B165",122.5364967,109.577064854228
"B166",NA,108.923478617582
"B167",108.2194322,109.295229028626
"B168",97.37150044,109.544657940402
"B169",107.0737769,109.722838068891
"B170",114.5336208,109.834132609566
"B171",89.00714969,110.044635595307
"B172",93.20834689,109.983711504688
"B173",105.8938186,109.87903601355
"B174",107.1881065,110.024767152191
"B175",110.3589603,109.443678625194
"B176",NA,109.969564383491
"B177",92.51820332,110.141418640302
"B178",NA,110.113530079453
"B179",70.16512465,109.908734379188
"B180",119.072512,109.952823588829
"B181",118.0940204,109.874240633489
"B182",111.5328839,109.94215747541
"B183",103.625937,109.918871423955
"B184",75.64256997,110.174329336647
"B185",97.5737388,109.879038621225
"B186",104.371728,109.480940290485
"B187",135.0217305,109.443678625194
"B188",114.7584024,109.123992039584
"B189",91.48442984,109.449334815694
"B190",117.9275836,109.420936339622
"B191",120.8651939,109.945472237626
"B192",103.2922069,109.643507847344
"B193",86.4164649,109.979735747929
"B194",NA,109.838652914747
"B195",NA,110.180681969664
"B196",113.985767,109.617658108618
"B197",86.5574747,109.906965970777
"B198",103.1520399,109.611583847161
"B199",89.75520434,109.449314012698
"B200",143.2889703,108.806773450036
"B201",123.0374294,109.123992039584
"B202",NA,108.433187550813
"B203",NA,108.809376210678
"B204",117.391443,109.611583847161
"B205",141.5122461,109.769336391772
"B206",109.3436156,109.240355695479
"B207",85.1654912,109.742044101376
"B208",107.6073347,109.123992039584
"B209",126.4424207,108.839388613101
"B210",102.9571684,109.0691909555
"B211",128.2274132,109.159096020817
"B212",NA,109.179323951941
"B213",NA,109.056740332646
"B214",118.437795,109.066064102545
"B215",105.470406,109.012319346524
"B216",111.1370072,109.250431964952
"B217",99.19762517,109.333664058285
"B218",NA,109.194728441022
"B219",130.4367712,108.676967062418
"B220",105.7895888,108.79891762841
"B221",114.5893715,109.357274768584
"B222",109.1925809,108.890426107487
"B223",118.3432829,109.511760922133
"B224",114.3157227,109.099395874748
"B225",138.4871643,109.920844075456
"B226",97.89813235,110.065414385364
"B227",84.08838224,110.148978995744
"B228",111.8234303,109.983314234684
"B229",127.8990349,110.075167063137
"B230",120.0215509,110.141418640302
"B231",122.1374795,110.054440109342
"B232",129.0095761,109.700751505023
"B233",109.2478587,109.738010628788
