,Trial,Block,FactorA,FactorB,PlotNum,FieldRow,FieldCol,yO,y1,y2,y3,y1
54,1,1,A1,B4,114,4,2,-0.774090766,2.574090766,1.13902084,.,2.574090766
55,1,1,A1,B1,115,4,3,-0.296049086,2.596049086,1.870965251,.,2.596049086
56,1,1,A3,B4,116,4,4,1.145881415,1.454118585,-0.100366001,.,1.454118585
57,1,1,A2,B2,117,5,1,-1.654850587,4.454850587,0.608064759,.,4.454850587
58,1,1,A4,B4,118,5,2,-3.238721069,6.738721069,3.196782444,.,6.738721069
59,1,1,A2,B1,119,5,3,-0.34515618,3.24515618,1.541055317,.,3.24515618
60,1,1,A2,B4,120,5,4,-0.163045546,3.263045546,2.022656172,.,3.263045546
61,1,2,A4,B5,201,6,1,0.782266798,2.117733202,2.085971355,.,2.117733202
62,1,2,A3,B5,202,6,2,2.054209508,1.345790492,0.690101425,.,1.345790492
63,1,2,A3,B2,203,6,3,0.034412357,2.965587643,1.089127798,.,2.965587643
64,1,2,A3,B3,204,6,4,-0.787332048,3.587332048,1.971175309,.,3.587332048
65,1,2,A1,B2,205,7,1,0.35501857,2.64498143,1.729011361,.,2.64498143
66,1,2,A3,B1,206,7,2,0.813041291,1.186958709,0.642248625,.,1.186958709
67,1,2,A1,B4,207,7,3,0.097538541,1.802461459,1.302438388,.,1.802461459
68,1,2,A3,B4,208,7,4,0.802415317,1.697584683,0.157506735,.,1.697584683
69,1,2,A1,B1,209,8,1,-1.382571214,4.482571214,2.188345225,.,4.482571214
70,1,2,A1,B3,210,8,2,-0.105880764,4.105880764,1.837734199,.,4.105880764
71,1,2,A4,B2,211,8,3,-0.430412365,3.930412365,2.09558514,.,3.930412365
72,1,2,A4,B4,212,8,4,0.260757914,2.339242086,1.337210646,.,2.339242086
73,1,2,A2,B2,213,9,1,0.335179206,2.664820794,1.415550879,.,2.664820794
74,1,2,A2,B4,214,9,2,0.166280964,2.833719036,1.255592334,.,2.833719036
75,1,2,A2,B1,215,9,3,-0.322534367,2.922534367,1.750721155,.,2.922534367
76,1,2,A1,B5,216,9,4,0.578907942,2.421092058,0.073272947,.,2.421092058
77,1,2,A4,B3,217,10,1,-2.274546164,5.374546164,2.457179623,.,5.374546164
78,1,2,A2,B3,218,10,2,-0.460186919,2.860186919,1.022854316,.,2.860186919
79,1,2,A4,B1,219,10,3,-0.814478287,3.914478287,1.917648497,.,3.914478287
80,1,2,A2,B5,220,10,4,-0.079181293,2.779181293,2.779181293,.,2.779181293
