SPECIES,CU_NO,CU_LT,LE_LT,LE_WD,FL_WD,LI_LT,NO_BPB,PAN_LT,AW_LT,AW_TH,SP_LT,SP_WD,STL_WD,STI_LT,AN_LT,SP_FRT,SPWD_SPLT
NIVARA,306.6,73.64,38.08,0.84,0.92,16.72,1.08,17.72,99.78,0.3,8.14,2.8,0.86,1.9,2.4,58.36,0.34
NIVARA,201.8,89.56,43.2,0.78,0.82,20.92,1.16,20.08,95.84,0.3,8.72,2.78,0.78,1.54,3,77.56,0.32
NIVARA,221.25,69.65,55.6,0.73,0.88,30,1,18.45,78.38,0.2,8.15,2.45,0.68,1.75,2.4,56.8,0.3
NIVARA,124,95.72,52.96,1.14,1.3,22.8,1,21.76,70.58,0.28,8.38,3.24,0.98,1.62,2.16,62.28,0.39
NIVARA,126.6,109.4,65.72,1.1,1.36,25.56,1,24.2,72.98,0.28,8.46,3.14,1.06,1.58,2.18,67.6,0.37
NIVARA,154.4,104.64,60.16,1.2,1.28,22.84,1.04,21.64,77.68,0.28,8.64,3.1,1.02,1.64,2.06,77.5,0.36
NIVARA,109.4,81.6,60.96,1.26,1.54,18.92,1.24,20.84,77.7,0.24,9.22,3.14,1.08,1.66,1.9,74.92,0.34
NIVARA,148,91.24,46.52,1.02,1.08,25.64,1.2,25.44,62.12,0.2,8.54,2.92,0.8,1.54,3.66,63.4,0.34
NIVARA,190.2,82.32,40.84,0.76,0.9,17.36,1,19.04,92.88,0.26,8.96,2.94,0.78,1.7,2.58,58.28,0.33
NIVARA,202.4,109.2,48.8,0.96,1.14,28.88,1.44,21.72,105.68,0.3,8.48,2.76,0.8,1.42,3.04,74.08,0.32
NIVARA,196,86.6,35.76,0.82,0.94,14.08,1,20.04,99.94,0.28,8.7,2.82,0.88,1.72,3.2,56.44,0.32
NIVARA,188.8,86.4,44.56,1.06,1.24,21.28,1.04,19.92,98.26,0.28,9.62,2.9,0.72,1.8,2.72,58.72,0.3
NIVARA,186.2,91.64,43.56,0.96,1.06,19.4,1.04,17.4,100,0.3,8.5,2.94,0.86,1.48,2.9,73,0.34
NIVARA,125.5,108.7,66,1.05,1.15,33.1,1.2,24.9,97.25,0.3,8.75,3,0.95,1.5,2.45,59.2,0.34
NIVARA,174.8,94.48,33.88,1.12,1.2,23.68,1.08,20.44,86.34,0.28,8.14,2.76,0.88,1.64,2.36,53.96,0.34
NIVARA,184.2,97.4,52.04,0.88,1.02,34.8,1,24.08,109.18,0.28,8.76,2.72,0.9,2.08,3.46,47.04,0.31
NIVARA,220.6,88.48,37.56,0.68,0.78,18.84,1,19.52,84.58,0.26,8.4,2.66,0.76,1.42,2.46,54.28,0.32
NIVARA,206.2,96.64,44.36,0.82,1.02,18.28,1,22.48,91,0.3,8.32,2.92,0.8,1.56,2.7,56.2,0.35
NIVARA,113,85.76,43.2,0.86,1.04,18.76,1.04,18.92,102.3,0.28,9.4,2.96,0.72,1.44,2.62,71.16,0.31
NIVARA,167.8,94.2,54.76,0.92,1.02,19.96,1,23.28,127.22,0.34,9.22,2.98,0.86,1.44,2.88,65.6,0.32
NIVARA,169.4,94.12,39.44,0.72,0.72,18.2,1.08,19.76,96.5,0.24,8.56,2.58,0.72,1.42,2.7,63.36,0.3
NIVARA,169.4,91,48.04,0.9,0.94,20.76,1.04,22.28,87.66,0.28,8.24,2.68,0.78,1.44,2.56,58.52,0.33
RUFIPOGON,164.75,135.7,42.15,0.98,0.93,21.65,1.2,17.15,70.75,0.2,8.3,2.13,0.78,1.78,4.93,24.4,0.26
RUFIPOGON,200.2,129.56,38.92,0.44,0.5,16.68,1.36,22.6,79.88,0.2,6.92,2.18,0.7,1.58,4.3,12,0.32
RUFIPOGON,168,144.64,40.04,0.88,0.9,13.24,1.28,19.36,60.74,0.22,8.1,2.2,0.7,1.7,4.86,38.68,0.27
RUFIPOGON,80,122.05,38.3,1.18,1.23,25.5,1.45,23.35,61.13,0.2,8.55,2.38,0.85,1.98,5.4,47.95,0.28
RUFIPOGON,83.5,129.8,37.35,1.23,1.18,19.45,1,21.2,67.15,0.2,9.13,2.48,0.83,1.68,5.45,24.4,0.27
RUFIPOGON,162.33,120,34.4,0.73,0.77,21.07,1.2,22.27,66.83,0.2,8.1,2.23,0.8,1.73,4.97,30.13,0.28
RUFIPOGON,160,136.8,34.25,1,0.85,15.9,1.35,22.45,53.65,0.2,9.33,2.43,0.83,1.8,5.55,29.65,0.26
RUFIPOGON,144.33,118.33,37.6,0.87,1.1,18.73,1.07,23.07,80.8,0.2,8.3,2.4,0.8,1.83,5.33,16.2,0.29
RUFIPOGON,164.6,155.72,29.96,0.92,1,12.56,1.12,18.64,67.48,0.2,8.6,2.34,0.8,1.7,5.58,21.6,0.27
RUFIPOGON,121.5,156,28.7,0.8,0.9,9.5,1.3,19.2,72.7,0.2,8.35,2.15,0.75,1.6,5,36.7,0.26
RUFIPOGON,126.2,149.24,43.4,0.82,0.84,19.64,1.16,21.08,68.38,0.22,8.86,2.36,0.76,1.88,4.58,9.16,0.27
RUFIPOGON,129.2,112.8,23.84,0.96,0.92,15.84,1.12,20.32,61.82,0.2,8.7,2.2,0.72,1.86,5.7,36.84,0.26
RUFIPOGON,208.2,104.2,23.48,0.7,0.76,17.32,1.16,15.84,72.34,0.22,8.74,2.28,0.7,1.74,5.46,37.28,0.26
RUFIPOGON,152.8,115.28,20.2,0.76,0.9,13.16,1.16,17.2,51.96,0.2,8.72,2.48,0.92,1.78,5.16,20.88,0.28
RUFIPOGON,150.8,110.44,31.4,1,1.02,21.44,1.12,16.52,65.28,0.2,8.02,2.14,0.78,1.62,5.34,34.8,0.27
RUFIPOGON,151,201.7,34.1,0.75,0.8,15.8,1,15.2,58,0.2,7.85,2.2,0.65,1.4,4.45,16.5,0.28
RUFIPOGON,50.75,140.4,45.55,1.05,1.13,17.05,1.2,23.85,50.55,0.2,9.3,2.58,0.93,1.98,4.7,64.5,0.28
RUFIPOGON,109.2,141.32,32.16,0.86,0.9,15.24,1.2,20.32,61.5,0.2,7.8,2.16,0.76,1.7,3.98,44.2,0.28
RUFIPOGON,179.2,121.8,42.32,0.7,0.78,28.08,1.08,22.56,66.86,0.2,7.86,1.88,0.7,1.54,5.14,10.76,0.24
RUFIPOGON,135,110.8,26.68,0.86,0.9,17.84,1.08,15.04,57.06,0.18,8.02,2.12,0.66,1.36,4.8,22.64,0.27
RUFIPOGON,197.67,149.47,31.13,0.97,1,13.13,1.13,15.67,54.93,0.2,8.13,2.13,0.7,1.5,4.27,27.33,0.26
RUFIPOGON,143.5,153.6,35.8,0.85,0.9,15.65,1.3,20.75,53.48,0.2,8.65,2.15,0.85,1.85,5.5,44.25,0.25
RUFIPOGON,213.8,155.2,52.64,0.86,0.92,25.36,1.32,25.04,84.6,0.2,8.58,2.54,0.92,1.94,4.98,54.96,0.29
RUFIPOGON,152,146,31.8,0.75,0.85,13.1,1.1,18.9,44.35,0.2,7.2,2.15,0.65,1.75,4.65,20,0.3
RUFIPOGON,70,137.3,44.6,1.13,1.13,31.55,1.45,24.1,91.3,0.23,9.35,2.35,0.88,2.3,5.58,41.85,0.25
RUFIPOGON,176.4,138.8,36.72,0.82,0.84,19.12,1.24,19.6,63.64,0.2,8.7,2.2,0.76,2,5.76,4.04,0.25
RUFIPOGON,123.75,157.15,53.1,1.03,1.08,25.8,2,25.8,77.68,0.2,8.5,2.05,0.63,1.9,5.93,24.9,0.24
RUFIPOGON,126.75,139.65,44.05,0.9,0.95,11.75,1.35,20.7,68.23,0.2,8.45,2.18,0.68,1.83,5.45,27.5,0.26
RUFIPOGON,161.8,122.96,28.88,0.94,1,15.96,1,18.52,60.14,0.2,8.56,2.22,0.72,1.76,5.46,25.88,0.26
RUFIPOGON,145.8,147.96,37.64,0.82,0.92,17.36,1.36,20.68,78.96,0.2,8.92,2.32,0.82,1.86,5.66,29.8,0.26
RUFIPOGON,99.4,146.44,31.88,1.06,1.12,14.96,1.4,20.8,55.3,0.2,9,2.42,0.78,1.84,5.46,40.28,0.27
RUFIPOGON,185.67,138.6,23.47,0.67,0.67,12.27,1.07,16.33,82.1,0.2,8.23,2.07,0.77,2.03,5.17,23.53,0.25
RUFIPOGON,146.6,134.12,36.8,0.98,1.04,14.52,1.4,18.36,62.46,0.2,8.58,2.36,0.82,1.68,5.7,25.64,0.28
RUFIPOGON,104.8,169.6,48.48,1.14,1.24,21.92,1.28,23,57.2,0.18,8.62,2.68,0.72,2.04,4.42,25.16,0.31
RUFIPOGON,159.75,108.9,31,0.9,0.95,6.95,1.4,14.6,46.7,0.2,7.98,2.18,0.75,1.65,5.18,17.75,0.27
RUFIPOGON,91.6,139.88,42.92,0.96,1.04,25.92,1.36,23.24,67.36,0.2,9.46,2.42,0.66,2.04,5.16,47.6,0.26
RUFIPOGON,75.4,140.2,50.36,0.86,0.88,21.16,1.2,24.12,99.7,0.2,9.04,2.36,0.8,2.2,5.42,32.08,0.26
RUFIPOGON,56.8,137.92,46.84,0.82,0.94,26.44,1.04,28.16,72.42,0.2,9.44,2.32,0.78,2.16,6.14,52.44,0.25
RUFIPOGON,114.8,189.76,45.76,0.94,1,22.68,1.16,21.64,102.12,0.2,8.7,2.38,0.74,1.9,6.18,54.04,0.27
RUFIPOGON,199.67,144.87,50.73,0.77,0.83,24.4,1,23.73,76.77,0.2,8.43,2.33,0.73,1.7,4.27,24.93,0.28
RUFIPOGON,230.4,124.4,32.04,0.8,0.88,14.4,1.24,19.98,76.18,0.22,8.4,2.36,0.76,1.92,4.44,40.96,0.28
