SPECIES,code,CODE_ACCNO1,SPKLT,SPKWD,SLLT,SLWD,AWLT,AWWD,ANLT,STGLT,STYLT,FLLT,FLWD,LLT_2ND,LWD_2ND,LIGLT,PANLT,DIST,PANBR,CULT,CUDI,DAYS_TO_FLOWERING
O. eichingeri,2,E_89245,5.56,1.82,2.08,0.52,22,0.16,1.58,2.13,0.78,12.1,10.6,14.57,11,1.28,14.54,23.64,1,82.28,1.64,79
O. eichingeri,2,E_89246,5.75,1.88,1.89,0.55,22.28,0.16,1.91,2.04,0.77,11.19,10.8,13.45,9.8,1.09,12.64,28.88,1,74.44,1.46,80.8
O. grandiglumis,3,G_101405,8.66,2.13,8.17,1.45,0,0,4.09,2.55,0.89,26.33,27.07,47.2,28.47,3.35,37.67,72,4.4,294.47,9.38,125.67
O. grandiglumis,3,G_105144,8.99,2.19,8.83,1.19,0,0,4.22,2.49,1.02,25.13,22.53,47.47,25.27,4,35.87,47.47,5.2,289.87,9.14,125.33
O. grandiglumis,3,G_105155,8.98,2.25,7.21,1.15,13,0.14,3.99,2.65,0.86,26,29.4,51.07,28.67,4.28,36.53,52.13,4.87,300.27,9.86,124
O. grandiglumis,3,G_105156,8.79,2.2,8.79,1.42,9.47,0.21,4.27,2.87,0.87,25.73,26.73,45.33,25.13,4.21,34,44.33,4.93,289.47,8.89,125
O. grandiglumis,3,G_105157,8.24,2.27,8.3,1.7,12.8,0.2,3.91,2.08,0.95,18.2,25.07,29.67,24.33,3.07,26.53,44.4,4.2,269.67,7.82,139
O. grandiglumis,3,G_105560,9.43,2.29,9.06,1.77,0,0,4.86,2.51,0.87,25.67,31.4,47.87,30.13,4.53,33.73,62.6,4.67,296.8,10.09,136.33
O. grandiglumis,3,G_105664,8.69,2.19,7.36,0.77,14.07,0.2,4.77,2.66,0.98,25.53,28.07,48.2,29.8,4.43,32.73,46.47,4.87,287.27,9.52,122.33
O. grandiglumis,3,G_105669,8.53,2.29,8.05,1.49,7.53,0.13,4.37,2.67,0.84,29.07,26.47,60.47,29.07,5.16,33.27,50.8,5.2,278.73,9.5,124.67
O. grandiglumis,3,G_105671,9.09,2.28,8.85,1.89,9.93,0.21,4,2.53,0.88,24.93,25.8,47.27,27.73,3.39,31.73,30.93,5.87,294.33,9.29,119
O. grandiglumis,3,G_106241,8.94,2.13,8.85,1.28,4.07,0.13,4.13,2.92,0.9,22.93,31,48.6,28.33,5.21,33.67,52.93,5.93,290.8,9.83,113.67
O. latifolia,4,L_100165,5.85,2.36,1.39,0.47,25.27,0.21,2.32,1.91,0.59,43.93,41.87,57.93,38.73,3.31,44.87,39.33,6.27,231.13,7.68,31.33
O. latifolia,4,L_100167,5.89,2.22,1.36,0.45,18.67,0.2,1.69,2.87,0.79,41.07,42.93,59.6,37,2.47,35.87,50.8,4.33,199.53,5.83,26
O. latifolia,4,L_100168,5.53,2.13,1.23,0.35,9.73,0.14,2.23,2.14,0.67,38,35.4,52.2,36.2,2.57,39.2,69.13,6.27,234.2,7.04,48
O. latifolia,4,L_100169,6.4,2.22,1.48,0.45,18.3,0.2,1.65,2.34,0.72,33.7,34.4,52.1,34.3,3.31,33.6,52.7,5.4,204.5,5.87,28.33
O. latifolia,4,L_100170,6.58,2.43,1.72,0.53,31.87,0.21,2.69,2.01,0.62,44.27,38.67,61.2,38.07,3.5,42.47,36.4,7.67,239.07,7.88,34.67
O. latifolia,4,L_100171,5.51,2.19,1.37,0.45,28.53,0.2,2.34,2.3,0.61,43.27,40.4,58.47,38.47,2.68,48.27,113.13,8.33,227.6,7.5,33
O. latifolia,4,L_100172,6.19,2.28,1.51,0.47,23.33,0.2,1.93,1.88,0.68,47.2,45.53,61.47,42.33,2.91,45.13,73.53,7.13,232,7.7,41.67
O. latifolia,4,L_100885,6.08,2.29,1.5,0.55,30.2,0.2,2.29,1.94,0.63,42.6,39.87,56.43,37.33,2.67,43.4,56.07,4.8,192,6.81,31
O. latifolia,4,L_100888,6.81,2.55,1.83,0.47,28.67,0.2,2.35,1.66,0.67,35.38,32.71,46.8,32.96,3.74,41.13,81.2,4.76,188.2,8.04,52
O. latifolia,4,L_100890,6.05,2.31,1.48,0.49,36.73,0.2,2.76,2.16,0.71,45.67,43.07,65.27,40.33,3.27,47.13,70.6,6.8,253.53,7.64,37.67
O. latifolia,4,L_100891,6,2.27,1.41,0.45,28.07,0.22,2.2,1.92,0.63,46,41.53,59.93,37.6,3.01,46.93,35.87,6,233.67,8.18,34
O. latifolia,4,L_100914,6.41,2.51,2.05,0.61,27.8,0.21,2.57,2.02,0.64,58.73,40.4,67.13,35.13,3.75,49.4,80.73,6.47,232.47,7.83,36.67
O. latifolia,4,L_100952,7.62,2.61,2.33,0.42,49.73,0.3,3.68,1.87,0.73,43.67,45.2,61.73,45.2,5.2,46.87,79.67,4.73,243.07,7.41,49.67
O. latifolia,4,L_100955,6.06,2.28,1.87,0.5,26.8,0.15,2.72,1.95,0.64,39.2,31.5,49.8,34.3,3,43.1,86.9,5.4,217.6,6.73,42
O. latifolia,4,L_100956,5.84,2.31,1.57,0.58,22.4,0.19,2.21,2.11,0.7,32.33,33.47,51.67,35.2,2.83,39.93,74.33,6.53,245.47,7.85,58.33
O. latifolia,4,L_100959,5.96,2.31,1.41,0.5,23.33,0.2,2.31,2.18,0.7,44.2,42.13,64.33,43.13,2.24,40.27,56.53,6.13,227.93,7.31,38.33
O. latifolia,4,L_100962,5.87,2.22,1.38,0.48,25.13,0.2,2.33,2.05,0.66,43.6,40.27,60.93,38.73,2.91,49.87,96.07,6.67,236.8,8.13,33
O. latifolia,4,L_100963,5.6,2.28,1.35,0.47,29.13,0.2,1.97,2.07,0.63,46.67,38.6,65,34.73,3.02,50.13,85.4,5.67,237.53,7.35,32
O. latifolia,4,L_100964,5.74,2.25,1.22,0.43,18.93,0.19,2.11,2.49,0.67,42.4,43.47,63.8,43.2,2.46,42.47,46.33,6,237.27,7.33,38.67
O. latifolia,4,L_100965,5.87,2.33,1.36,0.48,21.07,0.2,2.51,2.21,0.64,43.27,41.8,58.4,39.13,2.17,43.67,51.53,6.07,240.6,8.08,33.33
O. latifolia,4,L_100966,6.75,2.15,1.66,0.49,30.7,0.2,1.97,2.54,0.7,40.3,38.6,61.2,36.4,4.45,33.6,46.9,6.7,211.8,5.88,32
O. latifolia,4,L_100967,7.77,2.43,2.43,0.4,43.07,0.22,3.24,2.02,0.79,45.33,35.47,65.2,39.6,4.18,44.47,100,7.13,249.67,8.17,77
O. latifolia,4,L_101392,5.56,2.27,1.35,0.42,14.33,0.2,1.72,2.22,0.58,40.47,39,50.53,33,2.49,37.93,34.6,4.27,192.6,6.42,32.67
O. latifolia,4,L_101394,5.21,1.91,1.57,0.31,19.93,0.11,2.72,1.87,0.69,25.33,29.13,42.27,30.73,3.09,39.27,61.8,5.33,201.67,6.84,82.33
O. latifolia,4,L_101443,6.33,2.45,1.93,0.52,27.27,0.21,2.49,1.99,0.6,53.27,39.67,64.8,33.2,3.21,49.73,79.07,4.67,216.93,7.49,35
O. latifolia,4,L_102481,6.21,2.29,1.73,0.46,22.47,0.22,2,2.31,0.75,45.6,40.13,62.6,37.93,3.73,56.87,115,5.8,260.87,8.91,31.67
O. latifolia,4,L_103787,5.75,2.21,1.68,0.4,27.33,0.13,2.49,2.21,0.72,32.8,45.6,49.8,47.4,4.25,47,111.6,4.8,306.93,11.07,81.67
O. latifolia,4,L_103808,5.15,2.19,1.01,0.49,8.27,0.19,1.89,1.95,0.69,43.6,39.73,66.93,35.73,3.57,43.93,67.93,5.73,240.27,7.09,48.33
O. latifolia,4,L_104985,5.76,2.17,1.51,0.38,26.93,0.13,2.85,1.87,0.79,41.8,34.53,59.2,32.33,3.25,41.07,56.87,5.27,153.93,4.01,51
O. latifolia,4,L_105133,8.32,2.27,2.2,0.45,46.07,0.2,3.9,1.61,0.73,34.67,36.33,57.53,36,4.53,41.73,47.87,4.6,175.67,5.06,42.33
O. latifolia,4,L_105139,5.55,2.3,1.49,0.47,21.73,0.2,2.42,1.94,0.63,30.8,33.67,48.67,35.47,2.75,46,101.93,6.73,297.13,9.27,62.67
O. latifolia,4,L_105140,6.19,2.22,1.55,0.47,25.33,0.19,2.38,2.12,0.68,42.67,40.27,63.2,40.8,3.75,55.53,74.47,6.53,265.73,9.09,34.33
O. latifolia,4,L_105141,6.83,2.31,1.34,0.43,18.8,0.2,2.38,2.83,0.75,39.13,34.13,54.8,31.53,4.29,37.4,45.4,3.6,186.8,6.3,32.67
O. latifolia,4,L_105142,5.83,2.1,1.67,0.31,23.53,0.16,2.84,1.75,0.77,31.27,36.8,48.73,39.47,3.26,38.93,79.8,4,249.07,8.26,82.33
O. latifolia,4,L_105145,5.79,2.14,1.67,0.31,25,0.13,2.9,1.64,0.81,30.13,37.33,51.47,41.67,3.53,38.47,77.4,3.87,258.6,8.27,79
O. latifolia,4,L_105557,6.13,2.26,1.97,0.47,21.6,0.19,1.96,2.45,0.86,46.2,44.73,53.87,39.6,3.51,44.67,86.93,4.47,228.13,6.47,20.33
O. latifolia,4,L_80769,5.13,2.35,1.41,0.46,11.93,0.17,1.69,2.04,0.69,39.7,25.1,51,20.7,2.32,33.3,54.1,5.4,163,4.81,23
O. latifolia,4,L_80770,4.88,2.25,1.28,0.43,22.07,0.18,1.67,1.63,0.62,31.67,29.07,45.4,27.93,2.47,29.93,36.53,5.27,164.47,5.31,43
O. latifolia,4,L_80771,7.81,2.7,2.43,0.52,48.53,0.21,4.34,2.03,0.67,39.4,36.6,58.93,32,4.84,52,65.07,4.53,174,5.97,40.67
O. latifolia,4,L_99580,5.59,2.34,1.55,0.39,7.87,0.09,2.08,2.07,0.64,44.86,41.33,59.55,39.07,2.93,43.07,33.53,5.4,227.8,6.58,33.67
O. latifolia,4,L_99581,5.17,2.03,1.25,0.46,14.53,0.18,2.17,1.87,0.73,24.67,25.4,37.6,24.33,2.1,28.87,51.53,3.53,162.6,4.81,51
O. latifolia,4,L_99582,5.6,2.19,1.41,0.4,13.2,0.17,1.45,1.92,0.74,34.4,32.6,48.13,30.67,2.63,35.6,56.27,5.13,180.4,5.13,28.67
O. latifolia,4,L_99583,6.37,2.29,1.79,0.39,30.87,0.21,2.81,1.83,0.76,41.27,37.53,58.13,37.6,3.42,37.67,70.2,6.6,198.73,6.31,46.33
O. latifolia,4,L_99584,5.74,2.34,1.55,0.51,24.07,0.21,2.91,1.97,0.63,45.6,37.07,58.73,35.53,3.93,45.27,43.6,6.2,219.07,7.11,34.67
O. latifolia,4,L_99585,5.78,2.34,1.79,0.43,24.4,0.21,2.79,2.31,0.63,30.53,25.67,47.07,28.53,3.48,34.13,35.67,7,234.6,8.53,53.67
O. latifolia,4,L_99586,5.73,2.47,1.34,0.44,19.47,0.2,2.81,1.93,0.58,36.07,31.2,53.73,31.93,3.85,41.8,28.33,7.53,239.93,6.62,37.67
O. latifolia,4,L_99587,6.68,2.28,1.77,0.51,22.93,0.2,2.79,2.45,0.69,37.07,31.93,63.13,36.87,3.81,42.33,70.13,6.8,240,7.93,40.33
O. latifolia,4,L_99588,6.41,2.23,1.65,0.46,16,0.2,2.4,2.14,0.76,35.73,31.13,60.2,35.87,3.33,36.2,84,5.93,199.6,6.85,55.67
O. latifolia,4,L_99589,5.29,2.2,1.34,0.47,15.53,0.2,1.32,2.25,0.67,29.4,39.73,46.53,37.93,1.79,29.6,32.4,6.33,179.67,5.65,27.67
O. latifolia,4,L_99590,6.08,2.23,1.58,0.38,16.73,0.17,2.65,1.83,0.73,35.33,28.8,59.67,30.47,3.25,44.53,114.6,5.33,184.33,6.41,59.5
O. latifolia,4,L_99591,6.03,2.22,1.49,0.44,13.93,0.2,2.27,2.11,0.77,29.8,25.07,57.53,27.67,3.09,43.73,107.73,5.2,190.67,6.5,56
O. latifolia,4,L_99592,5.99,2.18,1.87,0.49,23,0.19,2.12,2.26,0.75,28.13,32.33,42.53,27.47,2.12,29.6,38.2,4.27,146.93,4.81,40
O. latifolia,4,L_99594,6.12,2.31,1.57,0.49,19.87,0.2,2.27,2.39,0.73,28,27.87,47.6,29.67,3.1,37.87,37.47,8.07,275.27,8.4,55
O. latifolia,4,L_99595,6.02,2.29,1.45,0.48,16.73,0.2,2.21,1.99,0.71,29.6,38,48.87,35.13,2.22,35.53,30.73,5.6,220,7.73,34.67
O. latifolia,4,L_99596,6.07,2.37,1.41,0.81,17.8,0.2,2.26,1.87,0.6,37.33,42.4,60.2,44.2,3.85,42.6,71.2,9,254.33,9.62,45
O. latifolia,4,L_99597,5.83,2.21,1.21,0.45,24.33,0.21,2.19,1.82,0.61,41.73,49.07,57.13,41.53,3.34,40.27,49.4,7.8,209.93,6.3,37
O. minuta,5,M_100887,4.812,1.816,1.364,0.456,14,0.1,2.244,2.084,0.544,19.44,14.04,26.32,16.84,3.1044,18.548,23.72,2.48,108.4,3.3,52.2
O. minuta,5,M_101079,5.02,1.792,1.596,0.464,21.56,0.116,2.068,2.34,0.608,19.56,11.48,23.68,11.56,3.032,16.4,18.86,2.92,102.88,2.796,30.4
O. minuta,5,M_101080,4.615,1.935,1.605,0.525,18.2,0.12,2.005,2.08,0.57,19.25,12.85,25.45,13.95,3.04,17.95,27.2,2.45,106.4,3.15,45
O. minuta,5,M_101081,4.712,1.8,1.408,0.568,12.16,0.108,1.944,2,0.592,17.96,13.56,21.72,13.44,2.728,18.84,35.4,2.64,127.52,2.744,26.6
O. minuta,5,M_101082,4.448,1.804,1.24,0.4536,14.68,0.1,2.116,1.8076,0.488,16.8,12.44,21.84,12.64,2.312,17.32,22.172,2.04,101.48,2.932,40.6
O. minuta,5,M_101083,4.552,1.768,1.408,0.472,17.8,0.1,2.308,2.016,0.584,17.6,12.24,25.16,12.52,2.984,17.48,19.8,2.64,101.2,2.948,45.8
O. minuta,5,M_101084,4.744,1.888,1.36,0.448,21.48,0.1,2.46,1.992,0.596,13.16,10.52,18.44,9.84,2.432,15.72,17.4,1.88,123.96,3.5,36
O. minuta,5,M_101086,4.684,1.936,1.336,0.488,15.28,0.108,2.208,1.864,0.576,18.64,13.56,25.52,14,3.0188,19.8,32.08,2.44,109.56,3.308,31.6
O. minuta,5,M_101089,4.64,1.784,1.376,0.476,17.04,0.1,2.196,2.064,0.608,15.32,10.88,20.04,11.88,2.896,14.96,18.76,2.2,120.56,3.148,46.2
O. minuta,5,M_101094,4.668,1.816,1.424,0.484,19.16,0.108,2.364,2.168,0.58,17.4,11.1,23.55,12.6,3.07,19,18.85,2.75,111.8,2.9,50
O. minuta,5,M_101096,4.628,1.804,1.412,0.468,18.44,0.12,2.2,2.124,0.58,18,12.16,21.08,12.32,3.084,16.32,26.76,2.52,94.48,3.004,33
O. minuta,5,M_101097,4.788,1.788,1.464,0.492,18.44,0.104,2.04,2,0.604,16.96,11.32,21.44,11.08,2.708,17.52,23.64,2.24,90.36,2.364,28.8
O. minuta,5,M_101098,4.816,1.78,1.696,0.492,16.6,0.12,2.196,2.22,0.645,16.36,12.08,22.16,10.76,3.104,19.08,23.52,2.2,112.16,3.528,44.5
O. minuta,5,M_101099,4.704,1.848,1.64,0.468,19.24,0.136,2.116,2.188,0.6,20.08,12.32,24.32,12.72,3.216,20.04,25.32,3.44,113.36,3.072,30.4
O. minuta,5,M_101100,4.564,1.8,1.444,0.444,15.56,0.108,2.036,2.132,0.58,19.68,12.2,23.76,12.24,3.316,17.12,27.4,2.96,101.24,2.848,38
O. minuta,5,M_101101,4.776,1.832,1.392,0.48,21.72,0.136,2.0532,1.892,0.524,15.6,11.68,22.16,12.04,3.076,17.96,27.76,2.32,94.2,2.884,31
O. minuta,5,M_101125,4.696,1.868,1.5,0.532,13.56,0.132,2.076,2.116,0.556,16.4,12.84,20.56,12.32,2.684,18.8,27.76,2.32,95.72,3.024,25.6
O. minuta,5,M_101126,4.744,1.752,1.536,0.48,18.24,0.128,2.084,2.108,0.612,17.36,12.96,23.92,12.84,2.804,18.56,24.32,2.64,102.64,2.776,40.6
O. minuta,5,M_101128,4.812,1.844,1.452,0.516,19.32,0.14,2.188,2.096,0.588,19.16,14.16,26.36,14.92,3.268,20.28,34.2,2.68,108.48,3.028,29.2
O. minuta,5,M_101132,4.676,1.896,1.436,0.48,17.28,0.108,2.176,1.964,0.544,16.76,11.6,22.84,12.36,2.828,16.16,20.6,2.6,105.12,2.86,33.2
O. minuta,5,M_101133,4.568,1.824,1.408,0.48,18.12,0.108,2.316,1.956,0.632,17.8,12.6,22.75,13.5,2.63,16.75,26.65,2.35,108.7,2.83,44.2
O. minuta,5,M_101134,4.784,1.848,1.516,0.532,13.96,0.108,2.016,2.212,0.568,17.32,12.44,22.36,12.2,2.924,18.32,28.52,2.84,99.64,2.932,27.2
O. minuta,5,M_101141,4.624,1.844,1.372,0.488,21.64,0.128,2.016,1.936,0.544,14.84,12.64,21.48,12.88,3.224,18.76,22.08,2.4,97.88,2.808,32
O. minuta,5,M_101143,4.728,1.824,1.28,0.472,20.68,0.132,2.028,1.784,0.584,16.12,11.72,19.72,12.28,2.084,18.48,23.76,3.24,89.96,2.792,23.4
O. minuta,5,M_101386,4.76,1.856,1.356,0.488,20.52,0.14,2.128,2.104,0.56,13.44,10.96,18.96,11.12,2.672,15.8,17.6,2.36,90.72,2.552,26
O. minuta,5,M_101387,4.808,1.812,1.336,0.468,19.48,0.14,2.2848,2.2,0.576,17.12,13.4,20.68,12.56,2.68,17.6,22.36,2.48,92.48,2.492,21
O. minuta,5,M_103865,4.824,1.788,1.308,0.476,15.16,0.1,2.044,1.984,0.564,13.92,10.2,16.52,9.24,2.3,12.76,11.44,1.52,72.08,1.828,27.8
O. minuta,5,M_103874,4.68,1.792,1.328,0.48,17.36,0.1,2.124,2.016,0.552,13.96,10,16.16,9.08,2.204,12.96,10.2,1.36,80.76,2.248,36.4
O. minuta,5,M_103876,4.788,1.848,1.264,0.412,16.6,0.108,2.184,1.964,0.544,15.64,10.76,18.48,11.12,2.72,13.68,18,2.32,79.16,2.396,43
O. minuta,5,M_103877,4.796,1.816,1.268,0.472,16.64,0.104,2.148,2.004,0.58,12.84,9.31,16.92,10.04,2.26,13.24,10.4,2.12,79.04,3.372,28
O. minuta,5,M_103878,4.74,1.844,1.28,0.476,15.24,0.108,2.092,2.008,0.624,18.52,13.6,21.36,12.4,2.62,16.6,19.64,2.04,91.96,2.66,31.2
O. minuta,5,M_103879,4.9,1.836,1.344,0.512,16.088,0.1,2.232,2.068,0.612,14.68,10.28,17.16,9.84,2.372,13,10.16,1.56,68.96,2.156,30.6
O. minuta,5,M_103880,4.632,1.8,1.188,0.484,11.12,0.1,1.992,1.664,0.54,12.88,10.84,17.04,10.96,2.68,13.6,19.64,1.84,79.16,2.14,27.8
O. minuta,5,M_103881,4.544,1.792,1.244,0.468,16.16,0.104,1.972,1.884,0.564,12.08,10.04,13.68,9.2,1.796,12.28,13.48,1.84,71.44,1.856,24.2
O. minuta,5,M_103882,4.72,1.804,1.232,0.468,19.24,0.116,2.112,2.048,0.564,11.8,9.68,13.04,8.6,1.728,11.64,12.32,2.16,62,1.764,27.4
O. minuta,5,M_104674,4.524,1.784,1.332,0.492,19.72,0.116,2.192,1.848,0.496,16.92,12,22.8,11.56,2.532,16.4,22.72,1.56,92,2.688,37
O. minuta,5,M_104676,4.556,1.764,1.316,0.508,19.8,0.14,2.076,1.904,0.56,20.24,13.04,25.36,12.08,2.728,17.76,27.48,2.64,93.68,2.824,35.2
O. minuta,5,M_104677,4.5004,1.704,1.224,0.472,21.44,0.116,2.124,1.904,0.508,19.16,12.32,25.08,12.24,3.012,16.92,26,3.24,94.84,2.952,24.4
O. minuta,5,M_105123,4.844,1.832,1.148,0.46,16.52,0.12,2.232,2.048,0.58,15.92,11.36,20.48,11.36,2.496,16.76,21.28,2.4,92.68,2.88,18.2
O. minuta,5,M_105124,4.696,1.88,1.404,0.556,14.32,0.104,2.172,2.02,0.576,17.84,13.16,22.16,12.64,2.78,21.13,23.17,2.16,114.36,2.7916,42.2
O. minuta,5,M_105125,4.72,1.808,1.496,0.544,12.48,0.104,2.06,2.02,0.556,16.52,12.72,20.64,12.08,2.708,19.2,26.28,2.24,99.76,2.816,29.8
O. minuta,5,M_105126,4.66,1.815,1.415,0.475,22.275,0.1,2.165,2.03,0.5465,15.35,11.85,22.7,12.45,2.83,15.9,9.9,2.3,103.75,2.65,38.75
O. minuta,5,M_105128,6.052,2.08,0.852,0.54,23.12,0.132,2.296,2.244,0.772,26,18.6,34.84,18.12,4.568,24.41,54.04,2.24,109.12,4.204,50.2
O. minuta,5,M_105129,5.804,2.264,1.136,0.544,53.64,0.2,1.8,1.16,0.8,25.32,11.32,35.24,11.28,4.368,24.8,19.64,3.24,141.92,4.628,27
O. minuta,5,M_105130,4.66,1.792,1.36,0.476,17.84,0.104,1.928,2,0.596,19,11.72,24.88,12.16,2.84,18.76,28.16,3.12,100.8,2.932,28.6
O. minuta,5,M_105131,4.49,1.8,1.19,0.46,17.4,0.115,2.01,1.865,0.575,18.25,12,23.3,12.35,2.4,18.5,29.4,2.55,92.35,2.925,32
O. minuta,5,M_105132,4.468,1.796,1.208,0.464,16.4,0.112,2.028,1.772,0.572,19.44,13.04,21.32,12.52,2.28,17.72,20.56,3.24,84.56,2.676,34
O. minuta,5,M_105253,4.7,1.812,1.284,0.4932,16.96,0.104,2.08,1.848,0.564,11.72,9.52,13.04,8.8,1.936,11.8,18.36,2.04,72.68,2.252,37
O. minuta,5,M_105307,4.784,1.872,1.496,0.552,13.56,0.108,2.008,2.116,0.572,19.32,13.36,23.48,13.12,2.896,18.6,22.64,2.52,96.56,2.92,32.4
O. minuta,5,M_106475,4.52,1.78,1.3572,0.492,15.68,0.1,1.972,1.976,0.592,20,10.92,23.84,11.2,7.504,18.16,20.72,2.32,102.45,2.908,46.2
O. minuta,5,M_106479,4.98,1.97,1.505,0.505,18.15,0.175,2.23,2.13,0.58,20.05,14.4,23.8,12.9,3.09,20.5,25.6,2.75,95.3,2.79,24.25
