Geno,T264,T264d,T264sd,T264b,T264b2,T264b3,T264o,T264o2,T264o3
G092,93.867,0.93867,-0.769882303,1,2,A,2,2,B
G093,139.867,1.39867,-0.179285525,1,2,A,2,2,B
G094,117.933,1.17933,-0.460897476,1,2,A,2,2,B
G095,77.8,0.778,-0.976167487,1,2,A,1,3,A
G096,117.833,1.17833,-0.462181382,1,2,A,2,2,B
G097,264,2.64,1.41446556,2,1,B,3,1,C
G098,77.733,0.77733,-0.977027704,1,2,A,1,3,A
G099,93.183,0.93183,-0.778664221,1,2,A,1,3,A
G100,77.633,0.77633,-0.97831161,1,2,A,1,3,A
G101,77.55,0.7755,-0.979377252,1,2,A,1,3,A
G102,264,2.64,1.41446556,2,1,B,3,1,C
G103,117.433,1.17433,-0.467317006,1,2,A,2,2,B
G104,93.067,0.93067,-0.780153552,1,2,A,1,3,A
G105,99.867,0.99867,-0.692847941,1,2,A,2,2,B
G106,82.333,0.82333,-0.917968026,1,2,A,1,3,A
G107,163.75,1.6375,0.127349755,2,1,B,2,2,B
G108,82.017,0.82017,-0.922025169,1,2,A,1,3,A
G109,264,2.64,1.41446556,2,1,B,3,1,C
G110,264,2.64,1.41446556,2,1,B,3,1,C
G111,91.283,0.91283,-0.803058435,1,2,A,1,3,A
G112,140.767,1.40767,-0.167730371,1,2,A,2,2,B
G113,81.733,0.81733,-0.925671462,1,2,A,1,3,A
G114,75.667,0.75667,-1.003553203,1,2,A,1,3,A
G115,76.483,0.76483,-0.993076529,1,2,A,1,3,A
G116,116.467,1.16467,-0.479719538,1,2,A,2,2,B
G117,116.517,1.16517,-0.479077585,1,2,A,2,2,B
G118,139.55,1.3955,-0.183355507,1,2,A,2,2,B
G119,264,2.64,1.41446556,2,1,B,3,1,C
G120,116.2,1.162,-0.483147567,1,2,A,2,2,B
