"","Rgn","PH","FLL","FLW","TN","SD","PL","GL","GW","GLWR","GT","KGW"
"45",3,106.2,25.09,1.71,27.5,5.12,19.4,7.52,2.95,3.31,2.22,28.22
"46",3,98.5,29.33,1.19,28.4,5.7,18.62,9.01,3.97,2.95,1.98,23.12
"47",3,110.3,25.45,1,11.9,7.03,19.76,10.61,3.01,3.64,1.99,20.13
"48",3,72.8,42.31,1.67,-3.5,5.23,25.56,9.92,2.7,3.02,1.86,22.13
"49",3,85.2,31.99,1.77,25.4,4.69,23.82,8.23,3.04,3.42,2.08,24.72
"50",3,85.2,36.22,1.65,22.3,8.1,25.92,10.09,3.15,2.94,1.96,21.63
"51",3,120.7,36.68,2.49,23.3,5.07,23.44,9.26,3.19,2.79,2.37,27.04
"52",3,128.9,32.69,1.45,14.7,3.64,20.56,8.54,2.37,3.52,2.06,23.36
"53",3,120.1,38.32,1.99,13.1,3.27,19.93,7.62,2.83,3.21,2.09,19.83
"54",3,83.1,56.08,1.26,-4.9,6.43,27.74,8.36,3.23,3.05,2.32,27.04
"55",3,109.6,33.93,1.64,22,5.38,24.11,8.19,2.84,3.56,2.26,28.05
"56",3,129.9,39.74,1.15,20,5.95,24.82,8.84,3.45,3.65,2.13,23.85
"57",3,155.3,27.68,1.38,22.6,4.55,23.82,7.6,3.32,3.66,2.46,23.84
"58",3,96,27.08,1.68,10.3,6.13,15.84,9.6,3.16,3.82,2.05,28.89
"59",3,135.7,49.58,1.34,28.2,4.8,21.55,8.2,3.7,2.92,2.16,22.07
"60",3,154.5,34.61,1.28,25.8,4.11,26.52,7.97,2.83,3.48,2.31,19.87
