Genotype,EnvCode,Env,Rep,Yield
STBN 17,2,CRRI,1,617.3
STBN 17,2,CRRI,2,848.8
STBN 17,2,CRRI,3,432
STBN 18,2,CRRI,1,1234.6
STBN 18,2,CRRI,2,1345
STBN 18,2,CRRI,3,1543
STBN 19,2,CRRI,1,1388.9
STBN 19,2,CRRI,2,1543.2
STBN 19,2,CRRI,3,1698
STBN 20,2,CRRI,1,1157.4
STBN 20,2,CRRI,2,1080.2
STBN 20,2,CRRI,3,1389
STBN 21,2,CRRI,1,
STBN 21,2,CRRI,2,
STBN 21,2,CRRI,3,
STBN 22,2,CRRI,1,2345.7
STBN 22,2,CRRI,2,2700.6
STBN 22,2,CRRI,3,2778
STBN 23,2,CRRI,1,1574.1
STBN 23,2,CRRI,2,1543.2
STBN 23,2,CRRI,3,2006
STBN 24,2,CRRI,1,1157.4
STBN 24,2,CRRI,2,1388.9
STBN 24,2,CRRI,3,
STBN 25,2,CRRI,1,1543.2
STBN 25,2,CRRI,2,1543.2
STBN 25,2,CRRI,3,1466
STBN 26,2,CRRI,1,2623.4
STBN 26,2,CRRI,2,2700.6
STBN 26,2,CRRI,3,2083
STBN 1,3,DRR,1,1214
STBN 1,3,DRR,2,1350
STBN 1,3,DRR,3,1282
STBN 2,3,DRR,1,1000
STBN 2,3,DRR,2,1569
STBN 2,3,DRR,3,1284.5
STBN 3,3,DRR,1,1513
STBN 3,3,DRR,2,1700
STBN 3,3,DRR,3,1606.5
STBN 4,3,DRR,1,2008
STBN 4,3,DRR,2,2500
STBN 4,3,DRR,3,2254
STBN 5,3,DRR,1,1203
STBN 5,3,DRR,2,1754
STBN 5,3,DRR,3,1478.5
STBN 6,3,DRR,1,2503
STBN 6,3,DRR,2,2840
STBN 6,3,DRR,3,2671.5
STBN 7,3,DRR,1,2201
STBN 7,3,DRR,2,1700
STBN 7,3,DRR,3,1950.5
STBN 8,3,DRR,1,1900
STBN 8,3,DRR,2,2120
STBN 8,3,DRR,3,2010
STBN 9,3,DRR,1,1009
STBN 9,3,DRR,2,1562
STBN 9,3,DRR,3,1285.5
STBN 10,3,DRR,1,1712
STBN 10,3,DRR,2,2000
STBN 10,3,DRR,3,1856
STBN 11,3,DRR,1,1100
STBN 11,3,DRR,2,1561
STBN 11,3,DRR,3,1330.5
STBN 12,3,DRR,1,2015
STBN 12,3,DRR,2,1903
STBN 12,3,DRR,3,1959
STBN 13,3,DRR,1,1814
STBN 13,3,DRR,2,2500
STBN 13,3,DRR,3,2157
STBN 14,3,DRR,1,1513
STBN 14,3,DRR,2,1850
STBN 14,3,DRR,3,1681.5
STBN 15,3,DRR,1,1900
STBN 15,3,DRR,2,2300
STBN 15,3,DRR,3,2100
STBN 16,3,DRR,1,2112
STBN 16,3,DRR,2,1862
STBN 16,3,DRR,3,1987
STBN 17,3,DRR,1,1610
STBN 17,3,DRR,2,1950
STBN 17,3,DRR,3,1780
STBN 18,3,DRR,1,1718
STBN 18,3,DRR,2,2100
STBN 18,3,DRR,3,1909
STBN 19,3,DRR,1,1750
STBN 19,3,DRR,2,2000
STBN 19,3,DRR,3,1875
STBN 20,3,DRR,1,2019
STBN 20,3,DRR,2,1250
STBN 20,3,DRR,3,1634.5
STBN 21,3,DRR,1,700
STBN 21,3,DRR,2,1500
STBN 21,3,DRR,3,1100
STBN 22,3,DRR,1,2250
STBN 22,3,DRR,2,2000
STBN 22,3,DRR,3,2125
STBN 23,3,DRR,1,2000
STBN 23,3,DRR,2,1900
STBN 23,3,DRR,3,1950
STBN 24,3,DRR,1,1752
STBN 24,3,DRR,2,1862
STBN 24,3,DRR,3,1807
STBN 25,3,DRR,1,1737
STBN 25,3,DRR,2,1568
STBN 25,3,DRR,3,1652.5
STBN 26,3,DRR,1,2400
STBN 26,3,DRR,2,2000
STBN 26,3,DRR,3,2200
STBN 1,4,GOA,1,265.7342657
STBN 1,4,GOA,2,487.1794872
STBN 1,4,GOA,3,244.7552448
STBN 2,4,GOA,1,1312.354312
STBN 2,4,GOA,2,1561.771562
STBN 2,4,GOA,3,1342.657343
STBN 3,4,GOA,1,251.7482517
STBN 3,4,GOA,2,249.4172494
STBN 3,4,GOA,3,251.7482517
STBN 4,4,GOA,1,384.6153846
STBN 4,4,GOA,2,296.037296
STBN 4,4,GOA,3,540.7925408
STBN 5,4,GOA,1,
STBN 5,4,GOA,2,
STBN 5,4,GOA,3,
STBN 6,4,GOA,1,242.4242424
STBN 6,4,GOA,2,321.6783217
STBN 6,4,GOA,3,468.5314685
STBN 7,4,GOA,1,
STBN 7,4,GOA,2,
STBN 7,4,GOA,3,
STBN 8,4,GOA,1,934.7319347
STBN 8,4,GOA,2,839.1608392
STBN 8,4,GOA,3,759.9067599
STBN 9,4,GOA,1,558
STBN 9,4,GOA,2,417
STBN 9,4,GOA,3,638.6946387
STBN 10,4,GOA,1,1941
STBN 10,4,GOA,2,1531.468531
STBN 10,4,GOA,3,1554
STBN 11,4,GOA,1,1041
STBN 11,4,GOA,2,1181.818182
STBN 11,4,GOA,3,1147
STBN 12,4,GOA,1,1069.93007
STBN 12,4,GOA,2,1305.361305
STBN 12,4,GOA,3,440.5594406
STBN 13,4,GOA,1,1594
STBN 13,4,GOA,2,1562
STBN 13,4,GOA,3,1871.794872
STBN 14,4,GOA,1,1349.65035
STBN 14,4,GOA,2,1289.044289
STBN 14,4,GOA,3,1104.895105
STBN 15,4,GOA,1,1679
STBN 15,4,GOA,2,2051.282051
STBN 15,4,GOA,3,1724
STBN 16,4,GOA,1,1510.48951
STBN 16,4,GOA,2,1277
STBN 16,4,GOA,3,1609
STBN 17,4,GOA,1,1223.776224
STBN 17,4,GOA,2,1319.347319
STBN 17,4,GOA,3,1242.424242
STBN 18,4,GOA,1,687.6456876
STBN 18,4,GOA,2,433.5664336
STBN 18,4,GOA,3,550.1165501
STBN 19,4,GOA,1,1643
STBN 19,4,GOA,2,1913.752914
STBN 19,4,GOA,3,1926
STBN 20,4,GOA,1,1398
STBN 20,4,GOA,2,1780.885781
STBN 20,4,GOA,3,1693
STBN 21,4,GOA,1,997.6689977
STBN 21,4,GOA,2,804.1958042
STBN 21,4,GOA,3,724.9417249
STBN 22,4,GOA,1,1176
STBN 22,4,GOA,2,1232
STBN 22,4,GOA,3,1252
STBN 23,4,GOA,1,1211
STBN 23,4,GOA,2,868
STBN 23,4,GOA,3,983
STBN 24,4,GOA,1,1475.524476
STBN 24,4,GOA,2,1757.575758
STBN 24,4,GOA,3,1652.680653
STBN 25,4,GOA,1,1566.433566
STBN 25,4,GOA,2,1547.785548
STBN 25,4,GOA,3,1839.160839
STBN 26,4,GOA,1,783.2167832
STBN 26,4,GOA,2,1139.86014
STBN 26,4,GOA,3,1370.629371
STBN 1,6,KARAIKAL,1,1500
STBN 1,6,KARAIKAL,2,1833.333333
STBN 1,6,KARAIKAL,3,2000
STBN 2,6,KARAIKAL,1,4500
STBN 2,6,KARAIKAL,2,4333.433333
STBN 2,6,KARAIKAL,3,3166.666667
STBN 3,6,KARAIKAL,1,2666.666667
STBN 3,6,KARAIKAL,2,2333.333333
STBN 3,6,KARAIKAL,3,2000
STBN 4,6,KARAIKAL,1,500
STBN 4,6,KARAIKAL,2,500
STBN 4,6,KARAIKAL,3,166.6666667
STBN 5,6,KARAIKAL,1,1666.666667
STBN 5,6,KARAIKAL,2,1500
STBN 5,6,KARAIKAL,3,1000
STBN 6,6,KARAIKAL,1,2000
STBN 6,6,KARAIKAL,2,1666.666667
STBN 6,6,KARAIKAL,3,1500
STBN 7,6,KARAIKAL,1,1166.666667
STBN 7,6,KARAIKAL,2,1333.333333
STBN 7,6,KARAIKAL,3,1833.333333
STBN 8,6,KARAIKAL,1,2666.666667
STBN 8,6,KARAIKAL,2,2333.333333
STBN 8,6,KARAIKAL,3,2000
STBN 9,6,KARAIKAL,1,3966.666667
STBN 9,6,KARAIKAL,2,3000
STBN 9,6,KARAIKAL,3,2666.666667
STBN 10,6,KARAIKAL,1,2666.666667
STBN 10,6,KARAIKAL,2,2333.333333
STBN 10,6,KARAIKAL,3,2266.666667
STBN 11,6,KARAIKAL,1,5000
STBN 11,6,KARAIKAL,2,4333.333333
STBN 11,6,KARAIKAL,3,3666.666667
STBN 12,6,KARAIKAL,1,4500
STBN 12,6,KARAIKAL,2,4000
STBN 12,6,KARAIKAL,3,3600.333333
STBN 13,6,KARAIKAL,1,2500
STBN 13,6,KARAIKAL,2,3333.333333
STBN 13,6,KARAIKAL,3,3666.666667
STBN 14,6,KARAIKAL,1,2333.333333
STBN 14,6,KARAIKAL,2,3000
STBN 14,6,KARAIKAL,3,3666.666667
STBN 15,6,KARAIKAL,1,5000
STBN 15,6,KARAIKAL,2,4333.333333
STBN 15,6,KARAIKAL,3,3166.666667
STBN 16,6,KARAIKAL,1,4666.666667
STBN 16,6,KARAIKAL,2,4000
STBN 16,6,KARAIKAL,3,3166.666667
STBN 17,6,KARAIKAL,1,3666.666667
STBN 17,6,KARAIKAL,2,3333.333333
STBN 17,6,KARAIKAL,3,3666.666667
STBN 18,6,KARAIKAL,1,3300
STBN 18,6,KARAIKAL,2,3833.333333
STBN 18,6,KARAIKAL,3,4466.666667
STBN 19,6,KARAIKAL,1,2166.666667
STBN 19,6,KARAIKAL,2,2666.666667
STBN 19,6,KARAIKAL,3,3000
STBN 20,6,KARAIKAL,1,3166.666667
STBN 20,6,KARAIKAL,2,3666.666667
STBN 20,6,KARAIKAL,3,4333.333333
STBN 21,6,KARAIKAL,1,3333.333333
STBN 21,6,KARAIKAL,2,4333.333333
STBN 21,6,KARAIKAL,3,5000
STBN 22,6,KARAIKAL,1,5000
STBN 22,6,KARAIKAL,2,4850
STBN 22,6,KARAIKAL,3,5333.333333
STBN 23,6,KARAIKAL,1,2500
STBN 23,6,KARAIKAL,2,2500
STBN 23,6,KARAIKAL,3,2500
STBN 24,6,KARAIKAL,1,3666.666667
STBN 24,6,KARAIKAL,2,3166.666667
STBN 24,6,KARAIKAL,3,3266.666667
STBN 25,6,KARAIKAL,1,2666.666667
STBN 25,6,KARAIKAL,2,2833.333333
STBN 25,6,KARAIKAL,3,3166.666667
STBN 26,6,KARAIKAL,1,3833.333333
STBN 26,6,KARAIKAL,2,3500
STBN 26,6,KARAIKAL,3,3583.333333
STBN 1,7,KARNALSA,1,448.844
STBN 1,7,KARNALSA,2,552.129226
STBN 1,7,KARNALSA,3,497.0873085
STBN 2,7,KARNALSA,1,586.608
STBN 2,7,KARNALSA,2,515.504
STBN 2,7,KARNALSA,3,477.73
STBN 3,7,KARNALSA,1,1079.892
STBN 3,7,KARNALSA,2,1204.324
STBN 3,7,KARNALSA,3,1255.43
STBN 4,7,KARNALSA,1,1390.972
STBN 4,7,KARNALSA,2,1595.396
STBN 4,7,KARNALSA,3,1848.704
STBN 5,7,KARNALSA,1,693.264
STBN 5,7,KARNALSA,2,608.828
STBN 5,7,KARNALSA,3,639.936
STBN 6,7,KARNALSA,1,1500.53
STBN 6,7,KARNALSA,2,1400.12
STBN 6,7,KARNALSA,3,1340.21
STBN 7,7,KARNALSA,1,1137.664
STBN 7,7,KARNALSA,2,1097.668
STBN 7,7,KARNALSA,3,1246.542
STBN 8,7,KARNALSA,1,492.1000073
STBN 8,7,KARNALSA,2,436.8452
STBN 8,7,KARNALSA,3,486.618
STBN 9,7,KARNALSA,1,995.456
STBN 9,7,KARNALSA,2,922.13
STBN 9,7,KARNALSA,3,1106.556
STBN 10,7,KARNALSA,1,1618.727
STBN 10,7,KARNALSA,2,1503.67
STBN 10,7,KARNALSA,3,1468.0754
STBN 11,7,KARNALSA,1,286.638
STBN 11,7,KARNALSA,2,459.954
STBN 11,7,KARNALSA,3,373.296
STBN 12,7,KARNALSA,1,593.4962
STBN 12,7,KARNALSA,2,464.8424
STBN 12,7,KARNALSA,3,640.3804
STBN 13,7,KARNALSA,1,1074.337
STBN 13,7,KARNALSA,2,1027.675
STBN 13,7,KARNALSA,3,939.906
STBN 14,7,KARNALSA,1,1491.8508
STBN 14,7,KARNALSA,2,1361.8638
STBN 14,7,KARNALSA,3,1426.9684
STBN 15,7,KARNALSA,1,484.396
STBN 15,7,KARNALSA,2,533.28
STBN 15,7,KARNALSA,3,508.838
STBN 16,7,KARNALSA,1,375.518
STBN 16,7,KARNALSA,2,257.752
STBN 16,7,KARNALSA,3,316.635
STBN 17,7,KARNALSA,1,963.4771982
STBN 17,7,KARNALSA,2,993.6784
STBN 17,7,KARNALSA,3,844.36
STBN 18,7,KARNALSA,1,337.744
STBN 18,7,KARNALSA,2,293.304
STBN 18,7,KARNALSA,3,239.976
STBN 19,7,KARNALSA,1,1588.2856
STBN 19,7,KARNALSA,2,1688.2756
STBN 19,7,KARNALSA,3,1527.1806
STBN 20,7,KARNALSA,1,1119.2214
STBN 20,7,KARNALSA,2,1171.6606
STBN 20,7,KARNALSA,3,1034.341
STBN 21,7,KARNALSA,1,952.5714
STBN 21,7,KARNALSA,2,812.8076
STBN 21,7,KARNALSA,3,882.5784
STBN 22,7,KARNALSA,1,919.2414
STBN 22,7,KARNALSA,2,866.58
STBN 22,7,KARNALSA,3,892.7996
STBN 23,7,KARNALSA,1,847.0264
STBN 23,7,KARNALSA,2,786.588
STBN 23,7,KARNALSA,3,871.024
STBN 24,7,KARNALSA,1,1197.4358
STBN 24,7,KARNALSA,2,1372.085
STBN 24,7,KARNALSA,3,1429.1904
STBN 25,7,KARNALSA,1,1915.464
STBN 25,7,KARNALSA,2,1779.2554
STBN 25,7,KARNALSA,3,1795.476
STBN 26,7,KARNALSA,1,1311.048
STBN 26,7,KARNALSA,2,1551.238204
STBN 26,7,KARNALSA,3,1421.7056
STBN 1,8,KARNALSO,1,279.972
STBN 1,8,KARNALSO,2,328.856
STBN 1,8,KARNALSO,3,273.306
STBN 2,8,KARNALSO,1,324.412
STBN 2,8,KARNALSO,2,284.416
STBN 2,8,KARNALSO,3,271.084
STBN 3,8,KARNALSO,1,477.73
STBN 3,8,KARNALSO,2,582.164
STBN 3,8,KARNALSO,3,542.168
STBN 4,8,KARNALSO,1,697.708
STBN 4,8,KARNALSO,2,662.156
STBN 4,8,KARNALSO,3,764.368
STBN 5,8,KARNALSO,1,322.19
STBN 5,8,KARNALSO,2,306.636
STBN 5,8,KARNALSO,3,331.078
STBN 6,8,KARNALSO,1,815.474
STBN 6,8,KARNALSO,2,648.824
STBN 6,8,KARNALSO,3,728.816
STBN 7,8,KARNALSO,1,473.286
STBN 7,8,KARNALSO,2,488.84
STBN 7,8,KARNALSO,3,611.05
STBN 8,8,KARNALSO,1,226.644
STBN 8,8,KARNALSO,2,182.204
STBN 8,8,KARNALSO,3,244.42
STBN 9,8,KARNALSO,1,364.408
STBN 9,8,KARNALSO,2,248.864
STBN 9,8,KARNALSO,3,208.868
STBN 10,8,KARNALSO,1,582.3862
STBN 10,8,KARNALSO,2,719.928
STBN 10,8,KARNALSO,3,848.804
STBN 11,8,KARNALSO,1,231.088
STBN 11,8,KARNALSO,2,315.524
STBN 11,8,KARNALSO,3,284.416
STBN 12,8,KARNALSO,1,324.412
STBN 12,8,KARNALSO,2,351.076
STBN 12,8,KARNALSO,3,315.524
STBN 13,8,KARNALSO,1,546.612
STBN 13,8,KARNALSO,2,648.824
STBN 13,8,KARNALSO,3,506.616
STBN 14,8,KARNALSO,1,631.048
STBN 14,8,KARNALSO,2,724.372
STBN 14,8,KARNALSO,3,671.044
STBN 15,8,KARNALSO,1,253.308
STBN 15,8,KARNALSO,2,324.412
STBN 15,8,KARNALSO,3,286.638
STBN 16,8,KARNALSO,1,99.99
STBN 16,8,KARNALSO,2,137.764
STBN 16,8,KARNALSO,3,108.878
STBN 17,8,KARNALSO,1,451.066
STBN 17,8,KARNALSO,2,475.508
STBN 17,8,KARNALSO,3,546.612
STBN 18,8,KARNALSO,1,102.212
STBN 18,8,KARNALSO,2,115.544
STBN 18,8,KARNALSO,3,177.76
STBN 19,8,KARNALSO,1,915.464
STBN 19,8,KARNALSO,2,1071.004
STBN 19,8,KARNALSO,3,991.012
STBN 20,8,KARNALSO,1,915.464
STBN 20,8,KARNALSO,2,871.024
STBN 20,8,KARNALSO,3,817.696
STBN 21,8,KARNALSO,1,675.488
STBN 21,8,KARNALSO,2,659.934
STBN 21,8,KARNALSO,3,728.816
STBN 22,8,KARNALSO,1,844.36
STBN 22,8,KARNALSO,2,775.478
STBN 22,8,KARNALSO,3,719.928
STBN 23,8,KARNALSO,1,537.724
STBN 23,8,KARNALSO,2,404.404
STBN 23,8,KARNALSO,3,424.402
STBN 24,8,KARNALSO,1,722.15
STBN 24,8,KARNALSO,2,808.808
STBN 24,8,KARNALSO,3,893.244
STBN 25,8,KARNALSO,1,1066.56
STBN 25,8,KARNALSO,2,991.012
STBN 25,8,KARNALSO,3,884.356
STBN 26,8,KARNALSO,1,946.612
STBN 26,8,KARNALSO,2,982.164
STBN 26,8,KARNALSO,3,984.396
STBN 1,9,LUCKNOW,1,139.9996267
STBN 1,9,LUCKNOW,2,
STBN 1,9,LUCKNOW,3,219.9994133
STBN 2,9,LUCKNOW,1,64.16649556
STBN 2,9,LUCKNOW,2,
STBN 2,9,LUCKNOW,3,54.99985333
STBN 3,9,LUCKNOW,1,42.8998856
STBN 3,9,LUCKNOW,2,
STBN 3,9,LUCKNOW,3,65.999824
STBN 4,9,LUCKNOW,1,
STBN 4,9,LUCKNOW,2,
STBN 4,9,LUCKNOW,3,
STBN 5,9,LUCKNOW,1,
STBN 5,9,LUCKNOW,2,
STBN 5,9,LUCKNOW,3,
STBN 6,9,LUCKNOW,1,
STBN 6,9,LUCKNOW,2,
STBN 6,9,LUCKNOW,3,
STBN 7,9,LUCKNOW,1,
STBN 7,9,LUCKNOW,2,
STBN 7,9,LUCKNOW,3,
STBN 8,9,LUCKNOW,1,
STBN 8,9,LUCKNOW,2,
STBN 8,9,LUCKNOW,3,
STBN 9,9,LUCKNOW,1,
STBN 9,9,LUCKNOW,2,
STBN 9,9,LUCKNOW,3,
STBN 10,9,LUCKNOW,1,274.9992667
STBN 10,9,LUCKNOW,2,1308.996509
STBN 10,9,LUCKNOW,3,1242.996685
STBN 11,9,LUCKNOW,1,604.9983867
STBN 11,9,LUCKNOW,2,714.9980933
STBN 11,9,LUCKNOW,3,769.9979467
STBN 12,9,LUCKNOW,1,989.99736
STBN 12,9,LUCKNOW,2,879.9976533
STBN 12,9,LUCKNOW,3,879.9976533
STBN 13,9,LUCKNOW,1,1033.997243
STBN 13,9,LUCKNOW,2,1242.996685
STBN 13,9,LUCKNOW,3,659.99824
STBN 14,9,LUCKNOW,1,989.99736
STBN 14,9,LUCKNOW,2,1132.996979
STBN 14,9,LUCKNOW,3,439.9988267
STBN 15,9,LUCKNOW,1,714.9980933
STBN 15,9,LUCKNOW,2,439.9988267
STBN 15,9,LUCKNOW,3,54.99985333
STBN 16,9,LUCKNOW,1,615.9983573
STBN 16,9,LUCKNOW,2,109.9997067
STBN 16,9,LUCKNOW,3,769.9979467
STBN 17,9,LUCKNOW,1,923.997536
STBN 17,9,LUCKNOW,2,406.9989147
STBN 17,9,LUCKNOW,3,659.99824
STBN 18,9,LUCKNOW,1,879.9976533
STBN 18,9,LUCKNOW,2,65.999824
STBN 18,9,LUCKNOW,3,769.9979467
STBN 19,9,LUCKNOW,1,1869.995013
STBN 19,9,LUCKNOW,2,527.998592
STBN 19,9,LUCKNOW,3,1374.996333
STBN 20,9,LUCKNOW,1,3189.991493
STBN 20,9,LUCKNOW,2,349.7990672
STBN 20,9,LUCKNOW,3,1165.996891
STBN 21,9,LUCKNOW,1,2012.994632
STBN 21,9,LUCKNOW,2,452.3014254
STBN 21,9,LUCKNOW,3,1374.996333
