Geno,D10M44,D1M3,D1M75,D1M215,D1M309,D1M218,D1M451,D1M504,D1M113,D1M355,D1M291,D1M209,D1M155,D2M365,D2M37,D2M396,D2M493,D2M226,D2M148,D3M265,D3M51,D3M106,D3M257,D3M147,D3M19,D4M2,D4M178,D4M187,D4M251,D5M148,D5M232,D5M257,D5M83,D5M307,D5M357,D5M205,D5M398,D5M91,D5M338,D5M188,D5M29,D5M168,D6M223,D6M188,D6M284,D6M39,D6M254,D6M194,D6M290,D6M25,D6M339,D6M59_,D6M201,D6M15,D6M294,D7M246,D7M145,D7M62,D7M126,D7M105,D7M259,D8M94,D8M339,D8M178,D8M242,D8M213,D8M156,D9M247,D9M328,D9M106,D9M269,D9M346,D9M55,D9M18,D10M298,D10M294,D10M42_,D10M10,D10M233,D11M78,D11M20,D11M242,D11M356,D11M327,D11M333,D12M105,D12M46,D12M34,D12M5,D12M99,D12M150,D13M59,D13M88,D13M21,D13M39,D13M167,D13M99,D13M233,D13M106,D13M147,D13M226,D13M290,D13M151,D14M14,D14M115,D14M265,D14M266,D15M226,D15M100,D15M209,D15M144,D15M68,D15M239,D15M241,D15M34,D16M154,D16M4,D16M139,D16M86,D17M260,D17M66,D17M88,D17M129,D18M94,D18M58,D18M106,D18M186,D19M68,D19M117,D19M65,D19M10
G012,A,A,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,A,H,B,H,H,H,H,H,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,B,B,H,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,H,H,A,A,A,A,H,A,-,A,A,A,A,A,H,H,-,H,H,B,B,B,B,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,A,A,H,C
G013,A,A,H,H,H,H,B,B,B,B,B,-,B,H,H,H,H,H,H,A,A,A,A,A,A,H,H,H,A,H,H,H,H,H,H,H,-,H,H,H,-,H,B,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,A,H,H,H,A,A,A,A,A,H,A,A,A,-,A,H,C,H,A,A,A,A,A,A,A,H,H,H,B,B,B,B,A,A,A,A,A,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A
G014,H,H,A,A,A,A,A,A,A,A,A,A,A,H,B,B,H,-,H,B,H,H,H,B,H,H,H,H,H,B,B,B,B,B,B,B,-,B,B,B,-,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,-,H,H,A,A,A,A,A,H,B,B,B,B,B,B,H,B,H,H,H,H,B,H,H,H,H,A,H,H,H,H,H,B,C,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,B,B,B,B,B,B,B,H,A,A,A,B,B,B,B,A,A,-,H,H,B,-,C
G015,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,H,H,B,B,B,B,B,B,H,H,B,B,A,A,H,H,H,H,H,-,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,H,H,H,B,H,H,H,H,A,A,A,H,H,A,A,A,A,A,H,A,A,A,B,H,A,A,H,A,A,H,H,H,H,H,H,C,H,A,A,A,A,A,A,A,H,H,H,A,A,H,H,-,-,A,A,A,A,A,-,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,A
G016,H,H,B,B,B,B,H,H,H,H,H,A,A,B,B,H,H,A,A,H,-,H,H,H,H,B,B,B,B,H,B,B,B,B,B,B,-,B,B,B,B,H,H,H,H,H,H,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,B,H,H,B,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,B,A,A,H,-,A,A,A,A,A,A,A,B,B,B,H,B,B,H,H,B,-,-,B,B,B,B,C
G017,A,A,A,A,A,A,H,H,H,H,H,H,H,H,B,H,-,H,H,B,-,A,A,A,A,B,H,H,H,H,H,H,H,B,B,B,-,B,B,B,B,B,H,H,B,B,B,B,B,B,B,H,H,H,H,A,H,H,H,B,H,B,B,B,B,B,H,B,B,H,H,H,A,A,A,A,A,A,H,A,A,A,A,A,B,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,B,B,B,A,A,A,H,H,A,A,A,A,A,A,-,B,H,H,A,A,A,A,A,A,-,-,A,H,-,A,A
G018,B,B,H,H,-,H,H,H,H,H,H,B,B,B,B,H,H,H,B,A,A,A,H,H,H,A,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,A,A,A,-,A,A,A,A,H,H,B,B,B,B,A,A,A,H,H,-,H,H,H,A,A,A,H,H,H,C,B,B,B,B,B,B,B,B,-,B,B,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,-,B,H,-,H,A
G019,H,H,A,H,H,H,B,B,B,B,B,-,B,H,H,A,A,A,H,A,A,H,A,H,A,A,-,H,A,A,A,A,A,A,A,A,-,A,A,A,-,A,H,H,A,H,H,H,H,H,H,H,B,B,B,H,H,H,H,A,A,B,B,B,H,H,A,A,A,A,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,A,C,B,B,B,B,B,B,H,H,H,H,H,A,H,H,B,H,A,A,A,A,A,A,-,H,B,B,B,B,B,-,H,H,H,-,H,B,B,B,-
G020,H,H,H,H,A,A,A,A,A,A,-,H,H,H,H,H,A,A,A,A,A,A,A,-,A,A,H,H,H,B,H,H,H,H,H,H,-,H,A,A,A,A,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,B,B,B,H,H,-,H,H,H,H,H,A,A,H,B,B,B,H,H,B,B,B,B,B,B,B,B,B,H,-,C,H,H,H,H,A,A,A,A,A,A,A,B,H,A,A,B,B,B,B,B,B,H,H,H,H,A,A,H,H,H,B,A,A,-,A,B,B,B,C
G021,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,A,A,A,B,B,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,-,A,A,A,-,A,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,A,A,A,H,H,B,H,H,H,A,A,A,A,H,H,H,H,H,A,A,H,H,H,H,A,A,A,A,B,B,C,H,H,H,H,H,H,H,H,H,H,H,B,H,A,A,B,B,B,B,H,H,H,H,H,H,A,A,B,B,B,H,H,H,-,H,H,H,H,C
G022,B,B,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,A,A,H,B,B,B,H,H,B,B,B,B,A,A,H,H,H,H,H,-,H,H,H,-,B,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,A,A,A,H,H,B,B,B,B,A,A,A,H,B,B,B,A,A,A,A,A,H,H,B,B,B,B,B,B,H,H,H,H,C,H,-,H,H,H,H,H,H,H,H,A,H,A,A,H,H,H,H,H,H,H,H,H,A,A,H,H,H,H,H,-,H,-,-,H,A,A,A,A
G023,A,A,A,A,A,A,H,H,B,B,B,B,B,-,A,A,A,A,H,A,H,H,A,A,A,B,B,B,H,A,A,A,A,A,A,A,-,A,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,B,B,B,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,A,H,H,H,H,H,H,A,A,A,A,H,H,C,-,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,A,A,-,A,A,A,H,C
G024,H,H,H,-,H,H,H,H,H,H,H,H,A,H,H,B,B,B,A,H,H,H,H,B,B,H,H,A,B,-,B,B,B,B,B,B,-,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,B,H,H,-,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,C,-,H,H,H,A,A,A,A,A,A,A,H,H,H,H,B,B,B,B,B,B,B,B,A,A,A,A,H,H,H,B,A,A,-,A,H,H,H,C
G025,-,H,H,H,H,H,B,B,B,B,B,B,B,H,A,A,-,H,H,A,A,A,A,A,A,H,H,H,H,B,-,B,B,H,H,H,H,H,A,A,A,A,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,-,A,A,A,A,H,B,H,H,H,H,H,H,H,A,A,A,H,H,H,H,H,B,B,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,B,B,H,H,H,B,H,H,-,B,H,B,H,C
G026,-,H,B,H,H,H,H,H,H,H,H,H,H,A,B,B,-,H,A,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,A,B,B,H,H,H,H,-,H,H,H,-,H,H,H,A,B,B,H,-,H,H,H,A,A,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,A,A,A,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,B,H,H,H,A,H,H,H,H,H,H,H,B,B,B,B,H,H,B,H,H,H,-,H,B,B,H,C
G027,-,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,-,H,H,A,H,H,H,H,H,A,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,-,H,H,H,H,H,H,H,H,H,H,H,B,H,B,B,B,B,H,A,A,A,A,A,A,A,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,H,A,A,A,A,A,A,A,A,A,H,-,H,H,H,B,C
G028,-,H,H,A,A,A,A,A,A,A,A,A,A,H,H,B,-,A,A,H,A,A,A,A,H,H,B,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,H,H,-,H,H,H,H,H,H,B,H,H,H,A,-,B,B,B,B,B,B,H,B,B,B,B,B,H,A,A,H,H,H,H,B,B,B,B,B,A,A,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,B,B,B,B,B,B,B,H,B,B,B,B,B,B,H,A,A,-,A,B,H,H,C
G029,H,H,H,A,-,H,H,H,H,H,H,H,H,-,A,H,H,H,B,B,B,B,H,H,H,A,H,H,A,A,A,A,A,A,A,A,A,A,A,H,-,H,H,H,H,B,B,B,-,B,B,B,B,B,B,B,B,B,B,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,A,H,H,H,B,H,B,B,B,H,H,H,A,A,A,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,B,H,H,H,H,H,H,H,A,A,A,-,A,H,H,H,C
G030,A,A,A,H,H,B,H,H,H,H,H,H,H,-,H,H,H,-,H,H,B,B,H,H,H,B,H,B,H,-,H,H,H,H,H,H,H,H,H,A,-,H,A,H,H,H,H,H,-,H,H,H,H,H,H,H,A,A,A,H,H,A,A,H,H,B,B,B,H,H,-,H,H,B,A,H,H,H,A,H,H,H,H,H,H,B,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,B,B,A,A,A,H,H,H,H,B,H,H,-,H,H,H,H,C
G031,A,A,H,H,H,H,A,A,A,A,A,H,H,B,B,B,H,H,A,H,A,A,H,H,H,H,H,B,H,H,H,A,A,A,A,A,A,A,A,A,-,A,B,H,H,H,H,H,-,H,H,H,H,-,H,B,B,B,B,B,B,H,H,H,H,H,H,A,A,A,A,H,H,B,H,H,A,A,A,A,A,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,H,H,H,H,H,H,H,H,H,H,H,H,A,H,B,B,H,H,H,B,A,A,-,A,H,H,H,C
G032,A,A,H,H,B,B,H,H,H,H,A,A,A,-,H,B,B,B,H,H,H,H,H,H,H,H,A,A,H,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,-,B,B,B,B,B,B,A,A,A,A,H,-,B,B,B,H,H,-,H,H,H,A,A,A,A,B,H,H,H,B,A,-,H,H,A,A,B,B,B,B,A,A,B,B,-,H,H,H,-,H,H,A,H,A,H,B,B,H,A,A,H,H,H,H,B,H,H,H,H,H,A,A,H,H,A,A,-,A,H,H,H,C
G033,B,B,H,A,A,A,A,A,H,H,H,H,H,B,B,B,B,H,H,B,H,H,A,A,A,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,A,H,-,H,H,H,H,B,B,B,B,H,H,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,B,B,-,H,H,H,H,C
G034,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,A,A,H,A,H,H,H,H,H,B,-,H,B,H,H,H,H,H,H,B,H,B,B,B,B,B,H,H,H,H,H,H,-,H,H,A,A,H,H,H,H,A,A,A,-,H,H,H,H,H,-,H,B,B,B,B,B,B,A,A,A,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,B,B,A,A,A,A,A,A,A,A,A,A,A,A,H,A,H,H,H,H,-,H,B,H,H,C
G035,B,B,B,B,B,B,B,B,B,B,B,H,-,H,H,H,H,A,H,H,A,H,H,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,B,B,-,B,B,B,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,A,A,B,B,H,A,H,H,A,A,A,A,A,A,A,A,A,-,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,B,B,B,B,B,B,-,B,H,A,A,C
G036,H,H,B,B,B,B,B,B,B,B,B,H,-,A,H,H,B,B,B,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,A,A,A,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,B,B,B,B,-,B,B,H,H,H,H,B,H,H,H,H,H,H,A,H,H,H,H,A,A,A,A,H,H,-,H,H,H,A,A
G037,H,H,H,H,H,H,H,A,A,A,A,A,-,B,H,H,A,A,A,H,H,H,A,-,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,-,B,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,H,A,A,H,H,B,B,B,B,B,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,A,A,-,A,A,A,A,A,A,-,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,H,B,B,H,H,H,H,H,H,-,A,H,H,H,A
G038,B,B,B,B,B,B,H,H,H,H,H,H,-,A,B,B,-,B,B,A,A,A,A,-,H,H,H,H,B,A,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,B,B,A,A,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,B,B,-,B,H,H,H,C
G039,B,B,H,H,A,A,A,A,A,A,A,A,-,H,H,B,B,B,H,H,H,H,H,-,A,H,H,H,H,A,A,B,B,B,B,B,B,B,B,B,B,B,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,A,H,H,H,B,A,A,A,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,-,A,A,A,A,A,H,-,B,B,B,B,B,B,H,H,H,H,H,B,B,B,B,H,-,-,H,A,A,B,C
G040,H,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,H,H,A,-,H,H,H,H,H,H,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,A,A,A,A,A,A,A,A,H,B,B,A,A,A,A,A,A,H,H,H,B,B,B,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,A,A,H,H,H,B,A,A,A,A,A,A,A,A,A,-,A,A,H,A,A,A,-,B,B,B,B,B,B,B,A,A,A,A,H,H,H,H,A,A,-,A,H,A,A,A
G041,B,B,B,B,B,B,H,H,H,H,H,-,H,H,A,A,A,-,A,A,H,H,H,H,H,H,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,A,A,H,A,A,A,A,H,H,B,H,A,A,A,A,H,B,B,B,B,B,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,H,H,-,H,H,H,H,H,H,-,H,H,-,A,A,A,H,A,A,A,A,A,A,-,H,B,-,H,C
G042,A,A,A,A,A,A,A,A,A,A,H,H,H,A,A,H,H,H,H,A,A,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,A,A,B,B,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A,A,H,A,A,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,A,A,A,A,A,B,B,-,-,H,H,H,H,H,-,H,H,A,A,A,B,H,-,A,A,A,A,A,A,H,H,H,H,B,B,B,B,B,B,-,B,B,-,B,C
G043,B,B,B,A,A,A,H,H,A,A,A,A,A,-,H,H,-,B,B,B,H,A,A,A,A,H,-,A,H,A,A,H,H,H,H,H,H,H,H,H,-,B,H,H,H,H,H,H,-,-,H,H,H,H,H,A,A,A,A,A,-,H,H,H,H,H,-,H,H,B,-,B,A,A,H,H,A,A,A,B,B,B,B,B,B,B,B,H,H,H,-,H,H,B,B,B,B,B,B,B,B,B,B,H,-,B,B,H,-,H,H,H,H,H,B,B,B,B,H,H,H,H,H,B,B,-,B,B,B,B,C
G044,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,A,A,A,H,A,A,A,A,H,H,A,H,B,H,H,H,H,H,A,A,A,A,A,A,A,A,B,B,B,B,H,H,A,A,A,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,H,H,H,H,H,B,B,B,B,H,-,B,B,H,H,H,H,-,H,H,H,H,H,H,H,H,B,H,A,H,H,A,-,A,A,H,H,H,B,B,B,B,B,H,H,H,-,A,A,-,H,A,A,A,A
G045,A,A,A,H,H,B,B,B,B,B,B,-,B,A,A,-,-,A,A,A,A,A,H,H,B,H,H,H,H,B,B,H,H,H,H,H,H,H,H,A,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,-,B,B,B,B,H,-,H,H,H,A,A,A,A,H,A,A,A,H,H,H,H,H,H,A,A,A,H,A,A,A,H,H,-,H,H,H,H,H,H,H,H,H,H,-,B,B,A,-,A,A,A,A,H,H,A,A,A,A,A,H,-,H,A,-,-,A,A,A,H,C
G046,H,H,A,A,A,A,H,H,H,H,H,H,H,A,H,A,-,B,B,H,H,H,H,H,H,H,-,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,B,-,H,H,H,H,H,-,B,B,B,-,B,H,H,A,A,H,H,B,H,A,A,A,A,H,B,B,H,H,H,H,H,H,-,A,A,A,A,H,H,-,H,H,-,-,H,H,A,-,A,A,A,A,A,-,A,A,A,H,H,A,A,A,B,B,-,B,H,A,A,A
G047,H,H,H,B,B,B,B,B,B,B,B,-,B,H,A,B,-,A,H,A,H,H,B,B,B,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,-,A,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,B,B,B,A,A,A,B,B,B,-,B,B,B,H,H,H,H,H,H,A,A,A,A,H,H,H,H,B,H,-,H,H,H,H,H,H,H,H,B,H,H,H,B,-,A,H,B,-,H,H,-,H,H,H,B,B,B,B,H,H,-,H,B,B,-,B,H,H,H,C
