,Hangzhou_BRR,Jingzhou_BRR,Sanya_BRR,Shenzhen_BRR,Hangzhou_Chalk,Jingzhou_Chalk,Sanya_Chalk,Shenzhen_Chalk,Hangzhou_GL,Jingzhou_GL,Sanya_GL,Shenzhen_GL,Hangzhou_GLW,Jingzhou_GLW,Sanya_GLW,Shenzhen_GLW,Hangzhou_GW,Jingzhou_GW,Sanya_GW,Shenzhen_GW,Hangzhou_HRP,Jingzhou_HRP,Sanya_HRP,Shenzhen_HRP,Hangzhou_PGW,Jingzhou_PGW,Sanya_PGW,Shenzhen_PGW,Hangzhou_Thickness,Jingzhou_Thickness,Sanya_Thickness,Shenzhen_Thickness,Hangzhou_TKW,Jingzhou_TKW,Sanya_TKW,Shenzhen_TKW,Hangzhou_WGRR,Jingzhou_WGRR,Sanya_WGRR,Shenzhen_WGRR
CC35,79.64,79.59,80.24,78.27,8,16,2,-1.35,10.45,10.27,10.59,10.56,5.01,5.01,4.95,4.98,2.09,2.05,2.14,2.12,70.28,69.46,68.25,62.72,1.65,3.95,0.6,-0.6,1.96,1.89,1.91,1.94,24.72,22.56,24.63,24.63,63.98,49.72,22.23,-7.1
CC36,81.52,78.75,74.12,79.27,97,87.5,68,66.65,8.06,8.08,8.39,8.12,2.72,2.63,2.59,2.57,2.97,3.08,3.23,3.16,71.13,63.88,62.19,65.28,43.25,46.89,33,47.7,2.35,2.15,2.08,2.21,28.61,25.93,23.55,28.51,67.31,43.24,23.72,13.08
CC37,81.48,78.82,80.33,79.76,17,6.5,10,39,8.97,9.18,9.24,9.06,3.96,4.11,3.93,3.88,2.27,2.24,2.35,2.34,72.98,69.78,71.46,67.9,6.55,2.05,2.6,11.8,1.97,1.84,1.96,1.9,22.48,21.24,22.6,22.21,61.8,57.11,59.41,25.73
CC38,70.11,81.24,73.91,79.63,47.5,18.5,59,23.5,9.79,10.14,9.9,9.85,3.75,3.95,3.64,3.73,2.62,2.57,2.72,2.65,61.99,70.36,61.82,66.01,12.3,4.45,13.8,6.45,2.1,1.92,2.07,2.03,30.12,27.12,28.2,29.74,52.42,47.2,13.97,39.54
CC39,81.61,79.77,80.82,79.64,69.5,67.5,93,89.65,9.14,9.45,9.34,9.23,3.72,3.69,3.64,3.59,2.46,2.56,2.57,2.57,71.66,69.27,69.62,67.87,21.2,19.35,32.1,47.5,2.11,1.96,2.06,2.01,27.13,25.36,25.58,27.06,64.66,42.74,30.63,32.26
CC40,NA,80.1,NA,NA,NA,91,NA,NA,7.57,8.27,NA,7.78,2.79,3.09,NA,2.83,2.72,2.69,NA,2.74,NA,68.38,NA,NA,NA,48.55,NA,NA,2.03,2.04,NA,2.02,NA,22.83,NA,NA,NA,48.43,NA,NA
CC41,81.31,76.64,65.24,80.47,40.5,9,12,60,9.9,10.15,10.05,9.93,4.47,4.6,4.71,4.39,2.22,2.21,2.14,2.27,72.17,66.32,49.45,69.53,14.5,2.35,3.1,20.3,1.96,1.9,1.9,1.91,25.27,23.34,20.5,24.86,61.09,56.13,15.76,22.54
CC42,77.63,80.09,79.22,79.64,19.5,64,4,67.65,9.6,10,9.82,9.76,4.5,4.65,4.17,4.5,2.14,2.16,2.35,2.17,66.12,67.87,69.95,67.71,4.65,21.3,0.9,22.1,1.96,1.86,1.97,1.92,23.56,21.61,25.75,23.28,51.59,40.29,49.75,35.64
CC43,81.06,NA,79.06,79.7,72,NA,69,40.5,9.67,NA,10.21,9.78,4.19,NA,4.04,4.11,2.31,NA,2.52,2.38,69.99,NA,68.43,69.42,17.9,NA,14.7,8.8,2.11,NA,2.03,2.04,29.32,NA,26.65,28.47,63.78,NA,40.12,24.35
CC44,77.43,77.27,74.97,80.73,56,35.5,58,37.5,9.61,9.74,9.35,9.72,4.25,4.61,4.02,4.32,2.26,2.12,2.32,2.25,66.81,67.45,61.78,71.19,17.9,8.9,17.7,10.25,1.98,1.89,1.94,1.94,24.59,22.16,22.98,24.39,52.76,54.28,13.83,48.26
CC45,80.88,81.59,79.64,77.93,37,10,28,64.5,9.96,9.86,10.27,10.02,4.35,4.16,4.33,4.23,2.29,2.38,2.37,2.37,73.05,70.66,69.49,67.03,11.4,2.5,5.4,20.75,2.09,2.02,2.09,2.02,26.71,24.78,27.1,26.81,59.82,62.95,43.64,38.17
CC46,82.33,79.73,69.02,77.55,55,62,76,53.5,9.36,9.42,9.81,9.35,3.81,3.66,3.72,3.75,2.46,2.58,2.64,2.49,75.03,70.42,59.57,68.29,17.15,15.5,19,13,2.02,1.9,2.01,1.93,26.65,25.78,27.25,26.38,71.19,63.53,35.3,35.01
CC47,78.71,81.32,88,78.77,11.5,36.5,19,3.65,9.22,9.61,9.65,9.17,4.05,4.15,3.99,3.91,2.28,2.32,2.42,2.35,70.02,70.53,75.02,67.28,2.8,8.25,4.6,0.1,2.03,1.97,1.97,1.96,24.44,23.15,25.13,23.96,63.96,24.39,26.67,20.95
CC48,74.03,77.77,78.83,77.78,5.5,2.5,4,20.5,9.89,9.41,10.17,9.86,4.21,3.97,4.29,4.06,2.35,2.38,2.37,2.44,64.81,66.83,67.75,66.86,1.35,0.4,0.8,4.6,2.06,1.95,2.05,1.98,25.17,23.29,27.33,25.1,57.01,54.78,32.32,21.25
CC49,80.11,80.69,78.13,78.83,12.5,22.5,11,37,8.53,9.77,8.6,8.51,3.08,3.52,3.02,2.94,2.78,2.77,2.85,2.9,73.85,72.05,69.14,68.57,4.05,7.5,3.9,12.7,2.15,2.02,2.08,2,27.06,24.1,24.25,26.71,68.16,64.84,35.55,29.44
CC50,80.77,76.52,80.04,79.05,18,6,10,26.5,9,9.11,9.09,9.09,4.02,4.11,4,3.91,2.24,2.22,2.27,2.33,72.42,67.14,70.71,68.23,6.3,2.25,3.7,7.4,1.96,1.88,1.89,1.88,23.61,21.54,22.1,23.59,68.28,52.71,51.58,35.42
CC51,80.61,76.65,79.25,79.07,15.5,9.5,4,6,9.43,9.78,9.73,9.45,4.12,4.18,4.07,3.94,2.3,2.34,2.39,2.4,73.46,66.06,68.87,68.81,3.25,2.2,0.8,1.35,2.06,2.05,1.69,2.02,26.88,26.17,28.38,26.6,52.34,54.82,50.17,47.01
CC52,NA,NA,80.88,78.43,39,NA,4,2,10.13,9.74,10.98,10.15,4.25,4.4,4.24,4.02,2.39,2.21,2.59,2.53,NA,NA,71.58,68.69,8.4,NA,0.7,0.5,2.07,1.92,2.03,1.96,31.13,24.58,31.7,30.87,NA,NA,46.43,55.25
CC54,81.99,82.49,NA,79.2,74,87.5,56,85.5,7.9,7.82,7.91,8.07,2.74,2.61,2.46,2.65,2.9,3,3.21,3.05,74.1,72.43,43.24,66.52,32.3,29.05,27.9,39.65,2.23,2.09,2.03,2.06,26.05,24.18,17.58,25.81,65.69,57.85,11.98,5.81
CC55,81.23,82.68,75.66,79.55,76,60.43,52,81,8.87,8.94,9.01,9.04,3.48,3.63,3.35,3.57,2.55,2.47,2.69,2.54,74.43,72.64,64.88,68.95,23.2,13.09,15.4,23.25,2.04,1.89,2.11,1.95,24.42,21.93,24.5,24.04,70.22,62.53,56.06,38.1
CC56,80.34,80.31,71.89,78.76,14.5,26,7,20.5,9.43,9.69,9.48,9.59,3.97,3.9,3.81,3.92,2.38,2.5,2.49,2.45,73.06,70.49,57.26,68.63,4.4,5.65,1.9,5.1,2.15,2.05,2.08,2.1,28.41,25.87,24.65,28.32,64.61,47.5,32.5,39.63
CC57,79.57,80.63,73.16,78.65,55.5,8.5,44,44.5,9.73,9.93,9.88,9.81,4.01,4.1,3.64,4,2.43,2.42,2.71,2.46,72.15,66.82,60.21,65.09,12.7,2,11.7,11,2.14,2.05,2.17,2.06,27.21,24.95,29.93,27.07,60.88,41.92,37.39,36.15
CC58,81.87,81.31,NA,81.05,37,8.5,NA,71,9.51,9.5,NA,9.64,3.94,4.08,NA,3.92,2.42,2.34,NA,2.46,73.49,70.98,NA,70.86,9.95,2.35,NA,26.25,2.15,2.11,NA,2.07,27.13,23.27,NA,27.01,61.7,51.68,NA,34.71
CC59,82.23,76.18,87.59,78.76,87,51,32,50,9.91,9.86,10.38,9.94,4.3,4.05,4.2,4.23,2.31,2.48,2.47,2.36,72.32,65.3,78.61,65.63,41.85,17.4,5.5,14.85,2.04,1.84,2.07,1.99,24.92,21.29,28.48,24.66,53.59,37.98,49.88,41.97
CC60,82.55,79.82,81.33,81.27,33,11.5,12,26.5,9.35,9.48,9.52,9.45,4.33,4.54,3.96,4.44,2.16,2.09,2.4,2.14,73.52,67.57,69.78,66.93,11.05,2.95,3.1,7.95,1.98,1.91,2.06,1.94,22.28,20.64,25.75,22.19,64.77,46.79,36.31,41.74
CC62,80.19,81.11,77.11,78.1,39,55.57,19,72,9.61,9.73,10.03,9.68,4.29,4.58,4.03,4.25,2.24,2.13,2.49,2.28,71.5,67.75,65.97,67.79,9.8,15.91,3.8,25.1,1.93,1.88,2.05,1.82,25.35,23,24.33,24.98,67.21,58.3,46.96,49.69
CC63,72.75,78.55,80.58,79.45,49.5,90.43,7,9.5,8.25,11.25,8.25,8.78,3.73,4.72,3.33,3.89,2.21,2.39,2.48,2.26,52.46,67.06,70.11,69.52,14.2,30.99,1.3,1.7,1.88,1.87,1.9,1.78,20.53,17.08,19.18,20.27,35.6,43.94,39.04,52.96
CC64,78.43,77.77,79.24,78.53,5.5,2.5,2,2.5,8.07,8.02,8.1,8.17,3.66,3.65,3.3,3.65,2.21,2.2,2.46,2.25,70.92,68.1,72.71,68.7,1.4,0.7,0.3,0.65,1.79,1.76,1.91,1.65,18.36,20.66,17.9,18.03,67.66,53.91,62.05,43.08
CC65,82.29,75.9,78.53,80.34,63.5,84,88,69.65,8.91,9.02,8.67,9.01,3.6,3.53,2.95,3.58,2.48,2.56,2.93,2.53,72.17,63.87,69.66,68.38,17.25,27.35,19.1,30.3,2.1,2.06,2.22,1.96,25.92,23.68,26.18,25.76,65.96,32.78,24.38,27.8
CC66,76.81,77.31,78.54,77.83,19,20.57,52,31,10.83,10.99,11.22,10.91,4.88,NA,4.67,4.95,2.22,1.94,2.4,2.21,65.24,63.73,63.15,62.98,7,4.91,8.9,8.7,1.79,1.71,2.02,1.67,23.64,21.02,25.9,23.47,51.94,39.92,40.25,15.68
CC67,82.65,NA,80.3,81.33,44,NA,41,14,9.22,NA,9.73,9.28,3.36,NA,3.53,3.45,2.76,NA,2.75,2.72,76.86,NA,71.27,70.85,10.4,NA,9.2,2.75,1.95,NA,2.07,1.81,25.47,NA,27.08,25.28,62.85,NA,41.04,44.21
CC68,78.9,77.55,NA,72.22,26.5,11.5,0,22.5,10.27,10.36,10.54,10.46,4.43,4.68,4.24,4.37,2.32,2.21,2.49,2.4,71.71,65.58,19.49,62.78,11.65,2.95,0,8.25,1.83,1.85,1.75,1.69,24.8,22.34,19.83,24.27,56.48,53.71,3.53,40.04
CC69,80.13,NA,72.11,77.6,12,NA,2,28,9.98,NA,10.52,9.95,4.26,NA,3.86,4.35,2.35,NA,2.73,2.29,70.35,NA,61.37,67.03,3.25,NA,0.9,7.65,1.87,NA,2.04,1.76,25.9,NA,24.28,25.71,52.12,NA,9.63,31.36
CC70,81.47,79.82,80.94,77.9,90,82,62,94,8.01,8.05,8.05,8.14,2.59,2.55,2.36,2.57,3.1,3.16,3.42,3.18,74.7,70.46,69.17,62.79,38.75,28.55,22.4,NA,2.25,2.11,2.25,2.06,28.21,24.93,26.83,28,72.24,63.73,51.48,39.71
CC71,79.91,79.64,79.18,NA,16,32.5,6,NA,9.21,9.42,9.19,9.41,3.92,4.14,3.37,4.01,2.35,2.28,2.73,2.33,70.89,66.65,70,NA,4.05,6.45,1.5,NA,2.01,1.98,2.08,2,25.22,23.18,24.8,NA,66.74,55.71,13.14,NA
CC73,78.34,80.54,NA,79.45,46,3.5,NA,5,9.03,9.1,NA,9.16,3.58,3.81,NA,3.82,2.52,2.4,NA,2.41,100.64,70.4,NA,69.31,13.65,0.6,NA,1,1.87,1.79,NA,1.78,24.95,20.07,NA,24.62,99.29,56.34,NA,58.76
CC74,NA,NA,NA,76.68,NA,NA,NA,37.5,7.78,NA,NA,7.88,2.66,NA,NA,2.81,2.92,NA,NA,2.82,NA,NA,NA,63.42,NA,NA,NA,26,1.94,NA,NA,1.78,NA,NA,NA,21.89,NA,NA,NA,37.13
CC75,76.33,79.24,75.66,78.01,61,24,7,28.65,9.84,10.01,9.93,9.98,3.59,3.82,3.35,3.69,2.75,2.63,2.96,2.72,68.17,69.47,59.73,67.76,18.25,5.6,1.8,7.5,2.1,2.03,2.18,1.97,29.67,27.24,30.25,29.49,57.77,59.52,22.73,20.31
CC76,75.71,NA,NA,76.78,61,NA,NA,13.5,9.91,NA,NA,10.02,3.94,NA,NA,4.02,2.52,NA,NA,2.5,65.02,NA,NA,65.39,17.1,NA,NA,2.65,1.91,NA,NA,1.8,28.59,NA,NA,28.33,46.14,NA,NA,31.31
CC77,79.91,81.61,65.3,80.25,51,14,8,59,10.02,10.08,10.21,10.04,4.54,4.42,4.32,4.54,2.21,2.28,2.36,2.21,70.24,68.18,50.54,66.59,18,3.4,2.6,17.85,1.91,1.91,1.97,1.83,25.35,23.49,21.08,24.92,47.12,51.21,15.54,64.21
CC78,80.33,80.04,79.47,79.26,21,6.5,2,1,9.45,9.51,9.86,9.44,3.68,4.04,3.58,3.77,2.57,2.36,2.76,2.52,72.6,68.29,69.46,70.29,5.05,1.45,0.3,0.3,2.03,1.98,2.16,1.92,27.61,24.57,28.95,27.34,66.94,65.07,57.02,69.48
CC79,82.5,80.74,73.31,77.66,62.5,30.5,27,47.5,10.19,10.45,10.26,10.39,4.1,4.32,4,4.22,2.49,2.42,2.57,2.47,74.23,70.75,59.12,65.18,19.5,8.7,6.6,14.8,1.93,1.93,1.87,1.84,27.51,26.12,26.43,27.19,51.27,53.53,13.31,64.56
CC80,80.13,77.97,78.02,74.55,26.5,61,7,50,7.9,8.26,8.03,7.98,2.97,3.03,2.68,2.9,2.66,2.73,2.99,2.76,71.65,66.84,71.23,61.08,7.95,23.15,1.6,26.75,2.08,2.01,2.04,1.92,23.09,21.08,23.03,22.83,69.75,52.24,54.88,25.42
CC81,81.96,81.22,71.87,75.72,56.5,22,40,52.5,8.71,8.76,9.17,8.79,3.37,3.2,3.73,3.51,2.61,2.74,2.46,2.55,70.68,71.21,58.86,62.27,23.6,6.85,22.2,28.3,1.91,1.91,1.88,1.83,21.23,22.06,19.95,20.99,56.91,40.56,15.06,11.58
CC82,78.7,80.74,79.39,77.13,28,22.5,1,13.35,9.08,9.09,8.68,9.41,3.09,3.06,2.8,2.99,2.95,2.97,3.1,3.14,64.33,69.68,76.69,46.58,6.45,6.65,0.1,4.2,2.01,1.98,2.09,2,23.69,23.89,25.18,25.52,60.66,44.65,38.86,38.97
CC83,79.88,75.85,66.03,75.12,11.5,0.5,1,16.35,11.07,NA,11.23,11.04,5.25,5.39,NA,5.16,2.07,2.06,2.06,2.09,65.02,59.99,41.7,57.64,3.75,0.1,0.2,6.4,1.78,1.76,1.82,1.71,24.57,22.24,21.65,24.09,49.35,38.35,14.06,27.68
CC84,76.57,77.95,NA,77.29,15,3.43,NA,12.35,9.4,10.57,NA,9.62,3.73,4.65,NA,3.68,2.52,2.27,NA,2.62,64.75,69.21,NA,68.61,4.45,1.39,NA,3.1,2.18,2.05,NA,2.08,26.4,26.46,NA,26.57,58.27,50.3,NA,73.62
CC85,80.16,80.05,78.03,78.62,42,35,24,67,7.54,7.67,7.82,7.61,2.65,2.55,2.44,2.61,2.84,3.01,3.2,2.92,72.97,68.15,47.87,64.57,9.35,6.7,4.3,19.75,2.13,2.02,2.13,1.94,25,23.02,25.35,24.72,70.04,46.28,19.62,41.71
CC86,82.57,79.06,81.98,78.23,68.5,58,52,71,9.21,9.17,9.5,9.37,3.71,3.7,3.41,3.71,2.48,2.49,2.79,2.53,73.45,48.14,71.08,67.87,25.85,20.2,19.5,38.2,2.23,1.91,2.02,2.03,25.45,23.72,28.53,25.22,64.12,37.7,28.08,30.3
CC87,77.73,NA,NA,77.51,18,NA,NA,62.65,9.4,NA,NA,9.5,3.74,NA,NA,4.01,2.52,NA,NA,2.38,68.57,NA,NA,63.94,5.25,NA,NA,21.7,1.73,NA,NA,1.62,21.53,NA,NA,21.41,65.51,NA,NA,56.21
CC88,80.8,79.99,79.78,78.22,46.5,21.5,3,45.5,8.47,8.63,8.54,8.53,3.29,3.1,3.22,3.1,2.59,2.79,2.66,2.76,73.43,69.71,72.48,66.72,11.15,6.3,0.8,13.6,1.99,1.89,1.95,1.81,23.29,22.33,22.45,23.08,58.93,55.7,29.56,17.9
