METNo,Module,FLW,MAT,AHT,ATIL,PACP,NOPH,MC,Plot Yield,P&D,AYLD,Tons/ha,Set
MT4650,1,82,112,112.4,18.2,5,184,12.9,6745,,6831.27,9.28,6
MT4018,1,91,121,110,20.8,5,184,12.8,5715,,5794.74,7.87,6
MT4171,1,82,112,118.8,15,7,184,13,5755,,5821.92,7.91,6
MT4209,1,82,112,120,18.6,3,184,13.5,5830,,5863.9,7.97,6
MT4748,1,82,112,102.4,19.4,5,184,13,6430,,6504.77,8.84,6
MT4241,1,84,114,105.2,17,5,184,12.9,6200,,6279.3,8.53,6
MT4137,1,84,114,96.8,19.8,5,184,13.5,6960,,7000.47,9.51,6
MT4217,1,81,111,103.4,15,5,184,12.5,5760,,5860.47,7.96,6
MT4179,1,85,115,104.2,15.6,5,184,12.9,6610,,6694.55,9.1,6
MT4158,1,84,114,103.8,17.4,5,184,12.9,5905,,5980.53,8.13,6
MT4110,1,84,114,107.4,14.8,5,184,13.1,5885,,5946.59,8.08,6
MT4232,1,80,110,114.2,17.2,5,184,13,5490,,5553.84,7.55,6
MT4066,1,85,115,103,16.8,5,184,13,5065,,5123.9,6.96,6
MT4249,1,95,125,108.4,20.6,7,184,13,5715,,5781.45,7.86,6
MT4205,1,86,116,111,15.6,5,184,12.9,5515,,5585.54,7.59,6
MT4055,1,80,110,102.6,16,7,184,13,5735,,5801.69,7.88,6
MT4297,1,80,110,112.4,19,5,184,13,6390,,6464.3,8.78,6
MT4903,1,84,114,106.4,16.2,5,184,13,6775,,6853.78,9.31,6
MT4320,1,86,116,116.2,16.4,5,184,13,5845,,5912.97,8.03,6
MT4095,1,81,111,109.8,13.4,5,184,12.5,4945,,5031.25,6.84,6
MT4904,1,85,115,106,13.2,3,184,13,6300,,6373.26,8.66,6
MT4279,1,90,120,96,13,5,184,13,7075,,7157.27,9.72,6
MT4220,1,85,115,113.2,14,5,184,13,5910,,5978.72,8.12,6
MT4257,1,84,114,96.4,15.2,5,184,13,6000,,6069.77,8.25,6
MT4553,1,81,111,120.2,13.8,5,184,13,4770,,4825.47,6.56,6
MT4276,1,95,125,117,14.2,5,184,13.1,6175,,6239.62,8.48,6
MT4554,1,80,110,85.4,19.6,5,184,13.1,4825,,4875.49,6.62,6
MT4634,1,83,113,111.4,17.2,5,184,13.1,5980,,6042.58,8.21,6
MT4712,1,83,113,110,12.8,5,184,13.1,5920,,5981.95,8.13,6
MT4161,1,84,114,94.4,11,5,184,13,5385,,5447.62,7.4,6
MT4206,1,85,115,111.4,16.6,5,184,13.1,5995,,6057.74,8.23,6
MT4146,1,91,121,117.2,11.6,5,184,12.8,5500,,5576.74,7.58,6
MT5211,1,77,107,106.2,14.4,5,184,13,4775,,4830.52,6.56,6
MT4195,1,84,114,113.8,12.8,5,184,13,4920,,4977.21,6.76,6
MT4038,1,80,110,101,33,5,184,13.1,6255,,6320.46,8.59,6
MT4087,1,84,114,98.4,16.8,7,184,13,5975,,6044.48,8.21,6
MT4075,1,82,112,113,16.8,7,184,12.9,4360,,4415.77,6,6
MT4149,1,82,112,117.6,10.8,5,184,13.5,5715,,5748.23,7.81,6
MT4720,1,84,114,102.2,10.6,5,184,12.9,5515,,5585.54,7.59,6
MT4019,1,92,122,97.6,10.4,7,184,13,6325,,6398.55,8.69,6
MT4054,1,84,114,100,14.4,5,184,13.1,5830,,5891.01,8,6
MT4622,1,83,113,112,47.2,3,184,13.1,7140,,7214.72,9.8,6
MT4546,1,85,115,113.4,9.2,3,184,13.1,4905,,4956.33,6.73,6
MT4324,1,84,114,108.6,13,7,184,12.5,5150,,5239.83,7.12,6
MT4547,1,81,111,105.8,13.2,5,184,12.3,4805,,4899.98,6.66,6
MT4017,1,95,125,103,11.8,3,184,13,5835,,5902.85,8.02,6
MT4248,1,87,117,110.2,15.4,7,184,12.8,5615,,5693.35,7.74,6
MT4133,1,83,113,115.2,13.2,5,184,13,6200,,6272.09,8.52,6
MT4574,1,82,112,109.2,11.2,5,184,13,6945,,7025.76,9.55,6
MT4226,1,86,116,109.4,14.2,5,184,13.1,7080,,7154.09,9.72,6
MT4280,1,95,125,109.6,13.8,5,184,13.1,7270,,7346.08,9.98,6
MT4538,1,80,110,104,13.6,5,184,12.5,5545,,5641.72,7.67,6
MT4639,1,81,111,103,15.6,5,184,12.8,6375,,6463.95,8.78,6
MT4213,1,83,113,118.8,15.2,5,184,13,6055,,6125.41,8.32,6
MT4289,1,95,125,112.4,15.4,5,184,13.1,6370,,6436.66,8.75,6
MT4036,1,80,110,108.2,16.6,5,184,13,4805,,4860.87,6.6,6
MT4053,1,78,108,104.4,16.8,5,184,13,6165,,6236.69,8.47,6
MT4188,1,89,119,109.6,15.2,7,184,13,6640,,6717.21,9.13,6
MT4779,1,84,114,105.8,13.4,5,184,13.1,6435,,6502.34,8.83,6
MT4026,1,82,112,112,12.2,5,184,12.8,5985,,6068.51,8.25,6
MT4004,1,86,116,101.4,11.4,5,184,13.1,6870,,6941.9,9.43,6
MT4536,1,81,111,105,15.4,7,184,13,5535,,5599.36,7.61,6
MT4041,1,83,113,108.2,14,5,184,13.1,5690,,5749.55,7.81,6
MT4234,1,90,120,112.4,12.8,5,184,13,6235,,6307.5,8.57,6
MT4196,1,87,117,116.4,11.8,5,184,13,6690,,6767.79,9.2,6
MT4641,1,81,111,101.4,17,5,184,13.1,5825,,5885.96,8,6
MT4152,1,81,111,103.2,14,5,184,13.1,5755,,5815.23,7.9,6
MT4194,1,79,109,88,15,7,184,12.9,6395,,6476.8,8.8,6
MT4722,1,90,120,114.6,13.2,7,184,12.8,5840,,5921.49,8.05,6
MT4640,1,80,110,108,17,5,184,12.9,5550,,5620.99,7.64,6
MT4243,1,81,111,114.8,13.6,5,184,13,5243,,5303.97,7.21,6
MT4201,1,83,113,109.2,17.2,7,184,12.5,4270,,4344.48,5.9,6
MT4248,1,91,121,106.8,13.6,5,184,13.1,4695,,4744.13,6.45,6
MT4320,1,84,114,115.2,13.8,7,184,12.8,5945,,6027.95,8.19,6
MT4234,1,86,116,119.4,14,5,184,13.1,5775,,5835.44,7.93,6
MT4280,1,95,125,114.2,12,5,184,13.1,6095,,6158.78,8.37,6
MT4171,1,84,114,116.6,13.8,5,184,13.1,5500,,5557.56,7.55,6
MT4604,1,82,112,111.2,12.6,5,184,12.9,6095,,6172.96,8.39,6
MT4289,1,93,123,111.8,15.4,5,184,13.1,6245,,6310.35,8.57,6
MT4188,1,88,118,112.4,11.4,5,184,13,6610,,6686.86,9.09,6
MT4054,1,84,114,105.8,13.6,5,184,12.9,6535,,6618.59,8.99,6
MT4756,1,84,114,112.8,15.4,5,184,12.5,5155,,5244.91,7.13,6
MT4110,1,79,109,111.2,14.4,7,184,13.1,6220,,6285.09,8.54,6
MT4041,1,83,113,110.6,13.4,5,184,12.5,5115,,5204.22,7.07,6
MT4149,1,82,112,113.4,13,5,184,13,6000,,6069.77,8.25,6
MT4901,1,78,108,93.6,16.6,5,184,13.1,5240,,5294.84,7.19,6
MT4712,1,83,113,101.6,13,5,184,13.1,5640,,5699.02,7.74,6
MT4232,1,84,114,116.6,12.6,5,184,13,6120,,6191.16,8.41,6
MT4026,1,80,110,117.8,13.8,5,184,13,6040,,6110.23,8.3,6
MT4179,1,85,115,107.6,12.8,5,184,13.1,6090,,6153.73,8.36,6
MT4722,1,89,119,114.6,15.2,5,184,13.1,5420,,5476.72,7.44,6
MT4566,1,94,124,109.6,15.8,5,184,13,5710,,5776.4,7.85,6
MT4556,1,78,108,103.8,14,7,184,13.1,5490,,5547.45,7.54,6
MT4243,1,88,118,118,14.2,7,184,13.1,6100,,6163.84,8.37,6
MT4146,1,89,119,123.4,15.2,5,184,13.1,6020,,6083,8.26,6
MT4299,1,91,121,117.2,16.6,5,184,13,5830,,5897.79,8.01,6
MT4268,1,91,121,123.2,15.4,5,184,13,6450,,6525,8.87,6
MT4217,1,81,111,107,12.6,5,184,12.9,6095,,6172.96,8.39,6
MT4737,1,85,115,108,18.6,5,184,13.1,6280,,6345.72,8.62,6
MT4276,1,91,121,115.8,13,3,184,12.8,6125,,6210.47,8.44,6
MT4180,1,80,110,113.6,18.2,5,184,13.1,5185,,5239.26,7.12,6
MT4206,1,84,114,113.4,16.2,5,184,13,5915,,5983.78,8.13,6
MT4158,1,80,110,111.4,15.6,5,184,13,5390,,5452.67,7.41,6
MT4622,1,80,110,112.2,15,3,184,13,6135,,6206.34,8.43,6
MT4088,1,84,114,100.8,17,7,184,13,5195,,5255.41,7.14,6
MT4148,1,81,111,109.4,20.8,7,184,12.7,5475,,5557.76,7.55,6
MT4220,1,86,116,115.6,16.8,5,184,13,5635,,5700.52,7.75,6
MT4004,1,85,115,99.4,35,7,184,13.1,5905,,5966.8,8.11,6
MT4209,1,84,114,117.6,13.4,3,184,13,5110,,5169.42,7.02,6
MT4574,1,81,111,102.2,16.8,5,184,13,6130,,6201.28,8.43,6
MT4087,1,84,114,97.6,16.6,7,184,13.1,5365,,5421.15,7.37,6
MT4049,1,81,111,88.4,18,7,184,13.5,5220,,5250.35,7.13,6
MT4324,1,84,114,103.2,16.6,5,184,12.5,5010,,5097.38,6.93,6
MT4196,1,81,111,119,17.2,5,184,13,6935,,7015.64,9.53,6
MT4249,1,88,118,110,17,7,184,13,5635,,5700.52,7.75,6
MT4648,1,84,114,111.6,15.8,5,184,13,5745,,5811.8,7.9,6
MT4903,1,84,114,107.2,16.8,5,184,12.9,6230,,6309.69,8.57,6
MT4720,1,83,113,100.2,14.8,5,184,13.1,5400,,5456.51,7.41,6
MT4008,1,84,114,106,16.6,5,184,12.5,5715,,5814.68,7.9,6
MT4066,1,84,114,108.6,15.8,5,184,13,5215,,5275.64,7.17,6
MT4809,1,84,114,108,17.2,5,184,13.1,4755,,4804.76,6.53,6
MT4152,1,80,110,104.6,17.8,5,184,12.9,5865,,5940.02,8.07,6
MT4543,1,86,116,113,15,5,184,13.1,5940,,6002.16,8.16,6
MT4201,1,83,113,98,16,7,184,12.8,4310,,4370.14,5.94,6
MT4567,1,81,111,104.2,13.6,5,184,12.9,5540,,5610.86,7.62,6
MT4194,1,79,109,111.4,16.8,5,184,12.5,5900,,6002.91,8.16,6
MT4538,1,83,113,98.8,17.6,5,184,12.9,5175,,5241.19,7.12,6
MT4150,1,85,115,103.2,12.8,7,184,12.9,5546,,5616.94,7.63,6
MT4017,1,95,125,106,11.6,5,184,13.1,4890,,4941.17,6.71,6
MT4902,1,80,110,102.4,15.6,5,184,12.8,5640,,5718.7,7.77,6
MT4154,1,85,115,113.6,15.4,5,184,12.6,5260,,5345.63,7.26,6
MT4279,1,93,123,101.8,11.6,5,184,13.1,5300,,5355.47,7.28,6
MT4050,1,83,113,111,13.6,5,184,13.1,5105,,5158.42,7.01,6
MT4053,1,85,115,97.8,13.2,5,184,12.5,5140,,5229.65,7.11,6
MT4536,1,82,112,104.8,16.4,5,184,12.5,5010,,5097.38,6.93,6
MT4038,1,82,112,103.8,11.6,5,184,13,5175,,5235.17,7.11,6
MT4297,1,85,115,114.4,20.2,5,184,13.1,5200,,5254.42,7.14,6
MT4161,1,83,113,120,13.2,5,184,13.1,5440,,5496.93,7.47,6
MT4137,1,85,115,103.2,13.4,3,184,12.9,5265,,5332.34,7.25,6
MT4213,1,83,113,110,13.4,7,184,12.5,5405,,5499.27,7.47,6
MT4748,1,84,114,100.6,12.8,5,184,13,5705,,5771.34,7.84,6
MT4546,1,85,115,117.4,11.4,3,184,12,5795,,5929.77,8.06,6
MT4904,1,87,117,113,17.4,3,184,12,5375,,5500,7.47,6
MT4226,1,87,117,109,15.2,5,184,13,6195,,6267.03,8.51,6
MT4055,1,80,110,104.4,13.6,5,184,13,5135,,5194.71,7.06,6
MT4706,1,81,111,105.8,14.2,5,184,12.5,5700,,5799.42,7.88,6
MT4553,1,81,111,133.2,12,5,184,13.1,6345,,6411.4,8.71,6
MT4237,1,84,114,111.8,16.6,7,184,12.9,6799,,6885.96,9.36,6
MT4257,1,81,111,106.2,14.4,5,184,13,5795,,5862.38,7.97,6
MT4133,1,82,112,111.4,17,5,184,12.7,6190,,6283.57,8.54,6
MT4195,1,84,114,113.4,19.6,5,184,13.1,5280,,5335.26,7.25,6
MT4639,1,80,110,107.4,17,5,184,13.1,4370,,4415.73,6,6
MT4640,1,82,112,104.4,14.6,5,184,12.9,5765,,5838.74,7.93,6
MT4138,1,84,114,115.2,13.8,5,184,13,5705,,5771.34,7.84,6
MT4554,1,84,114,103.4,13,7,184,13.1,6200,,6264.88,8.51,6
MT4285,1,96,126,105,17.4,5,184,13.1,5095,,5148.32,6.99,6
MT4036,1,78,108,106,14.6,7,184,12.9,5185,,5251.32,7.13,6
MT5211,1,78,108,107.4,12.8,5,184,13,4805,,4860.87,6.6,6
MT4205,1,82,112,105.6,15.2,5,184,12.7,4480,,4547.72,6.18,6
MT4284,1,80,110,101.2,14.6,5,184,13.1,5000,,5052.33,6.86,6
MT4018,1,94,124,104,16.6,5,184,13.2,5905,,5959.93,8.1,6
MT4547,1,80,110,105.6,17.2,5,184,12.9,5550,,5620.99,7.64,6
MT4779,1,81,111,110,14.8,7,184,13.5,5765,,5798.52,7.88,6
MT4650,1,80,110,110.6,15.8,5,184,13.1,5665,,5724.28,7.78,6
MT4019,1,91,121,99.8,14.8,5,184,13,5390,,5452.67,7.41,6
MT4241,1,84,114,97,16.8,7,184,13.5,5400,,5431.4,7.38,6
MT4641,1,76,106,99,18.6,5,184,13,5425,,5488.08,7.46,6
MT4634,1,79,109,107.8,15.4,5,184,13,6265,,6337.85,8.61,6
MT4095,1,80,110,111,19,5,184,13,5095,,5154.24,7,6
MT4105,1,80,110,110.4,15.4,5,184,13,5605,,5670.17,7.7,6
MT4075,1,81,111,102.8,12.8,5,184,12.5,3660,,3723.84,5.06,6
MT4094,1,88,118,103.2,17,5,184,12.8,4850,,4916.94,6.68,6
MT4896,2,84,114,109.6,17.4,5,184,12.5,6180,,6287.79,8.54,6
MT4327,2,84,114,106.6,15.6,5,184,12.8,5320,,5394.23,7.33,6
MT4509,2,83,113,105,16.8,5,184,12.9,4795,,4856.33,6.6,6
MT4833,2,95,125,110.4,14.8,5,184,12.8,6145,,6230.74,8.47,6
MT4841,2,87,117,114.8,18,3,184,12.5,6290,,6399.71,8.7,6
MT4444,2,88,118,124,16,5,184,13,5420,,5483.02,7.45,6
MT4867,2,84,114,111.6,17.4,3,184,13,6220,,6292.33,8.55,6
MT4406,2,94,124,110.4,17.2,5,184,12.5,5175,,5265.26,7.15,6
MT4457,2,82,112,112.2,17.4,5,184,13.1,7135,,7209.67,9.8,6
MT4489,2,85,115,103.6,20.8,5,184,13.1,6615,,6684.23,9.08,6
MT4835,2,92,122,115.6,17.8,5,184,13,7000,,7081.4,9.62,6
MT4843,2,87,117,108,17.4,5,184,12.9,6435,,6517.31,8.86,6
MT4494,2,84,114,121,15.2,5,184,13,6420,,6494.65,8.82,6
MT4377,2,96,126,114.4,17.4,5,184,13.1,6250,,6315.41,8.58,6
MT4830,2,84,114,102.6,15.4,3,184,13,6825,,6904.36,9.38,6
MT4404,2,85,115,118.6,16.8,5,184,13.1,7025,,7098.52,9.64,6
MT4807,2,91,121,102.2,19.2,5,184,12.9,6795,,6881.91,9.35,6
MT4398,2,91,121,111.2,20,5,184,13.1,5900,,5961.74,8.1,6
MT4471,2,95,125,100.6,20.6,5,184,12.9,5880,,5955.21,8.09,6
MT4836,2,85,115,116,16.6,5,184,13,6275,,6347.97,8.62,6
MT4363,2,93,123,117,16,5,184,13.1,5440,,5496.93,7.47,6
MT4874,2,95,125,107.8,16.2,5,184,12.1,5775,,5902.59,8.02,6
MT4902,2,78,108,102,13.6,5,184,13,5575,,5639.83,7.66,6
MT4488,2,95,125,103.4,14,5,184,12.5,5380,,5473.84,7.44,6
MT4353,2,95,125,117.2,14.6,5,184,13.1,6275,,6340.67,8.62,6
MT5211,2,77,107,101,19,5,184,12.8,4210,,4268.74,5.8,6
MT4829,2,85,115,105.6,13.8,3,184,13,5920,,5988.84,8.14,6
MT4817,2,84,114,103,12,5,184,12.5,6200,,6308.14,8.57,6
MT4479,2,82,112,110,15,5,184,12.9,5535,,5605.8,7.62,6
MT4390,2,85,115,102.8,18.4,5,184,12.9,4730,,4790.5,6.51,6
MT4901,2,78,108,81.6,24.4,5,184,13.1,6345,,6411.4,8.71,6
MT4818,2,93,123,106.6,13.6,5,184,13,6270,,6342.91,8.62,6
MT4904,2,85,115,110.2,14.8,3,184,13,5635,,5700.52,7.75,6
MT4889,2,92,122,116,14,5,184,13.1,6520,,6588.23,8.95,6
MT4414,2,95,125,108.8,14.4,5,184,12.9,5865,,5940.02,8.07,6
MT4413,2,90,120,111.4,16.8,7,184,12.9,6225,,6304.62,8.57,6
MT4447,2,96,126,111.6,13.6,5,184,13.5,6160,,6195.81,8.42,6
MT4903,2,83,113,106.6,16.6,5,184,12.5,6325,,6435.32,8.74,6
MT4886,2,90,120,105,13.8,5,184,13,6435,,6509.83,8.84,6
MT4879,2,95,125,113,13.8,5,184,12.9,6895,,6983.19,9.49,6
MT4457,2,84,114,111.4,15,5,184,13.2,7160,,7226.6,9.82,6
MT4398,2,93,123,114,19,5,184,13,7400,,7486.05,10.17,6
MT4327,2,88,118,107.4,14.6,5,184,13.5,5665,,5697.94,7.74,6
MT4817,2,83,113,102.8,14.6,3,184,13.1,7440,,7517.86,10.21,6
MT4901,2,76,106,82.6,13.2,5,184,13.1,5920,,5981.95,8.13,6
MT4902,2,77,107,104.8,17.6,5,184,13,5690,,5756.16,7.82,6
MT4447,2,95,125,113.6,14,5,184,13.1,6215,,6280.04,8.53,6
MT4404,2,93,123,110,20.6,5,184,13.5,6555,,6593.11,8.96,6
MT4889,2,89,119,110.8,18.4,5,184,13.1,6975,,7047.99,9.58,6
MT4363,2,89,119,113.6,19.2,5,184,13,6435,,6509.83,8.84,6
MT4903,2,83,113,101.4,14.8,5,184,13.1,6520,,6588.23,8.95,6
MT4353,2,95,125,120.8,18.6,5,184,13.5,6650,,6688.66,9.09,6
MT4879,2,89,119,105.4,13,5,184,13.1,6105,,6168.89,8.38,6
MT4494,2,84,114,113.4,17.2,5,184,13.1,6490,,6557.92,8.91,6
MT4833,2,95,125,111.6,16.2,5,184,12.3,6405,,6531.61,8.87,6
MT4867,2,84,114,113.8,19.2,5,184,13.1,7355,,7431.97,10.1,6
MT4414,2,95,125,104,14.2,5,184,12.8,6180,,6266.23,8.51,6
MT4843,2,87,117,109,19,5,184,13.1,7005,,7078.31,9.62,6
MT4390,2,86,116,110,15.8,7,184,13,6585,,6661.57,9.05,6
MT4471,2,95,125,109.2,16.2,5,184,13,6455,,6530.06,8.87,6
MT5211,2,76,106,103.2,17.6,5,184,12.8,5910,,5992.47,8.14,6
MT4904,2,86,116,113.8,20,3,184,13.5,7070,,7111.1,9.66,6
MT4444,2,94,124,117.8,16.8,5,184,13.1,5765,,5825.33,7.91,6
MT4836,2,88,118,111,15.4,5,184,13.1,6140,,6204.26,8.43,6
MT4479,2,84,114,115.4,15.6,5,184,13,6290,,6363.14,8.65,6
MT4413,2,88,118,116.6,16.8,5,184,13,5845,,5912.97,8.03,6
MT4874,2,96,126,108,15.6,5,184,12.9,6955,,7043.96,9.57,6
MT4377,2,96,126,114.6,21.2,5,184,13.2,6630,,6691.67,9.09,6
MT4489,2,90,120,97.6,13.8,3,184,13.1,6700,,6770.12,9.2,6
MT4807,2,90,120,105.4,13.8,5,184,13,6515,,6590.76,8.95,6
MT4818,2,92,122,114,19.2,7,184,13.1,6910,,6982.31,9.49,6
MT4886,2,92,122,113.6,14.4,5,184,13.1,7185,,7260.19,9.86,6
MT4488,2,85,115,109.6,23,5,184,13.2,6395,,6454.49,8.77,6
MT4841,2,88,118,111.8,16,5,184,13,7575,,7663.08,10.41,6
MT4406,2,95,125,107.8,19.2,7,184,13.1,6240,,6305.3,8.57,6
MT4830,2,80,110,104.6,12.8,5,184,13,7330,,7415.23,10.08,6
MT4509,2,83,113,101.4,15.6,5,184,12,2122,,2171.35,2.95,6
MT4829,2,85,115,110.6,15.6,5,184,13,7055,,7137.03,9.7,6
MT4896,2,84,114,103.2,19.6,5,184,13.5,7385,,7427.94,10.09,6
MT4835,2,93,123,119.6,14.8,5,184,13.1,7355,,7431.97,10.1,6
MT4554,1,87,117,101.4,16.4,5,165,12,4158,,4744.63,6.45,7
MT4087,1,88,118,95,25.4,5,166,12.7,4259,,4792.18,6.51,7
MT4150,1,88,118,102.2,21.4,5,171,12,3939,,4337.02,5.89,7
MT4053,1,88,118,95.6,22.8,5,179,12.1,3972,,4173.15,5.67,7
MT4285,1,88,118,90.4,15.6,3,181,9,3594,,3865.99,5.25,7
MT4146,1,87,117,113.4,13,3,179,9.3,3852,,4175.99,5.67,7
MT4234,1,89,119,108.2,13.4,3,176,9.8,4045,,4435.39,6.03,7
MT4556,1,82,112,99.2,16.8,5,181,10.5,3956,,4185.24,5.69,7
MT4041,1,86,116,102.8,15.6,5,182,17.3,4503,,4377.8,5.95,7
MT4201,1,86,116,98.6,19,5,181,10.6,3958,,4182.67,5.68,7
MT4105,1,82,112,105.4,13.6,3,177,17.3,4276,,4274.54,5.81,7
MT4243,1,88,118,108.4,14,3,178,8.9,4354,,4767.67,6.48,7
MT4538,1,85,115,100.4,21.2,3,178,17.6,4776,,4730.32,6.43,7
MT4720,1,87,117,98.2,11.6,3,180,11.3,4169,,4395.44,5.97,7
MT4194,1,87,117,106.2,16,5,174,12.6,3650,,3922.6,5.33,7
MT4737,1,88,118,90,13.4,5,174,8.7,4258,,4780.21,6.49,7
MT4196,1,87,117,109.8,18.6,5,175,12,3857,,4149.67,5.64,7
MT4075,1,88,118,105,12.8,5,171,8.1,3080,,3541.52,4.81,7
MT4206,1,88,118,107,18.2,5,172,10.6,4047,,4500.51,6.11,7
MT4195,1,88,118,100.6,12.8,3,177,9.6,3775,,4125.07,5.6,7
MT4901,1,80,110,81.2,25.2,5,172,16.1,4260,,4445.93,6.04,7
MT4320,1,88,118,111.4,18.6,3,181,11.9,3641,,3791.73,5.15,7
MT4241,1,87,117,95.8,17.8,3,181,16.3,4498,,4450.26,6.05,7
MT4019,1,88,118,94.8,19.4,1,182,10.4,4345,,4576.63,6.22,7
MT4179,1,87,117,105,22,5,180,15.8,3853,,3856.19,5.24,7
MT4706,1,86,116,103.8,18,5,177,10.8,3411,,3677.84,5,7
MT4054,1,88,118,96.4,18.6,5,178,13.8,4083,,4230.44,5.75,7
MT4148,1,87,117,105.8,20.6,5,181,9.6,5116,,5466.88,7.43,7
MT4008,1,88,118,95.8,20.2,5,181,10.8,5106,,5383.77,7.31,7
MT4095,1,87,117,103.4,21.2,5,181,10.4,4505,,4771.38,6.48,7
MT4622,1,87,117,107,18.8,5,178,11.1,4293,,4587.35,6.23,7
MT4650,1,86,116,110.6,16.6,5,175,12,4463,,4801.65,6.52,7
MT4574,1,87,117,107.6,17.8,5,179,14.1,4630,,4753.8,6.46,7
MT4809,1,90,120,104.8,12.6,5,181,8.8,3520,,3794.71,5.16,7
MT4722,1,88,118,106.2,17.6,5,180,13.3,4225,,4354.04,5.92,7
MT4205,1,88,118,100.4,19,3,176,13.7,4802,,5037.79,6.84,7
MT4640,1,88,118,100.2,20.6,7,183,13.3,4568,,4630.35,6.29,7
MT4639,1,83,113,104.2,18.6,7,174,13.4,4582,,4879.14,6.63,7
MT4276,1,89,119,104.4,18.2,7,175,9.7,4483,,4949.23,6.72,7
MT4004,1,87,117,100.8,22.4,5,181,14.7,5146,,5188.71,7.05,7
MT4088,1,88,118,96.8,20.8,7,175,18.5,4801,,4783.77,6.5,7
MT4756,1,88,118,98.8,14.8,3,181,9.4,3603,,3858.63,5.24,7
MT4648,1,86,116,107,22,3,176,13.1,4371,,4617.5,6.27,7
MT4232,1,87,117,106.2,17,5,174,10.5,4476,,4925.87,6.69,7
MT5211,1,79,109,104.8,18.4,7,174,15.2,4592,,4788.15,6.51,7
MT4226,1,86,116,97.8,21.2,5,169,8.9,3970,,4578.69,6.22,7
MT4209,1,82,112,105.2,15.2,5,168,11.5,4143,,4669.48,6.34,7
MT4324,1,88,118,95.4,21.4,5,172,17.2,4473,,4607.02,6.26,7
MT4026,1,82,112,104.2,18.8,5,177,11.9,3811,,4058.46,5.51,7
MT4566,1,94,124,98.2,17.6,3,176,11.3,4484,,4834.99,6.57,7
MT4188,1,88,118,98.6,13.8,5,179,11.4,3863,,4090.96,5.56,7
MT4137,1,87,117,93.6,14.6,3,179,11,3936,,4187.08,5.69,7
MT4748,1,82,112,98,18.8,5,177,16.9,4556,,4576.47,6.22,7
MT4038,1,86,116,94.4,16.4,5,179,10.8,4049,,4316.97,5.87,7
MT4268,1,88,118,109.4,14.2,3,176,16.4,3558,,3615.92,4.91,7
MT4217,1,85,115,98.6,16.8,5,181,11.9,4150,,4321.8,5.87,7
MT4036,1,79,109,102.6,16.4,5,182,17.3,4541,,4414.74,6,7
MT4149,1,85,115,108.8,15.2,3,183,13.3,4520,,4581.69,6.23,7
MT4158,1,85,115,101.8,16.6,5,183,11.9,4269,,4397.14,5.97,7
MT4017,1,89,119,106,15,1,183,11.1,4763,,4950.52,6.73,7
MT4257,1,85,115,100.6,18.4,7,182,13.9,3993,,4041.57,5.49,7
MT4279,1,87,117,95.4,15.4,3,179,12.2,4533,,4757.15,6.46,7
