KernelNumber,KernelColor,KernelType,KernelCategory
97,yellow,flint,yellow flint
98,yellow,flint,yellow flint
99,white,flint,white flint
100,yellow,sweet,yellow sweet
101,yellow,sweet,yellow sweet
102,yellow,flint,yellow flint
103,yellow,flint,yellow flint
104,yellow,flint,yellow flint
105,yellow,flint,yellow flint
106,yellow,flint,yellow flint
107,yellow,flint,yellow flint
108,yellow,flint,yellow flint
109,yellow,flint,yellow flint
110,yellow,flint,yellow flint
111,white,sweet,white sweet
112,yellow,flint,yellow flint
113,yellow,flint,yellow flint
114,yellow,flint,yellow flint
115,yellow,,yellow flint
116,white,flint,white flint
117,yellow,flint,yellow flint
118,yellow,flint,yellow flint
119,yellow,flint,yellow flint
120,yellow,flint,yellow flint
121,yellow,flint,yellow flint
122,yellow,sweet,yellow sweet
123,white,flint,white flint
124,yellow,sweet,yellow sweet
125,yellow,flint,yellow flint
126,yellow,flint,yellow flint
127,yellow,flint,yellow flint
128,yellow,flint,yellow flint
129,yellow,flint,yellow flint
130,yellow,sweet,yellow sweet
131,yellow,sweet,yellow sweet
132,white,flint,white flint
133,yellow,flint,yellow flint
134,yellow,flint,yellow flint
135,yellow,flint,yellow flint
136,yellow,sweet,yellow sweet
137,white,flint,white flint
138,yellow,flint,yellow flint
139,yellow,flint,yellow flint
140,white,flint,white flint
141,white,flint,white flint
142,yellow,sweet,yellow sweet
143,yellow,flint,yellow flint
144,yellow,sweet,yellow sweet
145,white,sweet,white sweet
146,yellow,flint,yellow flint
147,yellow,flint,yellow flint
148,yellow,flint,yellow flint
149,yellow,sweet,yellow sweet
150,yellow,flint,yellow flint
151,yellow,,yellow flint
152,yellow,flint,yellow flint
153,yellow,flint,yellow flint
154,yellow,flint,yellow flint
155,yellow,flint,yellow flint
156,yellow,flint,yellow flint
157,yellow,flint,yellow flint
158,yellow,sweet,yellow sweet
159,yellow,flint,yellow flint
160,yellow,flint,yellow flint
161,yellow,flint,yellow flint
162,yellow,flint,yellow flint
163,yellow,sweet,yellow sweet
164,white,sweet,white sweet
165,yellow,flint,yellow flint
166,yellow,flint,yellow flint
167,white,flint,white flint
168,yellow,sweet,yellow sweet
169,yellow,flint,yellow flint
170,yellow,flint,yellow flint
171,yellow,sweet,yellow sweet
172,yellow,sweet,yellow sweet
173,yellow,flint,yellow flint
174,yellow,flint,yellow flint
175,yellow,sweet,yellow sweet
176,white,flint,white flint
177,yellow,,yellow flint
178,yellow,flint,yellow flint
179,yellow,flint,yellow flint
180,yellow,flint,yellow flint
181,yellow,flint,yellow flint
182,white,flint,white flint
183,yellow,flint,yellow flint
184,white,flint,white flint
185,yellow,flint,yellow flint
186,yellow,sweet,yellow sweet
187,yellow,flint,yellow flint
188,yellow,flint,yellow flint
189,yellow,flint,yellow flint
190,yellow,flint,yellow flint
191,yellow,flint,yellow flint
192,white,flint,white flint
193,yellow,flint,yellow flint
194,yellow,flint,yellow flint
195,yellow,sweet,yellow sweet
196,white,flint,white flint
197,yellow,flint,yellow flint
198,white,sweet,white sweet
199,yellow,flint,yellow flint
200,yellow,flint,yellow flint
201,yellow,flint,yellow flint
202,yellow,flint,yellow flint
203,,flint,yellow flint
204,white,flint,white flint
205,yellow,flint,yellow flint
206,yellow,flint,yellow flint
207,white,flint,white flint
208,yellow,flint,yellow flint
209,yellow,flint,yellow flint
210,yellow,flint,yellow flint
211,white,flint,white flint
212,yellow,sweet,yellow sweet
213,yellow,sweet,yellow sweet
214,yellow,flint,yellow flint
215,yellow,flint,yellow flint
216,yellow,flint,yellow flint
217,yellow,flint,yellow flint
218,yellow,flint,yellow flint
219,yellow,flint,yellow flint
220,yellow,flint,yellow flint
221,yellow,flint,yellow flint
222,yellow,flint,yellow flint
223,yellow,flint,yellow flint
224,white,flint,white flint
225,yellow,flint,yellow flint
226,yellow,sweet,yellow sweet
227,yellow,flint,yellow flint
228,,sweet,white sweet
229,yellow,flint,yellow flint
230,yellow,sweet,yellow sweet
231,yellow,flint,yellow flint
232,yellow,flint,yellow flint
233,white,flint,white flint
234,yellow,flint,yellow flint
235,white,sweet,white sweet
236,yellow,sweet,yellow sweet
237,white,flint,white flint
238,yellow,sweet,yellow sweet
239,white,flint,white flint
240,yellow,flint,yellow flint
241,yellow,flint,yellow flint
242,white,flint,white flint
243,yellow,flint,yellow flint
244,white,flint,white flint
245,yellow,sweet,yellow sweet
246,yellow,flint,yellow flint
247,yellow,flint,yellow flint
248,yellow,flint,yellow flint
249,yellow,sweet,yellow sweet
250,yellow,flint,yellow flint
251,white,flint,white flint
252,yellow,,yellow flint
253,yellow,flint,yellow flint
254,yellow,sweet,yellow sweet
255,yellow,flint,yellow flint
256,yellow,sweet,yellow sweet
257,yellow,flint,yellow flint
258,yellow,flint,yellow flint
259,yellow,flint,yellow flint
260,yellow,flint,yellow flint
261,yellow,sweet,yellow sweet
262,yellow,sweet,yellow sweet
263,yellow,sweet,yellow sweet
264,yellow,flint,yellow flint
265,white,sweet,white sweet
266,white,flint,white flint
267,yellow,flint,yellow flint
268,yellow,flint,yellow flint
269,yellow,flint,yellow flint
270,yellow,flint,yellow flint
271,yellow,flint,yellow flint
272,yellow,sweet,yellow sweet
273,,flint,yellow flint
274,yellow,flint,yellow flint
275,yellow,flint,yellow flint
276,yellow,flint,yellow flint
277,yellow,flint,yellow flint
278,white,flint,white flint
279,yellow,flint,yellow flint
280,yellow,flint,yellow flint
281,white,sweet,white sweet
282,yellow,flint,yellow flint
283,yellow,flint,yellow flint
284,yellow,flint,yellow flint
285,yellow,flint,yellow flint
286,white,flint,white flint
287,yellow,flint,yellow flint
288,yellow,flint,yellow flint
289,yellow,flint,yellow flint
290,yellow,flint,yellow flint
291,yellow,sweet,yellow sweet
292,yellow,,yellow sweet
293,yellow,flint,yellow flint
294,yellow,sweet,yellow sweet
295,yellow,flint,yellow flint
296,yellow,flint,yellow flint
297,yellow,flint,yellow flint
298,white,flint,white flint
299,yellow,flint,yellow flint
300,yellow,flint,yellow flint
301,yellow,flint,yellow flint
302,yellow,sweet,yellow sweet
303,yellow,sweet,yellow sweet
304,yellow,flint,yellow flint
305,yellow,flint,yellow flint
306,white,flint,white flint
307,white,flint,white flint
308,yellow,flint,yellow flint
309,yellow,sweet,yellow sweet
310,yellow,flint,yellow flint
311,yellow,flint,yellow flint
312,,sweet,yellow sweet
313,white,sweet,white sweet
314,white,sweet,white sweet
315,yellow,flint,yellow flint
316,yellow,flint,yellow flint
317,yellow,sweet,yellow sweet
318,yellow,sweet,yellow sweet
319,yellow,flint,yellow flint
320,yellow,flint,yellow flint
321,white,flint,white flint
322,yellow,flint,yellow flint
323,white,flint,white flint
324,yellow,flint,yellow flint
325,white,flint,white flint
326,yellow,sweet,yellow sweet
327,yellow,sweet,yellow sweet
328,yellow,flint,yellow flint
329,yellow,flint,yellow flint
330,white,,white flint
331,yellow,flint,yellow flint
332,yellow,flint,yellow flint
333,yellow,flint,yellow flint
334,yellow,flint,yellow flint
335,yellow,sweet,yellow sweet
336,yellow,flint,yellow flint
337,yellow,flint,yellow flint
338,yellow,sweet,yellow sweet
339,yellow,flint,yellow flint
340,yellow,flint,yellow flint
341,yellow,flint,yellow flint
342,yellow,flint,yellow flint
343,yellow,flint,yellow flint
344,white,sweet,white sweet
345,yellow,sweet,yellow sweet
346,yellow,sweet,yellow sweet
347,white,flint,white flint
348,yellow,flint,yellow flint
349,white,flint,white flint
350,yellow,flint,yellow flint
351,white,flint,white flint
352,yellow,flint,yellow flint
353,white,flint,white flint
354,yellow,flint,yellow flint
355,yellow,,yellow flint
356,yellow,sweet,yellow sweet
357,yellow,sweet,yellow sweet
358,yellow,flint,yellow flint
359,white,flint,white flint
360,yellow,sweet,yellow sweet
361,yellow,flint,yellow flint
362,yellow,flint,yellow flint
363,yellow,sweet,yellow sweet
364,yellow,sweet,yellow sweet
365,yellow,flint,yellow flint
366,yellow,flint,yellow flint
367,yellow,flint,yellow flint
368,white,flint,white flint
369,white,flint,white flint
370,yellow,sweet,yellow sweet
371,yellow,flint,yellow flint
372,,flint,white flint
373,yellow,sweet,yellow sweet
374,yellow,flint,yellow flint
375,yellow,flint,yellow flint
376,yellow,sweet,yellow sweet
377,yellow,flint,yellow flint
378,white,sweet,white sweet
379,yellow,flint,yellow flint
380,yellow,flint,yellow flint
381,white,flint,white flint
382,yellow,sweet,yellow sweet
383,yellow,flint,yellow flint
384,yellow,flint,yellow flint
385,yellow,sweet,yellow sweet
386,yellow,flint,yellow flint
387,yellow,flint,yellow flint
388,yellow,flint,yellow flint
389,yellow,sweet,yellow sweet
390,yellow,flint,yellow flint
391,yellow,flint,yellow flint
392,yellow,flint,yellow flint
393,yellow,sweet,yellow sweet
394,yellow,flint,yellow flint
395,white,sweet,white sweet
396,,flint,yellow flint
397,yellow,flint,yellow flint
398,yellow,sweet,yellow sweet
399,yellow,sweet,yellow sweet
400,yellow,sweet,yellow sweet
401,yellow,flint,yellow flint
402,yellow,flint,yellow flint
403,white,flint,white flint
404,yellow,sweet,yellow sweet
405,white,flint,white flint
406,yellow,flint,yellow flint
407,yellow,flint,yellow flint
408,yellow,flint,yellow flint
409,yellow,flint,yellow flint
410,white,sweet,white sweet
411,yellow,flint,yellow flint
412,yellow,flint,yellow flint
413,yellow,,yellow sweet
414,yellow,sweet,yellow sweet
415,yellow,sweet,yellow sweet
416,yellow,flint,yellow flint
417,white,flint,white flint
418,yellow,sweet,yellow sweet
419,yellow,flint,yellow flint
420,yellow,flint,yellow flint
421,yellow,flint,yellow flint
422,yellow,flint,yellow flint
423,yellow,flint,yellow flint
424,yellow,flint,yellow flint
425,yellow,sweet,yellow sweet
426,yellow,flint,yellow flint
427,yellow,sweet,yellow sweet
428,yellow,flint,yellow flint
429,yellow,flint,yellow flint
430,white,flint,white flint
431,yellow,flint,yellow flint
432,yellow,flint,yellow flint
433,yellow,flint,yellow flint
434,yellow,flint,yellow flint
435,,flint,yellow flint
436,yellow,flint,yellow flint
437,yellow,sweet,yellow sweet
438,yellow,flint,yellow flint
439,yellow,sweet,yellow sweet
440,yellow,flint,yellow flint
441,yellow,sweet,yellow sweet
442,yellow,sweet,yellow sweet
443,yellow,flint,yellow flint
444,yellow,flint,yellow flint
445,yellow,flint,yellow flint
446,yellow,flint,yellow flint
447,yellow,sweet,yellow sweet
448,white,flint,white flint
449,white,sweet,white sweet
450,yellow,flint,yellow flint
451,yellow,flint,yellow flint
452,yellow,flint,yellow flint
453,yellow,,yellow sweet
454,yellow,flint,yellow flint
455,yellow,flint,yellow flint
456,white,sweet,white sweet
457,yellow,flint,yellow flint
458,yellow,flint,yellow flint
459,yellow,flint,yellow flint
460,yellow,flint,yellow flint
461,white,flint,white flint
462,white,flint,white flint
463,yellow,flint,yellow flint
464,white,flint,white flint
465,white,flint,white flint
466,yellow,flint,yellow flint
467,yellow,flint,yellow flint
468,yellow,flint,yellow flint
469,white,sweet,white sweet
470,yellow,flint,yellow flint
471,yellow,flint,yellow flint
472,yellow,flint,yellow flint
473,white,flint,white flint
474,yellow,flint,yellow flint
475,yellow,flint,yellow flint
476,yellow,flint,yellow flint
477,yellow,flint,yellow flint
478,yellow,flint,yellow flint
479,,sweet,white sweet
480,white,flint,white flint
481,yellow,sweet,yellow sweet
482,yellow,sweet,yellow sweet
483,yellow,flint,yellow flint
484,yellow,flint,yellow flint
485,white,sweet,white sweet
486,yellow,sweet,yellow sweet
487,yellow,flint,yellow flint
488,yellow,flint,yellow flint
489,yellow,sweet,yellow sweet
490,yellow,flint,yellow flint
491,yellow,sweet,yellow sweet
492,yellow,flint,yellow flint
493,yellow,flint,yellow flint
494,yellow,flint,yellow flint
495,yellow,flint,yellow flint
496,yellow,flint,yellow flint
497,yellow,flint,yellow flint
498,yellow,flint,yellow flint
499,yellow,sweet,yellow sweet
500,yellow,flint,yellow flint
501,yellow,sweet,yellow sweet
502,yellow,flint,yellow flint
503,yellow,,yellow sweet
504,yellow,flint,yellow flint
505,white,flint,white flint
506,yellow,flint,yellow flint
507,yellow,flint,yellow flint
508,yellow,flint,yellow flint
509,yellow,flint,yellow flint
510,yellow,flint,yellow flint
511,yellow,flint,yellow flint
512,white,flint,white flint
513,yellow,flint,yellow flint
514,yellow,flint,yellow flint
515,yellow,flint,yellow flint
516,yellow,sweet,yellow sweet
517,white,sweet,white sweet
518,yellow,flint,yellow flint
519,yellow,flint,yellow flint
520,yellow,flint,yellow flint
521,yellow,flint,yellow flint
522,yellow,flint,yellow flint
523,yellow,sweet,yellow sweet
524,yellow,flint,yellow flint
525,yellow,flint,yellow flint
526,yellow,flint,yellow flint
527,yellow,,yellow flint
528,yellow,flint,yellow flint
529,yellow,flint,yellow flint
530,yellow,sweet,yellow sweet
531,white,flint,white flint
532,white,flint,white flint
533,yellow,sweet,yellow sweet
534,white,sweet,white sweet
535,yellow,flint,yellow flint
536,yellow,flint,yellow flint
537,yellow,flint,yellow flint
538,yellow,flint,yellow flint
539,yellow,flint,yellow flint
540,yellow,flint,yellow flint
541,yellow,flint,yellow flint
542,yellow,sweet,yellow sweet
543,yellow,flint,yellow flint
544,yellow,flint,yellow flint
545,white,sweet,white sweet
546,yellow,flint,yellow flint
547,,flint,yellow flint
548,yellow,flint,yellow flint
549,yellow,flint,yellow flint
550,white,flint,white flint
551,yellow,flint,yellow flint
552,yellow,flint,yellow flint
553,yellow,flint,yellow flint
554,yellow,flint,yellow flint
555,yellow,flint,yellow flint
556,white,flint,white flint
557,yellow,flint,yellow flint
558,yellow,flint,yellow flint
559,white,flint,white flint
560,yellow,flint,yellow flint
561,yellow,flint,yellow flint
562,yellow,sweet,yellow sweet
563,yellow,flint,yellow flint
564,yellow,flint,yellow flint
565,yellow,flint,yellow flint
566,yellow,flint,yellow flint
567,yellow,flint,yellow flint
568,yellow,flint,yellow flint
569,yellow,flint,yellow flint
570,yellow,flint,yellow flint
571,yellow,flint,yellow flint
572,yellow,flint,yellow flint
573,yellow,flint,yellow flint
574,yellow,sweet,yellow sweet
575,,flint,yellow flint
576,yellow,flint,yellow flint
577,white,flint,white flint
578,yellow,flint,yellow flint
579,yellow,flint,yellow flint
580,yellow,sweet,yellow sweet
581,yellow,sweet,yellow sweet
582,yellow,flint,yellow flint
583,white,flint,white flint
584,yellow,flint,yellow flint
585,yellow,sweet,yellow sweet
586,yellow,flint,yellow flint
587,yellow,sweet,yellow sweet
588,yellow,flint,yellow flint
589,yellow,flint,yellow flint
590,yellow,flint,yellow flint
591,white,flint,white flint
592,yellow,sweet,yellow sweet
593,white,,white sweet
594,yellow,flint,yellow flint
595,yellow,flint,yellow flint
596,yellow,sweet,yellow sweet
597,yellow,flint,yellow flint
598,yellow,flint,yellow flint
599,yellow,sweet,yellow sweet
600,yellow,flint,yellow flint
601,white,flint,white flint
602,white,flint,white flint
603,yellow,sweet,yellow sweet
604,yellow,sweet,yellow sweet
605,yellow,flint,yellow flint
606,yellow,flint,yellow flint
607,yellow,flint,yellow flint
608,yellow,sweet,yellow sweet
609,yellow,flint,yellow flint
610,yellow,sweet,yellow sweet
611,yellow,sweet,yellow sweet
612,white,flint,white flint
613,yellow,flint,yellow flint
614,yellow,,yellow flint
615,white,flint,white flint
616,yellow,flint,yellow flint
617,white,flint,white flint
618,yellow,sweet,yellow sweet
619,yellow,flint,yellow flint
620,yellow,flint,yellow flint
621,yellow,sweet,yellow sweet
622,white,flint,white flint
623,white,flint,white flint
624,yellow,flint,yellow flint
625,white,flint,white flint
626,yellow,flint,yellow flint
627,yellow,flint,yellow flint
628,yellow,sweet,yellow sweet
629,white,flint,white flint
630,white,sweet,white sweet
631,white,flint,white flint
632,yellow,flint,yellow flint
633,yellow,flint,yellow flint
634,yellow,flint,yellow flint
635,yellow,,yellow sweet
636,yellow,flint,yellow flint
637,white,sweet,white sweet
638,yellow,flint,yellow flint
639,yellow,flint,yellow flint
640,yellow,sweet,yellow sweet
641,white,flint,white flint
642,yellow,flint,yellow flint
643,yellow,flint,yellow flint
644,yellow,flint,yellow flint
645,white,flint,white flint
646,yellow,flint,yellow flint
647,yellow,sweet,yellow sweet
648,yellow,flint,yellow flint
649,white,flint,white flint
650,yellow,flint,yellow flint
651,yellow,flint,yellow flint
652,yellow,sweet,yellow sweet
653,white,flint,white flint
654,yellow,sweet,yellow sweet
655,yellow,flint,yellow flint
656,yellow,,yellow flint
657,yellow,flint,yellow flint
658,yellow,flint,yellow flint
659,yellow,flint,yellow flint
660,yellow,flint,yellow flint
661,yellow,flint,yellow flint
662,white,sweet,white sweet
663,yellow,flint,yellow flint
664,yellow,sweet,yellow sweet
665,yellow,flint,yellow flint
666,yellow,flint,yellow flint
667,yellow,flint,yellow flint
668,yellow,flint,yellow flint
669,yellow,flint,yellow flint
670,yellow,sweet,yellow sweet
671,white,flint,white flint
672,yellow,sweet,yellow sweet
673,white,flint,white flint
674,yellow,,yellow flint
675,white,flint,white flint
676,white,flint,white flint
677,yellow,flint,yellow flint
678,yellow,flint,yellow flint
679,yellow,flint,yellow flint
680,yellow,flint,yellow flint
681,white,flint,white flint
682,yellow,sweet,yellow sweet
683,yellow,flint,yellow flint
684,white,flint,white flint
685,yellow,flint,yellow flint
686,yellow,flint,yellow flint
687,yellow,flint,yellow flint
688,white,flint,white flint
689,yellow,flint,yellow flint
690,yellow,flint,yellow flint
691,yellow,flint,yellow flint
692,yellow,flint,yellow flint
693,yellow,sweet,yellow sweet
694,,flint,yellow flint
695,yellow,flint,yellow flint
696,yellow,flint,yellow flint
697,yellow,flint,yellow flint
698,white,flint,white flint
699,white,flint,white flint
700,yellow,flint,yellow flint
701,yellow,flint,yellow flint
702,yellow,flint,yellow flint
703,white,sweet,white sweet
704,yellow,sweet,yellow sweet
705,white,flint,white flint
706,yellow,flint,yellow flint
707,yellow,flint,yellow flint
708,yellow,flint,yellow flint
709,white,flint,white flint
710,yellow,flint,yellow flint
711,white,flint,white flint
712,,flint,yellow flint
713,yellow,flint,yellow flint
714,yellow,flint,yellow flint
715,yellow,flint,yellow flint
716,yellow,sweet,yellow sweet
717,yellow,flint,yellow flint
718,yellow,flint,yellow flint
719,white,flint,white flint
720,yellow,flint,yellow flint
721,yellow,flint,yellow flint
722,white,flint,white flint
723,yellow,flint,yellow flint
724,white,flint,white flint
725,yellow,flint,yellow flint
726,yellow,flint,yellow flint
727,white,flint,white flint
728,yellow,flint,yellow flint
729,yellow,flint,yellow flint
730,yellow,flint,yellow flint
731,yellow,sweet,yellow sweet
732,yellow,flint,yellow flint
733,,flint,yellow flint
734,yellow,flint,yellow flint
735,yellow,flint,yellow flint
736,white,flint,white flint
737,yellow,sweet,yellow sweet
738,yellow,sweet,yellow sweet
739,yellow,sweet,yellow sweet
740,yellow,flint,yellow flint
741,yellow,flint,yellow flint
742,yellow,sweet,yellow sweet
743,yellow,sweet,yellow sweet
744,yellow,flint,yellow flint
745,yellow,flint,yellow flint
746,yellow,flint,yellow flint
747,yellow,sweet,yellow sweet
748,yellow,flint,yellow flint
749,white,sweet,white sweet
750,yellow,sweet,yellow sweet
751,,sweet,yellow sweet
752,yellow,flint,yellow flint
753,yellow,flint,yellow flint
754,yellow,flint,yellow flint
755,white,sweet,white sweet
756,yellow,flint,yellow flint
757,yellow,sweet,yellow sweet
758,white,flint,white flint
759,yellow,flint,yellow flint
760,yellow,sweet,yellow sweet
761,yellow,flint,yellow flint
762,yellow,flint,yellow flint
763,yellow,flint,yellow flint
764,yellow,flint,yellow flint
765,yellow,flint,yellow flint
766,yellow,sweet,yellow sweet
767,yellow,sweet,yellow sweet
768,white,flint,white flint
769,yellow,flint,yellow flint
770,yellow,flint,yellow flint
771,yellow,flint,yellow flint
772,,sweet,yellow sweet
773,white,sweet,white sweet
774,yellow,sweet,yellow sweet
775,yellow,flint,yellow flint
776,yellow,flint,yellow flint
777,yellow,flint,yellow flint
778,yellow,flint,yellow flint
779,yellow,flint,yellow flint
780,yellow,flint,yellow flint
781,yellow,flint,yellow flint
782,white,flint,white flint
783,yellow,sweet,yellow sweet
784,yellow,flint,yellow flint
785,yellow,flint,yellow flint
786,yellow,flint,yellow flint
787,yellow,flint,yellow flint
788,yellow,flint,yellow flint
789,yellow,sweet,yellow sweet
790,yellow,flint,yellow flint
791,yellow,flint,yellow flint
792,yellow,sweet,yellow sweet
793,yellow,flint,yellow flint
794,yellow,sweet,yellow sweet
795,yellow,flint,yellow flint
796,yellow,flint,yellow flint
797,yellow,flint,yellow flint
798,yellow,sweet,yellow sweet
799,yellow,flint,yellow flint
800,yellow,flint,yellow flint
