,Trial,Block,FactorA,FactorB,PlotNum,FieldRow,FieldCol,yO,y1,y2,y3
61,1,2,A4,B5,201,6,1,0.782266798,2.117733202,1.731761847,.
22,1,2,A3,B5,202,6,2,2.054209508,2.054209508,1.044310933,1.044310933
62,1,2,A3,B5,202,6,2,2.054209508,1.345790492,2.155689067,.
23,1,2,A3,B2,203,6,3,0.034412357,0.034412357,-0.376459845,-0.376459845
63,1,2,A3,B2,203,6,3,0.034412357,2.965587643,3.276459845,.
24,1,2,A3,B3,204,6,4,-0.787332048,-0.787332048,-0.216156739,-0.216156739
64,1,2,A3,B3,204,6,4,-0.787332048,3.587332048,3.116156739,.
25,1,2,A1,B2,205,7,1,0.35501857,0.35501857,0.584029931,0.584029931
65,1,2,A1,B2,205,7,1,0.35501857,2.64498143,1.915970069,.
26,1,2,A3,B1,206,7,2,0.813041291,0.813041291,0.455289916,0.455289916
66,1,2,A3,B1,206,7,2,0.813041291,1.186958709,1.494710084,.
27,1,2,A1,B4,207,7,3,0.097538541,0.097538541,0.449976929,0.449976929
67,1,2,A1,B4,207,7,3,0.097538541,1.802461459,1.750023071,.
28,1,2,A3,B4,208,7,4,0.802415317,0.802415317,-0.290077948,-0.290077948
68,1,2,A3,B4,208,7,4,0.802415317,1.697584683,3.090077948,.
29,1,2,A1,B1,209,8,1,-1.382571214,-1.382571214,-0.744225989,-0.744225989
69,1,2,A1,B1,209,8,1,-1.382571214,4.482571214,4.294225989,.
30,1,2,A1,B3,210,8,2,-0.105880764,-0.105880764,-0.268146565,-0.268146565
70,1,2,A1,B3,210,8,2,-0.105880764,4.105880764,4.018146565,.
31,1,2,A4,B2,211,8,3,-0.430412365,-0.430412365,-0.084827226,-0.084827226
71,1,2,A4,B2,211,8,3,-0.430412365,3.930412365,3.134827226,.
32,1,2,A4,B4,212,8,4,0.260757914,0.260757914,0.29796856,0.29796856
72,1,2,A4,B4,212,8,4,0.260757914,2.339242086,2.50203144,.
33,1,2,A2,B2,213,9,1,0.335179206,0.335179206,0.250730085,0.250730085
73,1,2,A2,B2,213,9,1,0.335179206,2.664820794,2.749269915,.
34,1,2,A2,B4,214,9,2,0.166280964,0.166280964,-0.078126702,-0.078126702
74,1,2,A2,B4,214,9,2,0.166280964,2.833719036,2.878126702,.
35,1,2,A2,B1,215,9,3,-0.322534367,-0.322534367,0.128186787,0.128186787
75,1,2,A2,B1,215,9,3,-0.322534367,2.922534367,2.671813213,.
36,1,2,A1,B5,216,9,4,0.578907942,0.578907942,-0.847819111,-0.847819111
76,1,2,A1,B5,216,9,4,0.578907942,2.421092058,3.897819111,.
37,1,2,A4,B3,217,10,1,-2.274546164,-2.274546164,-1.367366541,-1.367366541
77,1,2,A4,B3,217,10,1,-2.274546164,5.374546164,4.117366541,.
38,1,2,A2,B3,218,10,2,-0.460186919,-0.460186919,-0.637332603,-0.637332603
78,1,2,A2,B3,218,10,2,-0.460186919,2.860186919,3.387332603,.
39,1,2,A4,B1,219,10,3,-0.814478287,-0.814478287,-0.44682979,-0.44682979
79,1,2,A4,B1,219,10,3,-0.814478287,3.914478287,3.34682979,.
40,1,2,A2,B5,220,10,4,-0.079181293,-0.079181293,0.767601976,0.767601976
80,1,2,A2,B5,220,10,4,-0.079181293,2.779181293,2.779181293,.
