Statistical Tool for Agricultural Research (STAR)
Fri Sep 13 13:46:33 2013


POINTS
            MDS1        MDS2
76   5.20111e-03 -0.01472788
77   6.05910e-03 -0.01587692
78  -3.67886e-03 -0.02030374
79  -8.01208e-03 -0.01383983
80  -5.77858e-03 -0.01252090
81  -1.12981e-02 -0.00843931
82   2.41755e-03 -0.02818781
83  -2.14882e-03 -0.00547636
84  -3.58217e-03 -0.01673624
85  -3.14491e-03 -0.01505955
86  -5.69027e-03 -0.01633764
87  -5.70260e-03 -0.00981895
88  -7.86376e-03 -0.01630802
89  -3.26662e-03 -0.01460734
90  -4.89885e-04 -0.01434280
91  -1.11645e-02 -0.02120117
92   3.80393e-03 -0.01618231
93   3.51888e-03 -0.01389998
94  -6.95081e-03 -0.00606045
95  -4.76825e-03 -0.01318225
96  -6.47518e-03 -0.01713736
97  -1.24101e-03 -0.02313749
98  -6.42312e-03 -0.02198150
99  -2.92406e-03  0.00723308
100 -1.10528e-02  0.00998922
101 -5.43846e-03  0.00843056
102 -6.21179e-03  0.00547778
103 -4.84617e-03  0.00861475
104 -5.96461e-03  0.00979746
105 -9.73772e-03  0.01499303
106 -5.84530e-03  0.00513600
107 -5.85303e-03  0.01286368
108 -6.26093e-03  0.01134945
109 -7.97933e-03  0.00908459
110 -8.75832e-03  0.01063893
111 -5.33606e-03  0.01165258
112 -9.59156e-03  0.00600512
113 -6.41058e-03  0.00766587
114 -9.24034e-03  0.00851828
115 -8.32487e-03  0.00852087
116 -6.84649e-03  0.00917661
117 -7.82481e-03  0.00511464
118 -7.97441e-03  0.00903880
119 -5.38572e-03  0.00966179
120 -8.29074e-03  0.00766988
121 -9.60595e-03  0.00871930
122 -1.21875e-02  0.00640795
123 -1.21288e-02  0.01246365
124 -1.22215e-02  0.00868427
125 -1.12492e-02  0.01886256
126 -1.01542e-02  0.01963499
127 -7.35524e-03  0.01394384
128 -1.31555e-02  0.01652424
129 -7.72941e-03  0.01026827
130 -1.13510e-02  0.01963623
131 -7.59506e-03  0.01325715
132 -1.25515e-02  0.01820846
133 -1.48927e-02  0.02046101
134 -7.01895e-03  0.01120883
135 -7.90116e-03  0.00697502
136 -1.06353e-02  0.00435533
137 -1.21517e-02  0.00875062
138 -4.69784e-03  0.00981123
139 -6.56280e-03  0.00890894
140 -1.19357e-02  0.01306392
141 -7.29156e-04  0.00456501
142 -3.08949e-02  0.00323157
143 -8.59013e-03  0.00569000
144 -7.11133e-03  0.00644312
145 -8.88003e-03  0.00648221
146 -9.35612e-03  0.01871971
147 -6.93639e-03  0.00827589
148 -1.92607e-02  0.01415568
149 -1.14452e-02  0.00693879
150 -7.42703e-03  0.00681961
151 -4.00374e-03  0.01616173
152 -7.37903e-03  0.01848016
153  7.85729e-02 -0.02198476

STRESS STATISTIC:        
0.0891 

$Results

Call:
metaMDS(comm = data[, vars], distance = tolower(distance), k = as.numeric(dimnum),      model = "local") 

local Multidimensional Scaling using monoMDS

Data:     wisconsin(sqrt(data[, vars])) 
Distance: euclidean 

Dimensions: 2 
Stress:     0.0891495 
Stress type 1, weak ties
No convergent solutions - best solution after 20 tries
Scaling: centring, PC rotation 
Species: expanded scores based on ‘wisconsin(sqrt(data[, vars]))’ 


$Method
[1] "Nonmetric"

