SITE,FIELD_NO,Number,N,P,K,IU,HU,CEM,DSCUM,VAR,DH,WH,WM,LF,RT,BS,SHB,NB,LB,BLB,WA,WB,Y
A,24,24,151.44,56.63,52.32,2,1,TPR,0,HYB1,4.28,2.09,20.62,79.34,0,0,0,0,0,9.55,21.23,100.31,10.26
A,25,25,113.72,36.43,42.5,1,1,TPR,0,HYB1,4.74,5.52,31.64,12.44,0,0,0,0,0,0,60.02,190.64,8.3
A,26,26,132.83,51.74,45.84,1,2,TPR,0,HYB1,2.48,0,4.62,18.9,14,0,14,0,0,15.28,66.36,93.33,9.19
A,27,27,111.23,41.77,44.02,1,0,TPR,0,HYB1,2.77,2.19,29.19,64.5,0,0,0,0,0,0,50.24,168.6,8.86
A,28,28,101.78,31.95,38.48,1,2,TPR,0,HYB1,3.83,0,3.76,5.37,0,0,0,0,0,0,60.19,174.66,8.33
A,29,29,113.05,46.5,50.13,1,2,TPR,0,HYB1,2.74,2.58,48.62,11.2,0,0,0,0,0,0,53.68,170.37,8.28
A,30,30,96.86,26.6,24.21,0,0,TPR,0,HYB1,4.61,0,11.52,81.97,0,0,0,0,0,0,55.43,183.19,8.08
A,31,31,113.96,52.35,48.06,1,2,TPR,0,HYB1,2.55,2.5,21.98,62.19,0,0,0,0,0,18.71,37.05,189.98,8.63
A,32,32,111.97,39.87,42.83,1,2,TPR,0,HYB1,3.65,0,14.62,72.7,0,0,0,0,0,0,70.81,286.99,8.31
A,33,33,120.46,68.82,46.89,2,2,TPR,0,HYB1,0,0,14.71,86.5,0,0,0,0,0,11.4,17.17,153.9,8.8
A,34,34,106.85,42.99,40.19,1,2,TPR,0,HYB1,3.58,2.69,23.21,31.11,0,0,0,0,0,0,67.63,244.7,8.91
A,35,35,111.88,50.07,48.56,1,1,TPR,0,HYB1,4.23,3.73,10.87,82.22,0,0,0,0,0,0,68.33,158.95,8.36
A,36,36,141.62,51.48,66.04,1,1,TPR,0,HYB1,3.2,1.85,16.31,73.84,13.04,0,13.04,0,0,0,66.44,260.22,8.94
A,37,37,111.27,41.72,40.48,0,0,TPR,0,HYB1,6.01,3.67,58.87,51.1,39.96,0,39.96,0,0,0,48.61,293.15,5.21
A,38,38,113.04,32.62,32.42,1,1,TPR,0,HYB1,3.48,2.85,29.03,30,8.64,0,8.64,0,0,0,59.61,189.82,7.02
A,39,39,84.78,11.33,13.42,0,0,TPR,0,HYB1,5.58,3.49,59.88,31.41,0,0,0,0,0,0,62.39,170.76,5.72
A,40,40,70,5.27,9,0,1,DSR,2,MV2,0,0,0,0,0,595.5,0,50,311.2,0,129,820,1.75
B,41,1,90.74,25.44,25.74,2,0,TPR,0,HYB2,4,8,584,839,0,0,15.38,21.4,236,1404,27.2,51.04,6.39
B,42,2,97.98,26.51,27.46,2,0,TPR,0,HYB2,3.45,0,423,526,0,0,14.29,10.71,83,836,26.6,57.62,8.21
B,43,3,90.29,20.83,25.86,3,0,TPR,0,HYB2,6.25,0,791,578,6.25,0,5.88,65.88,256,852,21.42,54.41,7.66
B,44,4,93.44,24.17,29.7,2,1,TPR,0,HYB2,0,0,314,607,0,0,18.75,12.5,284,778,20.91,49.17,8.62
B,45,5,99.59,25.64,20.79,2,0,TPR,0,HYB2,0,0,717,962,0,0,15.38,27.69,256,1013,27.71,49.2,6.41
B,46,6,97.46,26.25,22.91,3,0,TPR,0,HYB2,9.09,18.18,546,1022,0,0,8.33,0,238,1653,27.98,47.74,6.19
B,47,7,95.96,26.85,21.72,3,0,TPR,0,HYB2,0,9.09,539,1168,0,0,25,15,287,1532,29.57,504,5.89
B,48,8,90.2,20.94,25.16,1,0,TPR,0,HYB2,0,0,1112,980,0,0,20.83,12.5,210,716,28.82,46.37,8.69
B,49,9,89.17,29.14,21.92,1,0,TPR,0,HYB2,3.57,3.57,540,932,0,0,18.52,31.11,258,1637,23.5,47.21,6.16
B,50,10,92.73,22.16,27.63,0,0,TPR,0,HYB2,0,0,917,916,0,0,18.75,12.5,216,1802,27.2,56.5,6.1
B,51,11,93.98,22.36,12.88,0,0,TPR,0,HYB2,0,0,514,818,0,0,0,0,228,1553,10,59.41,6.19
B,52,12,98.34,9.35,19.62,0,0,TPR,0,HYB2,0,0,681,848,0,0,15.79,25.26,236,1002,17.95,47.62,6.67
B,53,13,98.99,21.03,24.67,0,0,TPR,0,HYB2,0,17.65,815,853,0,0,0,0,232,1287,29.71,48.45,6.88
B,54,14,95.99,22.62,26.85,3,0,TPR,0,HYB2,0,10.53,363,983,0,0,21.05,25.79,205,891,39.5,59.12,8.09
B,55,15,99.33,21.23,19.02,0,0,TPR,0,HYB2,0,18.75,106,1275,0,0,11.76,21.76,196,1876,24.75,55.71,5.44
B,56,16,90.75,32.48,45.63,2,1,TPR,0,HYB2,7.14,7.14,407,1063,14.29,0,16.67,36.67,452,1651,20.86,43.85,5.67
B,57,17,100.74,22.3,25.53,2,0,TPR,0,HYB2,0,7.69,301,923,0,0,20,14.29,165,1756,23.98,38.54,5.96
B,58,18,99.14,25.51,20.79,2,0,TPR,0,HYB2,0,0,352,1025,0,0,13.33,26.67,120,1077,21.64,62.61,6.34
B,59,19,120.96,57.32,35.39,2,2,TPR,0,HYB1,0,0,3.21,85,0,0,0,0,0,9.9,15.67,152.4,8.75
B,60,20,94.57,28.68,28.45,2,1,TPR,0,HYB2,21.05,0,572,878,5.26,0,30,15,87,1029,24.65,49.15,6.28
B,61,21,94.23,23.66,25.13,0,0,TPR,0,HYB2,0,0,918.5,917.5,0,0,20.25,34,217.5,1803.5,28.7,58,6.15
B,62,22,96.07,24.18,23.95,2,1,TPR,0,HYB2,22.55,0,573.5,879.5,6.76,0,30,16.5,88.5,1030.5,26.15,50.65,6.33
B,63,23,90.67,20.64,22.42,1,0,TPR,0,HYB2,5.07,5.07,540,933.5,0,0,20.02,32.61,259.5,1638.5,25,48.71,6.21
B,64,24,121.91,24.51,26.29,2,1,TPR,0,HYB2,24.58,9.19,619.5,999.5,9.19,0,13.5,15.79,95.5,1518.5,28.92,59.71,6.03
B,65,25,91.7,22.44,36.66,1,0,TPR,0,HYB2,0,0,1113.5,980,0,0,22.33,14,210,717.5,30.32,47.87,8.74
B,66,26,100.64,26.01,22.29,2,0,TPR,0,HYB2,0,0,353.5,1026.5,0,0,14.83,8.17,120,1078.5,23.14,64.11,6.39
B,67,27,97.46,28.35,23.22,3,0,TPR,0,HYB2,0,10.59,540.5,1169.5,0,0,26.5,16.5,288.5,1533.5,31.07,53.04,5.94
B,68,28,104.06,14.45,17.47,2,3,DSR,1,MV1,0,0,0,0,0,12.41,0,0,0,0,145.65,940.73,3.4
B,69,29,98.96,37.75,53.41,3,0,TPR,0,HYB2,10.59,19.68,547.5,1023.5,0,0,9.83,0,239.5,1654.5,29.48,49.24,6.24
B,70,30,92.25,43.98,57.13,2,1,TPR,0,HYB2,8.64,8.64,408.5,1064.5,15.79,0,18.17,38.17,453.5,1652.5,22.36,45.35,5.72
B,71,31,104.06,14.45,17.47,2,3,DSR,1,MV1,0,0,0,0,0,12.41,0,0,0,0,145.65,940.73,3.4
B,72,32,90.83,22.73,30.52,0,0,TPR,0,HYB2,0,20.25,107.5,1276.5,0,0,13.26,13.26,197.5,1877.5,26.25,57.21,5.49
B,73,33,62.35,1.25,1.25,0,0,DSR,2,MV1,0,0,50,0,0,730.5,4.17,55.56,345,0,92.88,937.61,1.6
B,74,34,97.49,21.12,38.35,3,0,TPR,0,HYB2,0,12.03,364.5,984.5,0,0,22.55,27.29,206.5,892.5,41,60.62,8.14
B,75,35,92.79,22.33,27.36,3,0,TPR,0,HYB2,7.75,0,792.5,579.5,7.75,0,7.38,27.38,257.5,853.5,22.92,55.91,7.71
B,76,36,67.67,6.71,6.71,0,1,DSR,2,MV2,0,0,49.52,0,0,91.82,0,50.35,299.32,0,25,90.12,1.89
B,77,37,98.48,34.01,48.96,2,0,TPR,0,HYB2,4.95,0,424.5,527.5,0,0,15.79,12.21,84.5,837.5,28.1,59.12,8.26
B,78,38,94.84,20.85,31.12,0,0,TPR,0,HYB2,0,0,682.5,849.5,0,0,17.29,26.76,237.5,1003.5,19.45,49.12,6.72
B,79,39,92.24,22.94,27.24,2,0,TPR,0,HYB2,5.5,9.5,585.5,840.5,0,0,16.88,13.04,237.5,1405.5,28.7,52.54,6.44
B,80,40,95.48,21.86,24.38,0,0,TPR,0,HYB2,0,0,515.5,819.5,0,0,0,0,229.5,1554.5,10,60.91,6.24
C,81,1,110.16,39.92,41.7,1,2,TPR,0,HYB1,1.11,0.76,19.2,53.89,4,0,4,0,0,0,19.03,78.57,8.3
C,82,2,140.94,55.13,50.82,2,1,TPR,0,HYB1,2.78,0.59,19.12,57.84,0,0,0,0,0,8.05,19.73,98.81,10.21
C,83,3,131.33,50.24,44.34,1,2,TPR,0,HYB1,0.98,0,3.12,17.4,12.5,0,12.5,0,0,13.78,64.86,91.83,9.14
C,84,4,70.77,7.09,0,0,0,TPR,2,MV1,0,0,142.67,57.67,0,80.65,6.76,90,230,0,0,0,3.85
C,85,5,105.36,25.1,22.71,0,0,TPR,0,HYB1,4,8,584,839,0,0,15.38,15.44,86,200,12,49,6.39
C,86,6,115.35,41.49,38.69,1,2,TPR,0,HYB1,2.08,1.19,21.71,29.61,0,0,0,0,0,0,66.13,243.2,8.86
C,87,7,140.12,49.98,64.54,1,1,TPR,0,HYB1,1.7,0.35,14.81,72.34,10.4,0,10.4,0,0,0,64.94,258.72,8.89
C,88,8,104,31.12,30.92,1,1,TPR,0,HYB1,1.98,1.35,27.53,0,7.14,0,7.14,0,0,0,58.11,188.32,6.97
C,89,9,120.97,42.24,40.78,1,1,TPR,0,HYB1,2.3,1.33,17.27,83.86,0,0,0,0,0,0,53.63,200.05,7.08
C,90,10,109.74,38.56,43.92,1,1,TPR,0,HYB1,1.76,1.05,13.56,25.62,12.5,0,12.5,0,0,0,57.41,180.91,8.35
C,91,11,90.74,30.44,45.74,2,0,TPR,0,HYB2,4,8,584,839,0,0,15.38,21.4,236,1404,27.2,51.04,6.39
C,92,12,97.98,32.51,47.46,2,0,TPR,0,HYB2,3.45,0,423,526,0,0,14.29,10.71,83,836,26.6,57.62,8.21
C,93,13,90.29,30.83,45.86,3,0,TPR,0,HYB2,6.25,0,791,578,6.25,0,5.88,65.88,256,852,21.42,54.41,7.66
C,94,14,93.44,34.17,49.7,2,1,TPR,0,HYB2,0,0,314,607,0,0,18.75,12.5,284,778,20.91,49.17,8.62
C,95,15,99.59,35.64,50.79,2,0,TPR,0,HYB2,0,0,717,962,0,0,15.38,27.69,256,1013,27.71,49.2,6.41
C,96,16,97.46,36.25,51.91,3,0,TPR,0,HYB2,9.09,18.18,546,1022,0,0,8.33,0,238,1653,27.98,47.74,6.19
C,97,17,95.96,36.85,51.72,3,0,TPR,0,HYB2,0,9.09,539,1168,0,0,25,15,287,1532,29.57,504,5.89
C,98,18,90.2,20.94,35.16,1,0,TPR,0,HYB2,0,0,1112,980,0,0,20.83,12.5,210,716,28.82,46.37,8.69
C,99,19,89.17,39.14,40.92,1,0,TPR,0,HYB2,3.57,3.57,540,932,0,0,18.52,31.11,258,1637,23.5,47.21,6.16
C,100,20,92.73,32.16,47.63,0,0,TPR,0,HYB2,0,0,917,916,0,0,18.75,12.5,216,1802,27.2,56.5,6.1
C,101,21,88.77,15.04,15.04,1,2,DSR,1,MV1,0,0,0,0,0,22.5,3.85,0,0,0,200,1690,3.05
C,102,22,84.63,14.87,14.87,1,2,DSR,2,MV1,0,0,0,0,0,3.5,0,0,0,0,99.17,730.83,3.5
C,103,23,89.02,17.67,10.67,0,1,DSR,2,MV1,0,0,0,0,0,13.15,17.65,0,0,0,148.14,848.14,3.85
C,104,24,88.98,18.83,18.83,1,3,DSR,1,MV1,0,0,0,0,0,3.5,6.25,0,0,0,60.33,372.53,4.65
C,105,25,84.75,10,10,2,3,DSR,2,MV1,0,0,0,0,0,18.13,0,0,0,0,60.74,369.01,4.6
C,106,26,90.94,13.26,13.26,0,2,DSR,2,MV1,0,0,0,0,0,21.15,0,0,0,0,243.74,1973.34,2.6
C,107,27,86.48,15.1,7.12,0,2,DSR,2,MV1,0,0,0,0,0,16,10,0,0,0,243.97,1606.78,2.95
C,108,28,91.35,13.27,13.27,0,1,DSR,2,MV1,0,0,0,0,0,67.64,4.17,0,0,0,249.88,1897.61,2.35
C,109,29,83.14,10,10,1,1,DSR,2,MV1,0,0,0,0,0,33.31,0,0,0,0,143.46,1479.74,3.35
C,110,30,96.61,21.25,11.25,2,3,DSR,1,MV1,0,0,0,0,0,11.67,12.5,0,0,0,32.49,380.76,4.85
C,111,31,69.77,2.04,2.04,1,1,DSR,3,MV2,0,0,149.73,24.73,0,597.1,3.57,33.33,201.63,0,49.17,229.17,2.75
C,112,32,65.63,1.87,1.87,1,1,DSR,3,MV2,0,0,121.98,56.98,0,102.15,11.76,35,202.15,0,98.14,111.86,3.1
C,113,33,70.02,4.67,7.67,0,0,DSR,3,MV2,0,0,0,0,0,71.23,6.25,33.33,185,0,10.33,587.47,3.9
C,114,34,69.98,5.83,5.83,1,2,DSR,2,MV2,0,0,0,0,0,87.13,0,29.41,187.13,0,10.74,590.99,3.85
C,115,35,75.75,7,7,2,1,DSR,4,MV2,0,0,203.32,98.32,0,790.15,0,68.42,300.15,0,93.74,413.34,1.85
C,116,36,51.94,0.26,10.26,0,1,DSR,3,MV2,0,0,0,0,0,720.1,0,71.43,350,0,93.97,646.78,2.2
C,117,37,67.48,12.1,4.12,0,2,DSR,4,MV2,0,0,0,0,0,730.5,4.17,55.56,345,0,92.88,937.61,1.6
C,118,38,62.35,0.27,0.27,0,0,DSR,3,MV2,0,0,153.27,88.27,0,422.31,0,33.33,222.31,0,93.46,519.74,2.6
C,119,39,69.27,5.59,0,0,0,DSR,3,MV2,0,0,61.44,0,0,547.71,0,30.8,200,0,45.7,85.6,3.2
C,120,40,66.77,4.78,6.47,0,4,DSR,4,MV2,0,0,0,0,0,100.32,0,47.62,300.32,0,134,828,1.7
D,121,1,88.77,15.04,15.04,1,2,DSR,1,MV1,0,0,0,0,0,22.5,3.85,0,0,0,200,1690,3.05
D,122,2,84.63,14.87,14.87,1,2,DSR,2,MV1,0,0,0,0,0,3.5,0,0,0,0,99.17,730.83,3.5
D,123,3,89.02,17.67,10.67,0,1,DSR,2,MV1,0,0,0,0,0,13.15,17.65,0,0,0,148.14,848.14,3.85
D,124,4,88.98,18.83,18.83,1,3,DSR,1,MV1,0,0,0,0,0,3.5,6.25,0,0,0,60.33,372.53,4.65
D,125,5,84.75,10,10,2,3,DSR,2,MV1,0,0,0,0,0,18.13,0,0,0,0,60.74,369.01,4.6
D,126,6,90.94,13.26,13.26,0,2,DSR,2,MV1,0,0,0,0,0,21.15,0,0,0,0,243.74,1973.34,2.6
D,127,7,86.48,15.1,7.12,0,2,DSR,2,MV1,0,0,0,0,0,16,10,0,0,0,243.97,1606.78,2.95
D,128,8,91.35,13.27,13.27,0,1,DSR,2,MV1,0,0,0,0,0,67.64,4.17,0,0,0,249.88,1897.61,2.35
D,129,9,83.14,10,10,1,1,DSR,2,MV1,0,0,0,0,0,33.31,0,0,0,0,143.46,1479.74,3.35
D,130,10,96.61,16.25,11.25,2,3,DSR,1,MV1,0,0,0,0,0,11.67,12.5,0,0,0,32.49,380.76,4.85
D,131,11,87.64,14.95,13.46,1,2,DSR,1,MV1,0,0,0,0,0,18.66,0,0,0,0,47.83,431.45,3.35
D,132,12,85.87,20.25,33.46,2,3,DSR,1,MV1,0,0,0,0,0,9.74,5.26,0,0,0,44.44,478.33,5.05
D,133,13,99.97,42.24,40.78,1,1,TPR,0,HYB1,2.3,1.33,17.27,83.86,0,0,0,0,0,0,53.63,200.05,7.08
D,134,14,88.27,18.59,13.47,0,3,DSR,2,MV1,0,0,0,0,0,11.15,5.26,0,0,0,140.39,1610.39,2.55
D,135,15,82.35,10.27,10.27,0,0,DSR,2,MV1,0,0,0,0,0,730.5,4.17,55.56,34.5,0,92.88,937.61,1.6
D,136,16,85.17,8.21,8.21,0,2,DSR,1,MV1,0,0,0,0,0,11.32,0,0,0,0,184,1788,2.45
D,137,17,102.56,12.95,15.97,2,3,DSR,1,MV1,0,0,0,0,0,10.91,0,0,0,0,144.15,939.23,3.35
D,138,18,81.16,13.32,15,1,3,DSR,2,MV1,0,0,0,0,0,11.84,0,0,0,0,244.15,1939.36,2.75
D,139,19,86.19,17.29,9.45,1,1,DSR,2,MV1,0,0,0,0,0,28.75,4,0,0,0,1407,1356.67,3.65
D,140,20,88.33,13.5,23.5,1,2,DSR,2,MV1,0,0,0,0,0,17.95,15,0,0,0,149.86,1372,3.45
D,141,21,80.27,16.54,16.54,1,2,DSR,1,MV1,0,0,0,0,0,24,5.35,0,0,0,200,1690,3.1
D,142,22,86.13,16.37,16.37,1,2,DSR,2,MV1,0,0,0,0,0,5,0,0,0,0,100.67,732.33,3.55
D,143,23,80.52,19.17,12.17,0,1,DSR,2,MV1,0,0,0,0,0,14.65,19.15,0,0,0,149.64,849.64,3.9
D,144,24,80.48,20.33,20.33,1,3,DSR,1,MV1,0,0,0,0,0,5,7.75,0,0,0,61.83,374.03,4.7
D,145,25,86.25,12,12,2,3,DSR,2,MV1,0,0,0,0,0,19.63,0,0,0,0,62.24,370.51,4.65
D,146,26,92.44,14.76,14.76,0,2,DSR,2,MV1,0,0,0,0,0,22.65,0,0,0,0,145.24,1974.84,2.65
D,147,27,87.98,16.6,8.62,0,2,DSR,2,MV1,0,0,0,0,0,17.5,10,0,0,0,145.47,1608.28,3
D,148,28,82.85,14.77,14.77,0,1,DSR,2,MV1,0,0,0,0,0,69.14,5.67,0,0,0,144.38,1899.11,2.4
D,149,29,70.77,7.09,0,0,0,DSR,2,MV2,0,0,62.94,0,0,549.21,0,33.08,200,0,27.2,87.1,3.25
D,150,30,98.11,22.75,12.75,2,3,DSR,1,MV1,0,0,0,0,0,13.17,14,0,0,0,33.99,382.26,4.9
D,151,31,89.14,6.45,14.96,1,2,DSR,1,MV1,0,0,0,0,0,20.16,0,0,0,0,49.33,432.95,3.4
D,152,32,167.37,21.75,34.96,2,3,DSR,1,MV1,0,0,0,0,0,11.24,6.76,0,0,0,45.94,479.83,5.1
D,153,33,85.96,16.85,16.85,3,0,TPR,0,HYB2,0,9.09,539,1168,0,0,25,15,287,1532,29.57,504,5.89
D,154,34,89.77,20.09,14.97,0,1,DSR,2,MV1,0,0,0,0,0,12.65,6.76,0,0,0,141.89,1611.89,2.6
D,155,35,87.27,19.28,16.97,0,2,DSR,2,MV1,0,0,89.24,24.24,0,0,6.92,36.4,212.57,0.25,71.57,731.57,2.55
D,156,36,104.06,14.45,17.47,2,3,DSR,1,MV1,0,0,0,0,0,12.41,0,0,0,0,145.65,940.73,3.4
D,157,37,82.66,14.82,16.5,1,3,DSR,2,MV1,0,0,0,0,0,13.34,0,0,0,0,145.65,1940.86,2.8
D,158,38,88.09,16.54,38.93,1,2,TPR,1,MV1,0,0,64.51,0,0,0,0,34.65,201.57,0,48.77,88.67,3.43
D,159,39,87.69,18.79,10.95,1,1,DSR,2,MV1,0,0,0,0,0,3.75,0,0.25,0,0,99.42,731.08,3.63
D,160,40,67.48,5.1,4.12,0,2,DSR,4,MV2,0,0,0,0,0,730.5,4.17,55.56,345,0,92.88,937.61,1.6
E,161,1,68.38,22.34,22.48,1,0,TPR,2,MV2,0,0,86.17,21.17,0,500.5,3.85,33.33,209.5,0,50,730,2.3
E,162,2,69.77,2.04,2.04,1,1,DSR,3,MV2,0,0,149.73,24.73,0,597.1,3.57,33.33,201.63,0,49.17,229.17,2.75
E,163,3,65.63,1.87,1.87,1,1,DSR,3,MV2,0,0,121.98,56.98,0,102.15,11.76,35,202.15,0,98.14,111.86,3.1
E,164,4,70.02,4.67,7.67,0,0,DSR,3,MV2,0,0,0,0,0,71.23,6.25,33.33,185,0,10.33,587.47,3.9
E,165,5,69.98,5.83,5.83,1,2,DSR,2,MV2,0,0,0,0,0,87.13,0,29.41,187.13,0,10.74,590.99,3.85
E,166,6,75.75,7,7,2,1,DSR,4,MV2,0,0,203.32,98.32,0,790.15,0,68.42,300.15,0,93.74,413.34,1.85
E,167,7,51.94,0.26,10.26,0,1,DSR,3,MV2,0,0,0,0,0,720.1,0,71.43,350,0,93.97,646.78,2.2
E,168,8,67.48,12.1,4.12,0,2,DSR,4,MV2,0,0,0,0,0,730.5,4.17,55.56,345,0,92.88,937.61,1.6
E,169,9,62.35,0.27,0.27,0,0,DSR,3,MV2,0,0,153.27,88.27,0,422.31,0,33.33,222.31,0,93.46,519.74,2.6
E,170,10,82.73,32.16,47.63,0,0,TPR,0,HYB2,0,0,917,916,0,0,18.75,12.5,216,1802,27.2,56.5,6.1
E,171,11,87.61,8.25,8.25,2,3,DSR,1,MV2,0,0,0,0,0,107.66,0,37.5,207.66,0,102.17,528.55,2.6
E,172,12,68.64,1.95,10.46,1,1,DSR,2,MV1,0,0,0,0,0,90,5.26,23.33,200,0,105.56,481.67,4.3
E,173,13,74.78,0,7.5,2,4,DSR,1,MV2,0,0,141.17,76.17,0,799.15,5.26,52.63,330,0,90.39,350.39,1.8
E,174,14,69.27,5.59,0,0,0,DSR,3,MV2,0,0,61.44,0,0,547.71,0,30.8,200,0,45.7,85.6,3.2
E,175,15,66.77,4.78,6.47,0,4,DSR,4,MV2,0,0,0,0,0,100.32,0,47.62,300.32,0,134,828,1.7
E,176,16,66.17,5.21,5.21,0,1,DSR,3,MV2,0,0,0,0,0,600,0,34.78,220,0,29.1,180.77,2.6
E,177,17,93.56,9.95,0,2,3,DSR,3,MV2,0,0,168.86,43.86,0,623.84,0,45.83,330.84,0,204.15,979.36,2
E,178,18,62.16,6,2,1,0,DSR,3,MV2,0,0,0,25.12,0,617.75,5.88,31.25,217.75,0,97,396.67,2.9
E,179,19,77.19,7.29,6.45,1,0,DSR,3,MV2,0,0,189.57,124.57,0,606.95,10.4,33.33,206.95,0,0,412,2.7
E,180,20,69.33,3.32,15,1,3,DSR,3,MV2,0,0,0,0,0,92.17,14,29.36,202.17,0,91.52,580.74,4.15
E,181,21,89.11,9.75,9.75,2,3,DSR,1,MV2,0,0,154.77,89.77,0,423.81,0,34.83,223.81,0,94.96,521.24,2.65
E,182,22,65.64,10,10,1,0,DSR,3,MV2,0,0,0,0,0,732,5.67,57.06,346.5,0,94.38,939.11,1.65
E,183,23,63.85,1.77,1.77,0,0,DSR,2,MV2,0,0,0,0,0,721.6,0,72.93,350,0,95.47,648.28,2.25
E,184,24,68.98,13.6,5.62,0,2,DSR,3,MV2,0,0,204.82,99.82,0,791.65,0,69.92,301.65,0,95.24,414.84,1.9
E,185,25,53.44,1.76,11.76,0,1,DSR,2,MV2,0,0,0,0,0,600,0,36.28,220,0,30.6,182.27,2.65
E,186,26,95.06,11.45,0,2,3,DSR,2,MV2,0,0,170.36,45.36,0,625.34,0,47.33,332.34,0,205.65,980.86,2.05
E,187,27,63.66,7.5,3.5,1,0,DSR,2,MV2,0,0,0,26.62,0,619.25,7.38,32.75,219.25,0,93.07,398.17,2.95
E,188,28,78.69,8.79,7.95,1,0,DSR,2,MV2,0,0,191.07,126.07,0,608.45,13.04,34.83,208.45,0,40.57,413.5,2.75
E,189,29,68.38,22.34,22.48,1,0,TPR,2,MV2,0,0,86.17,21.17,0,500.5,3.85,33.33,209.5,0,50,730,2.3
E,190,30,82,12.05,10.3,0,0,TPR,0,HYB1,6.01,3.67,58.87,51.1,39.96,0,39.96,0,0,0,48.61,293.15,5.21
E,191,31,77.25,8.5,8.5,2,1,DSR,2,MV2,0,0,0,0,0,72.73,7.75,84.83,186.5,0,71.83,588.97,3.95
E,192,32,74.78,0,7.5,2,1,DSR,4,MV2,0,0,139.17,77.19,0,801.19,6.37,53.36,327,0,89.4,349.39,1.81
E,193,33,90.67,40.64,42.42,1,0,TPR,0,HYB1,0,0,151.23,26.23,0,598.6,5.07,34.83,203.13,0,50.67,230.67,2.8
E,194,34,67.13,3.37,3.37,1,1,DSR,2,MV2,0,0,87.67,22.67,0,502,5.35,34.83,211,0,50,730,2.35
E,195,35,72.44,4.76,14.76,0,2,DSR,2,MV1,0,0,0,0,0,22.65,0,0,0,0,145.24,1974.84,2.65
