Geno,T264,T264d,T264sd,T264b,T264b2,T264b3,T264o,T264o2,T264o3,D10M44,D1M3,D1M75,D1M215,D1M309,D1M218,D1M451,D1M504,D1M113,D1M355,D1M291,D1M209,D1M155,D2M365,D2M37,D2M396,D2M493,D2M226,D2M148,D3M265,D3M51,D3M106,D3M257,D3M147,D3M19,D4M2,D4M178,D4M187,D4M251,D5M148,D5M232,D5M257,D5M83,D5M307,D5M357,D5M205,D5M398,D5M91,D5M338,D5M188,D5M29,D5M168,D6M223,D6M188,D6M284,D6M39,D6M254,D6M194,D6M290,D6M25,D6M339,D6M59_,D6M201,D6M15,D6M294,D7M246,D7M145,D7M62,D7M126,D7M105,D7M259,D8M94,D8M339,D8M178,D8M242,D8M213,D8M156,D9M247,D9M328,D9M106,D9M269,D9M346,D9M55,D9M18,D10M298,D10M294,D10M42_,D10M10,D10M233,D11M78,D11M20,D11M242,D11M356,D11M327,D11M333,D12M105,D12M46,D12M34,D12M5,D12M99,D12M150,D13M59,D13M88,D13M21,D13M39,D13M167,D13M99,D13M233,D13M106,D13M147,D13M226,D13M290,D13M151,D14M14,D14M115,D14M265,D14M266,D15M226,D15M100,D15M209,D15M144,D15M68,D15M239,D15M241,D15M34,D16M154,D16M4,D16M139,D16M86,D17M260,D17M66,D17M88,D17M129,D18M94,D18M58,D18M106,D18M186,D19M68,D19M117,D19M65,D19M10
G009,90.75,0.9075,-0.809901655,1,2,A,1,3,A,A,A,H,B,B,B,H,H,H,H,H,-,H,A,H,H,H,H,B,A,H,H,A,A,A,H,H,H,B,H,H,H,H,A,A,A,-,A,A,A,-,H,H,H,H,H,B,B,B,H,H,H,H,H,H,B,B,B,B,B,H,B,B,-,B,B,A,H,H,H,A,A,A,A,H,B,B,B,B,B,B,H,H,H,H,A,A,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,H,A,A,A,A,A,A,A,H,B,B,B,A,A,H,H,B,B,-,B,H,H,H,A
G010,76.167,0.76167,-0.997133673,1,2,A,1,3,A,B,B,H,H,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,A,H,H,H,H,A,B,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,A,A,A,H,H,B,B,B,H,H,H,B,B,B,B,B,H,A,A,H,H,H,H,A,H,H,H,H,B,A,-,A,A,A,A,C,H,H,H,H,H,H,H,H,H,H,H,A,H,B,H,H,H,H,H,H,H,H,H,B,B,B,H,A,A,A,A,A,A,A,A,H,B,B,C
G011,104.083,1.04083,-0.638718462,1,2,A,2,2,B,A,H,H,H,H,H,H,H,H,H,H,-,H,A,A,B,B,B,B,H,A,A,H,H,H,H,H,H,B,H,H,H,H,H,H,H,-,H,H,H,B,B,H,H,H,H,H,H,A,A,A,A,A,A,A,H,A,H,H,H,-,A,A,A,A,A,A,H,H,B,B,B,B,B,A,H,H,H,A,A,H,H,H,H,H,A,A,A,H,H,B,C,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,A,A,A,A,A,A,A,H,B,B,B,H,H,B,B,B,A,A,A,A,B,H,H,C
G012,194.5,1.945,0.522150862,2,1,B,3,1,C,A,A,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,A,H,B,H,H,H,H,H,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,B,B,H,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,H,H,A,A,A,A,H,A,-,A,A,A,A,A,H,H,-,H,H,B,B,B,B,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,A,A,H,C
G013,75.917,0.75917,-1.000343438,1,2,A,1,3,A,A,A,H,H,H,H,B,B,B,B,B,-,B,H,H,H,H,H,H,A,A,A,A,A,A,H,H,H,A,H,H,H,H,H,H,H,-,H,H,H,-,H,B,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,A,H,H,H,A,A,A,A,A,H,A,A,A,-,A,H,C,H,A,A,A,A,A,A,A,H,H,H,B,B,B,B,A,A,A,A,A,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A
G014,75.833,0.75833,-1.001421919,1,2,A,1,3,A,H,H,A,A,A,A,A,A,A,A,A,A,A,H,B,B,H,-,H,B,H,H,H,B,H,H,H,H,H,B,B,B,B,B,B,B,-,B,B,B,-,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,-,H,H,A,A,A,A,A,H,B,B,B,B,B,B,H,B,H,H,H,H,B,H,H,H,H,A,H,H,H,H,H,B,C,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,B,B,B,B,B,B,B,H,A,A,A,B,B,B,B,A,A,-,H,H,B,-,C
G015,90.25,0.9025,-0.816321185,1,2,A,1,3,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,H,H,B,B,B,B,B,B,H,H,B,B,A,A,H,H,H,H,H,-,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,H,H,H,B,H,H,H,H,A,A,A,H,H,A,A,A,A,A,H,A,A,A,B,H,A,A,H,A,A,H,H,H,H,H,H,C,H,A,A,A,A,A,A,A,H,H,H,A,A,H,H,-,-,A,A,A,A,A,-,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,A
G016,103.667,1.03667,-0.644059511,1,2,A,2,2,B,H,H,B,B,B,B,H,H,H,H,H,A,A,B,B,H,H,A,A,H,-,H,H,H,H,B,B,B,B,H,B,B,B,B,B,B,-,B,B,B,B,H,H,H,H,H,H,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,B,H,H,B,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,B,A,A,H,-,A,A,A,A,A,A,A,B,B,B,H,B,B,H,H,B,-,-,B,B,B,B,C
G017,128.4,1.284,-0.326511031,1,2,A,2,2,B,A,A,A,A,A,A,H,H,H,H,H,H,H,H,B,H,-,H,H,B,-,A,A,A,A,B,H,H,H,H,H,H,H,B,B,B,-,B,B,B,B,B,H,H,B,B,B,B,B,B,B,H,H,H,H,A,H,H,H,B,H,B,B,B,B,B,H,B,B,H,H,H,A,A,A,A,A,A,H,A,A,A,A,A,B,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,B,B,B,A,A,A,H,H,A,A,A,A,A,A,-,B,H,H,A,A,A,A,A,A,-,-,A,H,-,A,A
G018,122.25,1.2225,-0.405471252,1,2,A,2,2,B,B,B,H,H,-,H,H,H,H,H,H,B,B,B,B,H,H,H,B,A,A,A,H,H,H,A,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,A,A,A,-,A,A,A,A,H,H,B,B,B,B,A,A,A,H,H,-,H,H,H,A,A,A,H,H,H,C,B,B,B,B,B,B,B,B,-,B,B,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,-,B,H,-,H,A
G019,264,2.64,1.41446556,2,1,B,3,1,C,H,H,A,H,H,H,B,B,B,B,B,-,B,H,H,A,A,A,H,A,A,H,A,H,A,A,-,H,A,A,A,A,A,A,A,A,-,A,A,A,-,A,H,H,A,H,H,H,H,H,H,H,B,B,B,H,H,H,H,A,A,B,B,B,H,H,A,A,A,A,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,A,C,B,B,B,B,B,B,H,H,H,H,H,A,H,H,B,H,A,A,A,A,A,A,-,H,B,B,B,B,B,-,H,H,H,-,H,B,B,B,-
G020,72.6,0.726,-1.042930601,1,2,A,1,3,A,H,H,H,H,A,A,A,A,A,A,-,H,H,H,H,H,A,A,A,A,A,A,A,-,A,A,H,H,H,B,H,H,H,H,H,H,-,H,A,A,A,A,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,B,B,B,H,H,-,H,H,H,H,H,A,A,H,B,B,B,H,H,B,B,B,B,B,B,B,B,B,H,-,C,H,H,H,H,A,A,A,A,A,A,A,B,H,A,A,B,B,B,B,B,B,H,H,H,H,A,A,H,H,H,B,A,A,-,A,B,B,B,C
G021,264,2.64,1.41446556,2,1,B,3,1,C,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,A,A,A,B,B,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,-,A,A,A,-,A,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,A,A,A,H,H,B,H,H,H,A,A,A,A,H,H,H,H,H,A,A,H,H,H,H,A,A,A,A,B,B,C,H,H,H,H,H,H,H,H,H,H,H,B,H,A,A,B,B,B,B,H,H,H,H,H,H,A,A,B,B,B,H,H,H,-,H,H,H,H,C
G022,264,2.64,1.41446556,2,1,B,3,1,C,B,B,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,A,A,H,B,B,B,H,H,B,B,B,B,A,A,H,H,H,H,H,-,H,H,H,-,B,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,A,A,A,H,H,B,B,B,B,A,A,A,H,B,B,B,A,A,A,A,A,H,H,B,B,B,B,B,B,H,H,H,H,C,H,-,H,H,H,H,H,H,H,H,A,H,A,A,H,H,H,H,H,H,H,H,H,A,A,H,H,H,H,H,-,H,-,-,H,A,A,A,A
G023,264,2.64,1.41446556,2,1,B,3,1,C,A,A,A,A,A,A,H,H,B,B,B,B,B,-,A,A,A,A,H,A,H,H,A,A,A,B,B,B,H,A,A,A,A,A,A,A,-,A,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,B,B,B,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,A,H,H,H,H,H,H,A,A,A,A,H,H,C,-,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,A,A,-,A,A,A,H,C
G024,81.717,0.81717,-0.925876887,1,2,A,1,3,A,H,H,H,-,H,H,H,H,H,H,H,H,A,H,H,B,B,B,A,H,H,H,H,B,B,H,H,A,B,-,B,B,B,B,B,B,-,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,B,H,H,-,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,C,-,H,H,H,A,A,A,A,A,A,A,H,H,H,H,B,B,B,B,B,B,B,B,A,A,A,A,H,H,H,B,A,A,-,A,H,H,H,C
G025,264,2.64,1.41446556,2,1,B,3,1,C,-,H,H,H,H,H,B,B,B,B,B,B,B,H,A,A,-,H,H,A,A,A,A,A,A,H,H,H,H,B,-,B,B,H,H,H,H,H,A,A,A,A,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,-,A,A,A,A,H,B,H,H,H,H,H,H,H,A,A,A,H,H,H,H,H,B,B,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,B,B,H,H,H,B,H,H,-,B,H,B,H,C
G026,264,2.64,1.41446556,2,1,B,3,1,C,-,H,B,H,H,H,H,H,H,H,H,H,H,A,B,B,-,H,A,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,A,B,B,H,H,H,H,-,H,H,H,-,H,H,H,A,B,B,H,-,H,H,H,A,A,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,A,A,A,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,B,H,H,H,A,H,H,H,H,H,H,H,B,B,B,B,H,H,B,H,H,H,-,H,B,B,H,C
G027,116.483,1.16483,-0.479514113,1,2,A,2,2,B,-,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,-,H,H,A,H,H,H,H,H,A,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,-,H,H,H,H,H,H,H,H,H,H,H,B,H,B,B,B,B,H,A,A,A,A,A,A,A,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,H,A,A,A,A,A,A,A,A,A,H,-,H,H,H,B,C
G028,87.467,0.87467,-0.85205229,1,2,A,1,3,A,-,H,H,A,A,A,A,A,A,A,A,A,A,H,H,B,-,A,A,H,A,A,A,A,H,H,B,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,H,H,-,H,H,H,H,H,H,B,H,H,H,A,-,B,B,B,B,B,B,H,B,B,B,B,B,H,A,A,H,H,H,H,B,B,B,B,B,A,A,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,B,B,B,B,B,B,B,H,B,B,B,B,B,B,H,A,A,-,A,B,H,H,C
G029,264,2.64,1.41446556,2,1,B,3,1,C,H,H,H,A,-,H,H,H,H,H,H,H,H,-,A,H,H,H,B,B,B,B,H,H,H,A,H,H,A,A,A,A,A,A,A,A,A,A,A,H,-,H,H,H,H,B,B,B,-,B,B,B,B,B,B,B,B,B,B,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,A,H,H,H,B,H,B,B,B,H,H,H,A,A,A,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,B,H,H,H,H,H,H,H,A,A,A,-,A,H,H,H,C
G030,NA,NA,NA,NA,NA,B,NA,NA,NA,A,A,A,H,H,B,H,H,H,H,H,H,H,-,H,H,H,-,H,H,B,B,H,H,H,B,H,B,H,-,H,H,H,H,H,H,H,H,H,A,-,H,A,H,H,H,H,H,-,H,H,H,H,H,H,H,A,A,A,H,H,A,A,H,H,B,B,B,H,H,-,H,H,B,A,H,H,H,A,H,H,H,H,H,H,B,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,B,B,A,A,A,H,H,H,H,B,H,H,-,H,H,H,H,C
G031,74.417,0.74417,-1.019602028,1,2,A,1,3,A,A,A,H,H,H,H,A,A,A,A,A,H,H,B,B,B,H,H,A,H,A,A,H,H,H,H,H,B,H,H,H,A,A,A,A,A,A,A,A,A,-,A,B,H,H,H,H,H,-,H,H,H,H,-,H,B,B,B,B,B,B,H,H,H,H,H,H,A,A,A,A,H,H,B,H,H,A,A,A,A,A,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,H,H,H,H,H,H,H,H,H,H,H,H,A,H,B,B,H,H,H,B,A,A,-,A,H,H,H,C
G032,264,2.64,1.41446556,2,1,B,3,1,C,A,A,H,H,B,B,H,H,H,H,A,A,A,-,H,B,B,B,H,H,H,H,H,H,H,H,A,A,H,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,-,B,B,B,B,B,B,A,A,A,A,H,-,B,B,B,H,H,-,H,H,H,A,A,A,A,B,H,H,H,B,A,-,H,H,A,A,B,B,B,B,A,A,B,B,-,H,H,H,-,H,H,A,H,A,H,B,B,H,A,A,H,H,H,H,B,H,H,H,H,H,A,A,H,H,A,A,-,A,H,H,H,C
G033,264,2.64,1.41446556,2,1,B,3,1,C,B,B,H,A,A,A,A,A,H,H,H,H,H,B,B,B,B,H,H,B,H,H,A,A,A,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,A,H,-,H,H,H,H,B,B,B,B,H,H,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,B,B,-,H,H,H,H,C
G034,174.567,1.74567,0.266229871,2,1,B,2,2,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,A,A,H,A,H,H,H,H,H,B,-,H,B,H,H,H,H,H,H,B,H,B,B,B,B,B,H,H,H,H,H,H,-,H,H,A,A,H,H,H,H,A,A,A,-,H,H,H,H,H,-,H,B,B,B,B,B,B,A,A,A,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,B,B,A,A,A,A,A,A,A,A,A,A,A,A,H,A,H,H,H,H,-,H,B,H,H,C
G035,88.583,0.88583,-0.837723899,1,2,A,1,3,A,B,B,B,B,B,B,B,B,B,B,B,H,-,H,H,H,H,A,H,H,A,H,H,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,B,B,-,B,B,B,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,A,A,B,B,H,A,H,H,A,A,A,A,A,A,A,A,A,-,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,B,B,B,B,B,B,-,B,H,A,A,C
G036,264,2.64,1.41446556,2,1,B,3,1,C,H,H,B,B,B,B,B,B,B,B,B,H,-,A,H,H,B,B,B,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,A,A,A,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,B,B,B,B,-,B,B,H,H,H,H,B,H,H,H,H,H,H,A,H,H,H,H,A,A,A,A,H,H,-,H,H,H,A,A
G037,95,0.95,-0.755335648,1,2,A,2,2,B,H,H,H,H,H,H,H,A,A,A,A,A,-,B,H,H,A,A,A,H,H,H,A,-,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,-,B,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,H,A,A,H,H,B,B,B,B,B,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,A,A,-,A,A,A,A,A,A,-,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,H,B,B,H,H,H,H,H,H,-,A,H,H,H,A
G038,264,2.64,1.41446556,2,1,B,3,1,C,B,B,B,B,B,B,H,H,H,H,H,H,-,A,B,B,-,B,B,A,A,A,A,-,H,H,H,H,B,A,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,B,B,A,A,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,B,B,-,B,H,H,H,C
G039,86.05,0.8605,-0.870245239,1,2,A,1,3,A,B,B,H,H,A,A,A,A,A,A,A,A,-,H,H,B,B,B,H,H,H,H,H,-,A,H,H,H,H,A,A,B,B,B,B,B,B,B,B,B,B,B,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,A,H,H,H,B,A,A,A,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,-,A,A,A,A,A,H,-,B,B,B,B,B,B,H,H,H,H,H,B,B,B,B,H,-,-,H,A,A,B,C
G040,71.517,0.71517,-1.056835303,1,2,A,1,3,A,H,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,H,H,A,-,H,H,H,H,H,H,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,A,A,A,A,A,A,A,A,H,B,B,A,A,A,A,A,A,H,H,H,B,B,B,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,A,A,H,H,H,B,A,A,A,A,A,A,A,A,A,-,A,A,H,A,A,A,-,B,B,B,B,B,B,B,A,A,A,A,H,H,H,H,A,A,-,A,H,A,A,A
